author,comment
jaimejaime19,"I didnt know ""Shooter Fall from Heaven"" was a new task."
Grimtrove,Kurwa!! Lol
PinkBanana,kurwa
RickSanchez_,The rocks below there are a great place to go prone and snipe. Everyone checks dome. Few people check the rocks.
tenors88,Aim for the bushes?
djolk,Oopsies.
Rman_77,Peak performance. The kind of content worth putting up in this sub.
Rarecandy31,“Hahaha what a loser!” - Me who’s played 5 wipes and never even gotten to that quest
TheZephyrim,"I love the way jumping works in this game lmao. Jump straight and you might as well be hopping, jump sideways and you might as well be competing in a pole vaulting tournament."
an_exile2021,kourva
twobeercheers,F
whensmahvelFGC,Kurwa
Imthebox,What was the objective here? Get up on the sandbags to be more exposed to snipers?
Much-Foot-5247,Kurwa! xD hahaha
DumplingsAreBussin,Znam to uczucie
Nevermind04,"I've played enough My Summer Car to know what ""kurwa"" means, lol."
HODLShib2moon,Not all heros wear capes....
kissgyorgy,That sums up Shootern Born nicely!
Competitive-Bell-962,Classic. When i was doing sbih first time did that same shit.
FlatAd768,"And I’m trying to get pistol kills, so hard"
tzc005,Polish operators when?
dendnoy,"not sure if you were born in heaven, but you definitely died in hell."
d4nkn3ss,"""Did it hurt when you fell from heaven""?"
WillyBHardigan,FOV: yes
Wielkimati,"Ah, yes, certified kurwa moment."
Brawl_Stars_Fan123,What's the build for the gun?
papapudding,https://www.youtube.com/watch?v=a-BgREkkjcg
Rotta_ODe,Tbh I was expecting a fail video but I thought it would be a clip of scav counter snipping and getting his own sbh
felixbfk,Only three more kills to go now! Nice work
GuycombThreepgood,"Jump skid never gives, always takes.

If you spawn down to the right of thereyou can go straight ahead to rocks and catch players running accross!"
_rockethat_,No cześć. :D
mo_bozzy,"oh boi, that dry ""kurwa"" followed by the PMC ""I'm a goner, I'm done"" was just too funny."
Grizzly4nicator,"If it makes you feel any better, I Tarkov'd myself twice in a row last night. 

1) Had an amazing run on Woods and finished up some quests, got a couple of good guns and lots of gear. Got to the vehicle extract and was 2k rubles short...then proceeded to get smoked by the OOB sniper while trying to figure out where those extra 2k rubles went...lost it all.

2) Decided I'd do a scav run before calling it a night. Had moved a bunch of gear onto my PMC to free up stash space...wasn't paying attention and launched a PMC raid. Spawned in and immediately got lit up by a scav. Lost all that too.

Good news? My stash has LOTS of free space now!"
RepresentativeOk3233,I mean you gonna really try that Quest when you need to achieve the 3 HS kills on Streets too? Where you dont really have that Long and useable sightlines?!
TopHatHat,"Gets given shooter born in heaven, smash cut to Kratos falling off a building."
PanProjektor,Darzbór z tym questem kolego
Old-Animal5507,"9/10, took a point for the belly flop. Good technique though. Made the jump look effortless lmao"
Soggy_Description_57,Did the same thing off interchange power roof today 😬
electronicfixdude,"""Shooter sent to heaven"" there its fixed"
Destinyxunknown,Ahhh so your were the guy I got all that free gear from
Competitive-Bad-401,"9.5/10.
Slight deduction for missing jump initially."
jisforjerms,1st person of “oh he dead”
Early-Gap9293,"This is my fifth wipe and I still ain't going to shooter born in heaven until they fix all the non ""meta"" broken ass scopes"
CnD123,"This sub be like ""omg BSG fix fall damage broke game trash wipe"""
Bikalo,"The bushes just below Dome are a way better spot, the second anyone hears shots coming from Dome side of the map they will instantly check on top of the Dome and you kinda silhouette really hard on there."
