author,comment
platinums99,"I love it when a rebound works out, I got one off a tree in Shoreline once, it corrected the aim and landed on the pmc I was trying to aim at"
Few_Ad648,I had a moment like this the other day😂 me and some dude were fighting in the room opposite of green screen after I killed his buddy. He was in the hallway while I was in the weapon room and I went to throw the nade into the hallway and I guess it came into the room. Well he pushed and we both potato’d every shot. He ended up standing on the nade and it blacked out everything but my head and one leg lmao
Obsidian_mkULTRA,Imagine the rage the other guy feels
Hunk-Hogan,Task failed successfully.
Traditional_Lab1340,Looks like least lucky enemy to me every time
UltimiteKing,Ahahaha perfect nad
AWD-ESTATE,How do you post a video so it just plays like this? Without having to go to you tube or anything?
HappyMetalViking,Holy Hecken Luck!
ObiWanCannoli25,The force is strong with this one.
gtfomahcookiez,Jesus Christ it's Jason Bourne
Bgndrsn,I was expecting a random spray and 1 tap haha. Hilarious nade bud
djn808,C A L C U L A T E D
Ma_zenki,Calculated.
Shooter503,What in the Final Destination shit is this?
HelloHiHeyAnyway,"I've had these same potato grenades kill people. I had one on labs that was absolutely hilarious. A gunfight I probably wasn't going to win. He rushes my grenade, it potatoes, it explodes as I run to not kill myself. 

I really wish I had replay setup then. It wasn't until the end of that wipe that I bothered to set it up.

It's satisfying in a way... and you also kinda feel bad knowing your failure killed them. Some kind of 200 iq grenade."
Sargash,"Try bringing M67s and follow them up with an impact

Toss M67 into enemy room, area, watch as they flee, then peg their ass without lube."
wakupaku,obviously calculated... feel so good when this kinda stuff happens
AttackerCat,"Was on customs in a squad of three yesterday. There was someone in Unknown bush we were having a standoff with, and friend decides to chuck a nade. I hear a distinctly loud clunk of a grenade hitting the wall right next to me.

I hear him yell and we all just scatter. Luckily we didn’t friendly nade and even better it scared off the guy on the other side of the wall."
SvalbazGames,Outplayed him there !
AgentDetection,[“Very nice.”](https://m.youtube.com/watch?v=LBduNcf1eQc) ~Borat
El_Oso_75,Truly this man is playing 5D chess
Demonic_Corp,You rolled a NAT 20
eda1112111,200 IQ
Bingonight,I HAD to laugh. You lucky sob! I love this shit.
Savageking2512,I'd be furious lmao
DeeGreezJ,I accidently threw a contact nade on a lamp post and it killed a pmc behind the fence
tylert69,full skill
DJ_Inseminator,Show the loot!
RideTheSpiralARC,Task failed successfully 🍻🍻
LoquatOtherwise3455,Damn
xAJFx,Was the guy that you killed the same guy shooting at you? He must have brought out a second gun.
nouyan,Shiiiit this is awesome ahaha
tlbt420,I find grenades to be such a buggy mechanic. I have a video of a nade doing backflips and bouncing around then the explosion is behind me :)
Wide-Resolution-4965,Hilarious hahahah 10/10 pro play
lukedickson,Mission failed successfully - very nice
SuspiciousDro,"The other day I died to a grande I threw out a window. Saw the window break, saw the grenade fly out, turns out it actually bounced off the wall and exploded at my feet. 

Thanks BSG"
