author,comment
bit32x,The game Rust used to have this issue. I think they added some kind of fog at night and when you turn your gamma up it turns the game white.
KibatsunaGatsu,Tbh I scav night raids. If the weather for the raid is windy or pure sunny the moon light is enough or you can make your postfx black and white and you can see
Jertzukka,People out here acting like gamma and brightness are new things.
Fictitious1267,"Something weird I noticed yesterday is if you enable noise it increases visibility in the dark just a tiny bit, and no it's not the noise particles making the screen brighter."
Myythy,"I remember when everyone did this in rust way back in the day, made my game look like a youtube video from 2009 lol"
ST-Helios,"i just wish this wasn't a thing but that's asking too much, i'd genuinely love to run nightime if i could reliably use shadows and light covers to move around, it's already pretty hard with the moon but gamme and tweaks make it worse

Heck, was pretty fun when i tried a bunch of times last wipe but it ain't worth handicaping oneself and i'd rather play daytime if i have to play with gamma and whatnot this much"
froxezaen,Do flashlights blind you with this setting?
Operative427,"I have gotten so good at Woods stash runs that I can literally do it in the pitch black with only seeing the Silhouettes of trees and pathways, I occasionally run into other players but if you just stop moving they usually can't see you because it's so damn dark"
DisGruntledDraftsman,When you pair this technique with black and white settings in game. It's as bright as day. During the rain storms you can see much better as well even at night.
Sazbadashie,You guys can't just... see in the dark?
AWD-ESTATE,"I wish the game watch pitch black at night and you had to use flashlights, no nvgs in the game. Would be so terrifying and awesome. I love night raids"
MoBZiKK,Small pp energy
TheRealCRex,PostFX should auto-disable on night runs. Ridiculous to be able to cheese this way.
IIIbeer,"Or just run night raids when you have nvg's and/or flashlights?

This is pathetic and I have never understand this bs. Same thing when dudes buy 3000€ pc's and put graphical settings to minimum and disable shadows because you can see better but the game looks like dogshit. Why buy decent hardware and look at shit that look like its from 2008"
2B_LEWD_BUTT,Lame.
Beer-Wall,Yeahhh see the thing is I hate making my game look fucking dumb so I play as intended.
Oknamehere_4980,"or you could just idk, play the game right?"
Dwenki,"Seem like i have an answer at my question ""Did that tree shot me dead ?"""
,Spreading this information only exacerbates the problem vastly
lilschreck,This kind of stuff will always exist. If you really want to get a competitive advantage you can also turn down other graphics settings like foliage. People do that in plenty of games. Also marking your center screen with a sharpie so you know what’s dead center. I don’t do any of these (besides some in game post fx settings to make colors a little more vibrant and sharpen textures) because I still want to enjoy the game. Not create an overly competitive sweat fest. There’s already enough things in this game that get my heart racing
Jaidonio,Way to encourage more people to not have fun with NV and flashlights
Le-Misanthrope,"Also if you have an ASUS monitor you may have something called Shadow Boost, you can enable that and use whatever setting to your preference. It will light up the shadows A LOT without being over exposed. However outdoors in the daytime it does look too bright. I use this function a lot in every dark game I play. Hunt Showdown and Tarkov are my main games I use it in."
