author,comment
Scavwithaslick,You can hear him breach the door after killing you
TECHNOV1K1NG_tv,"I was expecting the 1 tap from scav on the MG in stronghold, but this is way better lol"
BeepHasRisen,"I did a Woods raid and got two tapped with x54 less than 15 seconds into raid.

Total bullshit imho."
egiantmirror_skilled,Birdeye moment
gladbmo,"*Barges in  
Kills you  
Breaches Door on Way Out*"
DasDunXel,"Yeah you aggro them via the windows.
Some reason they won't shoot those windows.  Upstairs they will maybe because of the actual holes.
Either way they rush that location they saw you at.  Birdseye silent movement won't typically give any notice their coming of he's first..  Closing that door typically triggers his kick in mechanics first but him appearing before was a dumb bug.

I like to run in there loot duffel.  Run out shut door and hang out in the next room down the hall ready for right hand peak. 
If they are there and saw you.  They should be kicking in that door in like 10-30 seconds of looting the duffel.
So far this wipe only birdseye has come inside.  The other two will just chill outside the front (hole In wall side) talking and shifting around.

Upstairs broken windows.  If you can bait them 2-3 of them will charge up the metal stairs within 10-20 secs of shooting the windows.  You can corner lean from either room and kill them one by one as they come in."
shady531,"Totally fucking unacceptable. Can we get this to the top? Devs need to see how bad their AI is.

He ran thru the door before it opened and then head eyes you in less than a half second."
Steid55,I accidentally ran into bird eyes as a scav in crack hiuse the other day. He kept whiffing his shots. Literally point blank. Has to shoot him 6 times with a double barrel 12 gauge. Ended up with a blacked stomach but survived and got his shit out
llasse22kd,"Even tho this is horrible, it's comedic af"
c0vex,"As a reminder this game is in development since 2016, and it gets only worse."
binnysinny3,Clear skill issue
mrgnome1538,The fucking door didn’t even open
Zer0Cyber_YT,I thought this was a hacker until I realized it was Birdeye. Either way yeah that's bullshit
codman606,I would of quit for the day.
Minimum-Impression63,BSG is the Mickey Mouse Club of developers.
2kMurray,"i had birdeye shoot me through the wall there, if you hear them your getting fucked"
jeff5551,"I love how some people in here are still blaming you when he activated fucking Vision phasing, never change Tarkov sub"
ReitInvestor,Look at my man’s ping in the top right hand corner. This one is on him. He’s jumping between 130-155 ping
Mysterious_Tap_1647,"If it makes you feel better you wouldve needed to hit him directly in the head to kill him. But yeah, Birdeye didn't give a fuck about that door"
UncleEggma,This is my favorite tarkov video of all time now lol
FlawlessRuby,Working as indeed.
SXNova,"so bosses do in fact exist

such surprise"
Aphexxftw,it sucks but you were gonna die regardless based on your kit lol
Nukeman1303,“We really want the game to feel like you’ve been punched in the dick
adfsagos,I like how he instantly turns away like you were nothing. lmao
RedScope53,Ah yes. Tarkov. This is why I don't play you anymore.
MyGoi762,Watching it made me feel better than looting a whole pack of raiders. Thanks OP
jlebrech,that's what you get for dragging your loot
PoorLittleLamb,You loot dead scav first eh?
mrfudface,Not saying that any Armor at all would've saved you at this point. But you went in naked?
UniqueUserII,"This isn't a ping issue, the desync this wipe has been absolutely terrible and the reason you died here."
Wyntier,"looked at ping

&#x200B;

kept scrolling"
jeffreyhu98,OP's playing on EU servers from NA...what do we expect to happen? i get it 150 stable ping isnt unplayable.. but its bad. Not to mention its probably not stable.
TenraxHelin,One of the reasons i've put that game on hold. That's why I've been playing DMZ. Not as intense but similar feel.
,[deleted]
DukeLander,welcome to cheatkov
VoidVer,"Homies ping is bouncing between 120-140. He shouldn't even be allowed to connect to this server. You think this is bad from his perspective, now imagine that because of his ping, he does this ( or similar bullshit level desync shit ) to other PMCs. 

Play on a server closer to you please. You'll avoid dying to BS like this and you will also avoid killing people in ways that feel cheap and shitty."
Unrealztik,"lmao, u poor man RIP"
