author,comment
Prestigious_End_2436,"No, normally you'd do all that and get 1 tapped by the scav. This is actually a solid outcome."
Joren67,Normal? No. Normal in Tarkov? Yes.
Seralth,"Among what everyone else has said, since you new you should also be aware that while you the player have 440 hp.

Scavs have various levels of hp up to 740 

Head: 40

Thorax:150

Stomach: 150

Arms: 100 each

Legs: 100 each

Total: 740

Which means your shotgun could take two or three shots to black the arms to actually start doing any real damage if they have even shit armor on. While on a PMC one shot would be all it takes."
operation_hamster,"Depends on ammo and armour. You shot the chest where the armour protects.

I agree that the arms should have get hurt. Also I agree that there should be some impact. I guess nobody keeps walking after getting hit by a shotgun."
ShapesAndStuff,"Besides the ammo/armour topic people have brought up repeatedly:    
The Remington sucks ass. PMC is unable to line it up quickly so it shoots god knows where if you fire rapidly. i think low left, but i might be wrong.  

If you look at the rear sight, the front sight post is nowhere to be seen after the first shot. On the second to last shot you take some time and you can see the gun pivoting slooooowly from the bottom left back to center."
Joie116,One headshot will fix this issue
Ok_Faithlessness9724,Welcome to tarkov you’ll hate it here
ItDolph,"Summary:  
Shots 1-5: Clearly missed.  
Shots 6-9: Missed due to recoil (bad spray control).  
Shots 10-11: Very close, but recoil and inaccuracy make these reasonable misses.  
Shot 12: Likely didn't actually fire because you were already dead."
EDOTONY,Uninstalling the game is also normal
Shot-Implement-9452,"Its called, ""This game is in beta for 10 years"""
Moforia,This is exactly why I stopped playing this stupid game.
HAAAGAY,Yes shits been broken for years
Bunchiebo,"Sadly yes, for shotguns early game your 2 big options are 7mm and Magnum buck to try and avoid that but you can never really run away from a tarkov moment like that one, sometimes they were just never ment to die, like nikida himself is giving his blessings to the enemy"
Aj_bary,Yes
Bukkake-Blast,Yes
VidraiderBros,No .... But yes
buckets-_-,"No.

You survived lmao."
Mightypeon-1Tapss,"You are spreading the damage on multiple body parts hence him taking so many shots, try to aim for the head or leg/stomach and avoid thorax/arms at most times with shotgun"
preyforkevin,That shotgun is the worst.
ChocolateCavatappi,"First 4 shots missed, 5th hit the arm, 6th missed, 7th killed."
Bleggman,"you were missing him, seriously"
Lordjaponas,1 bullet hit the face and scav will die
Kerofenlik,This is not a game. This is a dev version of future game. And you are not a player here :)
minusunu,you shot that guy in the penis
thebabyslayer,realism btw
BitterQuitter11,I hit ine yesterday 10 times for 325 damage and he one tapped me anyway…..was wild lmao
Basaltmyers,Usually you die by the end of it.
YungSkeltal,These sorts of bugs are server side where the server reads your magazine as empty whereas client side you're still shooting. I've heard running away and switching to your melee and back (or possibly reloading?) Fixes the issue.
beans_lel,Yes.
Direct_Possession865,If you have less than 32 gigs of ram then yes this is normal
GravelsNotAFood,"I know it isn't the answer you want, but yea. That's pretty tame. 

Put some p ammo in a kedr. It'll make those few shots seem like a 1 tap. 

And don't get me started on PMC armour. That wouldn't even have done damage to an armoured pmc."
Admins-Are-Garbage,Clearly using the wrong ammo type for that armor bruh
Gnada,It's desync
fantafuzz,"The bullet in this game comes out where the barrel is actually pointing, so we can try to figure out where each shot went.

Looks like your first shot hit his shoulder/left arm, but it might have missed, a bit hard to see.

The second shot comes out before the sights are aligned, and it appears the front sight is aligned up and left from the rear sight, meaning you hit above his right shoulder

Third shots looks like the barrel was aiming down-right from him, so you might have hit under his right elbow

Fourth shot your sights seem horizontally aligned, but front sight is below your rear sight. You also seem to be aiming somewhat left of his center, so I think the shot might have just missed down left of his thorax

Fifth shot hit, arms were in front of chest, but also your barrel was still pointing down, so you might have hit stomach. You can see the scav reacting to the hit by twisting a bit and looking down

Sixth shot might have hit his right thigh, might have missed. Looks like the sights are barely unaligned down left when you shot, but looks most like a hit. Also the scav does the look down after the shot, which seems like he got hit.

Last shot hit him in the chest"
Countcristo42,Missing is indeed normal
ShadowZpeak,"Shots 1-5: Clearly missed.
Shots 6-9: Missed due to recoil (bad spray control).
Shots 10-11: Very close, but recoil and inaccuracy make these reasonable misses.
Shot 12: Likely didn't actually fire because you were already dead."
plagueapple,the shotgun spread is pretty small at that distance. you missed your shots
DoomedAccordian,"You were missing shots, then one in arm, stomach maybe twice. Think it was like 3 shots you got, so that’s normal."
myironlung6,"Welcome to tarkov. Where it makes total sense that a starving Russian tennis shoe or open toe sandal wearing scavenger with little military training is stronger, more agile, and has better equipment than a trained, roided out mercenary"
Its_Da_Muffin_Man,You missed half your shots
Kyle700,"stop shooting his arms and stomach ffs!!  I bet you had slugs in there too.  buckshot would have dropped him faster.  

to answer question tho, yes, but its a skill issue lol"
cheated_in_math,"People are defending this garbage, but it's a large part of why I don't play this shit anymore.

There's FAR TOO MANY game breaking bugs and ""features"" that make the game so fucking broken"
SlaveDeMorto,"This game has horrible desync and netcode issues, sadly."
ShadowRam,"Yes, I'm sorry you bought into this game so late.

You should have saved your money"
wahchewie,"Damn there's a lot of trolls/ dudes that need to see an optometrist on this sub

Same clip, slowed down

https://tempclip.com/RMn08iP63lBOAGn/watch"
mikethelegacy,Welcome to tarkov. Now try to escape.
,"not netcode, but probably just a 740hp scav wearing body armor so your realism bullets all went into the arms"
Beaverlegions,"It is, have fun"
BL1FFORD,"no that’s not normal at all, usually you would’ve died after the first shot"
garack666,It’s tarkov bad game design and netcode
Bobbydylan1981,REEEEEEEAAlism.
RJohn12,"this is the #1 reasons I hate using shotguns. they do so much damage, but apparently 2mm of Kevlar armor is enough to block 90% of all of that damage."
ThePandagasm,"Well you definitely missed a couple, but should also aim for the head, Im surprised he walked towards you for that long without head tapping you"
_Dingaloo,"Hipfire!!!!!! It's insane how much people neglect to hipfire in this game. Your recoil control is one of your main issues. Just because the back sight is lined up with the scav doesn't mean you'll hit it, because your barrel wasn't straight and you didn't see the other sight through the back sight. It takes too long to recover stance when ADS, especially when ADS firing with a shotgun. Hip fire."
MiniOozy5231,"Skill issue, I fear."
White_Bread904,"Yes, the game is dog shit"
JimmyJazzz1977,I regret buying this shit so much
Stock-Chemist6872,"This game is RPG FPS it's not realistic simulator.  
Bullets have stats and so on so it's not like you take cheapest bullet and hit somebody in heart and he will die no no no... in this game if you bullet does 10 dmg at 10m you need to shot him multiple times since every area of your body have different amount of HP. Yeah if somebody told you this is realistic you got baited enjoy your RPG experience."
idontcarerightnowok,"Yes.

Scavs will eat any ammo you throw at them, get used to it.

Just another bug we'll never see fixed"
No_Interaction_4925,Shotguns are trash against armor. He was probably just soaking those shots up into a vest
Doobie717,New to the internet and Reddit as well I suppose?
EstablishmentCool197,"Yeah, happens sometimes. This shotgun is shit anyway, sights are too big and feel off, slugs are the only viable option."
Dwenki,"Skill issue and a really good gaming chair. Also if you use buckshot and he has a class 2 armor, you will not do damage."
Gzalzi,"Yeah, a couple of misses, a couple of arm hits, a stomach hit. The damage got spread out over his whole body."
JiffTheJester,Aim at the face
LocksmithCharming790,saw some scavs this week with a gzhel. Just shoot in the damn head.
Plane-Day-164,"I would suspect you were using the ammo provided for the new account given that shit show of a shotgun you were using.  So yea I would say this is normal as the standard 12 ga shell is pretty shit against tier 2 armor.  If you were using buckshot in the magnum casing, I think the first or second shot would have downed that scav.  Since you are new, I would review this site here with regards to ammo types.  https://eft.monster/"
arct1ccz,Immortan Joe!!!
PlayMaGame,This is TARKOV!
Swako_ITA,In this game dont aim where armor is if it doesnt penetrate
LeSoldatRyan,No it's magic
Lamazing1021,Lmfao welcome to tarkov
SnakeSkinBots,That's scav boss Steve.  He was getting ready to clock out for the day but you strolled into his store 1 minute before closing time and really pissed him off.
KingSwank,"no, normally that shotgun scav would've just one shot you"
Vubor,Pretty much yes. I used flechette on scavs and they tanked alot of it..
nglatzhofer1,"After what scavs have done to me this wipe, they always get a full clip"
slackrock,"He has a level 2 armor on, and I’m guessing thats 7mm you’re firing. This is not a bug, this is working as intended. Arm damage killed him but only because you did so much, it blacked out the limb and spread to the torso/head (tarkov death mechanic, aka leg meta). I bet your raid result will say like “Damage to armor: 600”"
_Delta_11,"Slice the pie or sweep the leg next time, here's the tutorials
https://youtu.be/-lEEN1zh0CM
https://youtu.be/PFxn0Dv3tHA"
BananaHas2Ns,"Shorty gotta aim for the dick, legs, or head. Pellets don’t do shit to armor"
jrocAD,Welcome to Tarkov
ahungrylilsandwhich,That's the Terminator
Thwarto,I put 20 HP into a Scav to put him down the other day. Game has wacky ballistics.
Wunon,Yes
BlackPrincessPeach_,"Yes.

The AI/scavs are super human and have a ludicrous amount of HP.

AI don’t get blacked limbs/limp/broken arms/pain. They only bleed out. Some even heal, especially sanitar/some bosses.

You either go for the headshot on a scav, or just don’t bother."
ScythenKing,"I mean it’s still a video game, they aren’t going to code in blast physics or at least not yet. Yes it’s pretty normal at that point head or legs would be best."
xSonofgeek,If this is slug rounds. Yeah seems normal. Buckshot? Ill resort to the default response: game is broken
thedrizztman,and THIS is how OP learned about 'leg meta'
PillagetheVillage,Real life 1 shot dudes hurting 2nd shot probably dead at that range but this is Tarkov so... You can absorb everything
retronax,"on top of everything that's been said, the mossberg is a piece of crap and nikita only knows where the shots actually go when you fire"
helmer012,Shots 1-5: Clearly missed.
mmpa78,Yes
Anom8675309,Yes and that same gun in the hands of scavs will one tap you from 150m. All normal. Please enjoy your tarkov experience.
mudokin,"No thqat is definatly not normal, the scav should have onetapped you after tanking the first shot. The fact that you were alive afther this encounter is not normal."
Caine_Pain333,Bro actually missed
porter--05,Yea if it's 7 mm those shells are booty
SSHz,"Don't worry, it's a ***Beta***™

Surely they're just experimenting and not at all fucking up."
Sanujan_,Yeah this looks like bullshit but... Take cover when you’re pumping that POS and your sights weren’t lined up. Slugs shoot stupid high too you missed a lot.
AngrywhenMad,There are some scavs with larger health pools that spawn maybe 1/10 times a raid. If he was wearing armor I'd do what most people suggested and hide/repeak since scavs have the object permanence of a 4 year old.
unibomber24,Shots 1-5
Reasonable_Pie_3376,"I genuinely feel bad for players / the devs when I see stuff like this lol the only thing it seems were fighting in this game sometimes are server issues. I'm guessing there was a blip happening here because the final shot knocks back the scav like he had been getting ripped at. Whatever tho its just a game and making money in this game doesn't take to long, just frustrating when your time gets wasted."
acaerus,"Shots 1-5: Clearly missed. Shots 6-9: Missed due to recoil (bad spray control). Shots 10-11: Very close, but recoil and inaccuracy make these reasonable misses. Shot 12: Likely didn't actually fire because you was already dead."
Avarice21,"You're playing an rpg, not a sim. His stats are high, and also armor. It's silly."
ckole11,I noticed shots are not registering. I hit a center mass shot at 15 yards with a mosin and heard the guy scream but there was no hit on the report
CorvusEffect,"Protip, Don't stand in the open when you are pumping your shotgun. Shoot, in cover, pump, out cover, shoot, repeat.  


Every time I see people complain about scavs, they stand out in the open like this and wonder why scavs fuck them up. It's because y'all stand out in the open and aim for armour and go shot-for-shot with them."
prUssian_gloriA_CA,Welcome to Tarkov.
Dr_Moisty_boi,yes
somenoefromcanada38,"some of these do in fact miss, however you do hit some of them. Use magnum buck and aim for the head with that particular shotgun. Don't spam it aim properly for the head with it. Other shotguns that are semi can be spammed but that ones more accurate so spamming results in missing due to your sights not being realigned fully yet. Chest usually has the highest armor and health level."
BooBs_In_My_Inbox,Well they had to enhance the scavs so they could make the cheaters less noticeable.
Scavwithaslick,"Buckshot won’t go through armour, if he had an armour on it could’ve eaten the pellets, try to aim for the legs with buckshot and low caliber rounds"
Mieser_Duennschiss,"yeah. your bullet-numbers are smaller than his armor-numbers, so he can tank a dozen shots no problem.

this is the exact reason alot of people like me cant get into the game. I really tried, have at least 50 hours, but shit like this makes it feel like a waste of time.

everything else about this game is amazing."
drewbaccaaaaa,"Checks out, happens all the time. Enjoy your stay!"
GrapeGang19,The fact that you didn’t get head/eyes by a terminator shotgun scav is not normal
Firm_Woodpecker_1875,"haha no its not ""normal"" does it happen? yes i dont think its happend to me this wipe yet but rubberbanding is bad and happens quite often nostly  on streets"
flying_wargarble,"Looks like is that door is desynced somehow and it's actually closed ,which has been happening forever, but the fact that the scav shoots at you is weird."
FilthyPeasant_Red,Slugs? buckshots? I'm assuming he had armor?
iMattist,"Tarkov is clunky because it wants to be realistic. 

Also Tarkov someone can get shot in the chest with a shotgun and doesn’t flinch."
FRALDAMAGE,No
Hoaxtopia,No but yes (??)
iam_odyssey,Welcome to tarkov.
SovietEra00,Yep.
BecomePnueman,Yes.  This game is dogshit.  Seriously maybe play a bit more and enjoy some of the coolness of the grandness of its design but then stop because it's fundamentally a completely broken experience.
Kilo-Nein,"Yeah, sadly it is."
kamalama63,I- yeah….
dorekk,What we have here is a combination of game knowledge (bad ammo) and the utterly shit design of Tarkov.
ATacticalBagel,"TL;DR: it is normal and could have been worse, dont shoot arms.

YSK: All PMCs have a total of 440 HP distributed among their limbs, head, chest and stomach. This does not increase with skills or any injectors. However, there are 3 variations of Scavs with 440/540/**740** Max HP.

(740 is ridiculous and should be removed IMO. flesh is flesh IRL. If you want a beefy scav in the game, put some good armor or bulk on them so we can tell it's gonna take twice the amount of lead to drop them).

The gratuitous 740 Scav has 150 chest, 150 stomach and 100 health on each arm. The damage in this video seemed to be distributed among the left arm, chest and stomach (\~400 total as a possible max). likely, they were running 7mm with 39dmg per round (273 possible damage with those 7 shots. unfortunately, the math works out that this will not be enough to drop a max HP Scav if the arm absorbed it's full 100 dmg and the remaining 173 was somewhat evenly distributed among the stomach and chest. But it looks like most of it went into the left arm, and then was distributed at a 30% reduced rate, proportionally over the rest of the body (The chest and head only take \~20% of 70% of 39dmg (\~6dmg) each time you shoot a Max Scav's blacked arm with 7mm if no other zones are blacked)

Damage Explanation: [https://escapefromtarkov.fandom.com/wiki/Health\_system](https://escapefromtarkov.fandom.com/wiki/Health_system)

Scav Health Explanation: [https://breezewiki.pussthecat.org/escapefromtarkov/wiki/Scavs?so=search](https://breezewiki.pussthecat.org/escapefromtarkov/wiki/Scavs?so=search)"
N4hire,"It’s heads or nothing in Tarkov. When it comes to Tarkov you can put enough lead in chest to turn any armored dude rib cage into grind dust and the fucker won’t die. 

Hell, the aim punch was removed because people complained..

It’s head or nothing unless you are rocking the Ks-23 or something like it."
edude45,Yes
