author,comment
CSh0ck,"I took screenshots of a guy streaming cheats in my discord. I captured his player name, them being used in game and what cheats he was using. I then sent in a ticket to BSG with them attached. This was 4 months ago… he is still playing with them."
Blintszky,"A friendly reminder, the guy who has aimbotted entire lobbies whilst flying around the map and shooting through everything is still not banned this wipe. Currently level 47.

Another hacker who is similar hasn't been banned for 4 wipes and hasn't changed his name either. Good shit BSG."
ShadowZpeak,"""we banned over 800 RMT buyers""

Nice, how about banning the sellers as well?"
ReadingDits,"I saw a dude flying around on reserve night yesterday. Friendly got one tapped, guy with a massive backpack flies over and loots him. Other two of us unload into the guy and he makes all the noises like he was shot. He then flies away without shooting us so we can't report him. 

Guess he really wanted whatever my buddy had. 

We run to extract to reset and gtfo, zero damage dealt."
Previous-Vehicle-230,"This one bites my ass the most. It’s so blatant, so obvious, literally everyone knows it’s not possible to have that rep at this point in the wipe, yet they remain unbanned.

“BattleEye is working perfectly fine.” Yeah, sure."
Enthused_Llama,"Don't worry, there are still tons of comments about ""he was probably RMTing or something"" to justify the ban"
Jackal_Oddie,There was a lvl 15 on flee a few days ago who was selling 17 ledx and has the name like cccys
ZC205,"I think this is the underlying sentiment with the recent Rengawr situation. A random joe can report obvious cheating all the live long day with no results/feedback but if a prominent EFT streamer wants it done it happens even if cheating didn’t actually happen. Meanwhile accounts have flea market posts that could only have happened thru cheating every single wipe.

The way BSG manages this game and it’s community is trash. And it wouldn’t even be much of a thing if the game was shit. But it’s amazing. Or rather should be much more amazing than BSG is letting it be"
xxxZEDxxx,Someone once said they believe BSG staff is part of the RMT cheating going on and I'm more and more inclined to think he was on to something.
Hummazing,This game and BSG are the RMT cheaters making money on top of money
Minimum-Impression63,It takes 2 seconds to check the flea market for suspicious accounts. One person at BSG could do this. It would be ridiculously easy.
REDLINE70689,"I don’t get why they don’t use the flea as an easy method to investigate cheaters. I’d love to know the reasoning honestly. 

Someone 2 days into wipe selling an absurd amount of high value shit, like 20 ledx, should be an easy flag for a further look. It’s definitely suspicious at the least. 

They can play their own mini game and make money at the same time if the idiots buy new accounts. Eventually and hopefully they’ll get tired of having to buy new accounts and give up. Or at the very least it’s another obstruction in their path since there’s never going to be end game solution for them without recoding the game from the ground up."
AltNickCSGO,"That’s why I’m taking a break from the game, love the concept but implementation causes me too much frustration. Hope others have fun this wipe tho"
Cain-x,"Streamers brings money to BSG

Cheaters brings money to BSG

Legit players brings money to BSG ONCE.

Hmm I wonder what category of players is more profitable for them ? /s

We have tons of proofs over the years guys ...


It seems so hard to understand for most people, this is a real life business at the end of the day, they don't fucking care about the playerbase until it's really really hurting them and their profit.

WAKE THE F UP PEOPLE."
Ill_Story_4867,"I've been thinking of buying Tarkov finally, but, you know, maybe not yet..."
Scarity,"You know what fucking sucks most about this

>I'm a factory main, I just love it, don't hate me for it

>So I'm killing alot of 1-10 players, which I don't particulary enjoy, in ways that I think, wew, that must suck

>I'm getting reported often, pretty sure

Every time I open my pc and I see the 'you need to log in to bsg launcher, for some mysterious reason'
I think; am I banned? Did I kill the wrong guy?"
cth777,"You cannot convince me that the BSG staff is not a big part of the RMT scene. It’s the only explanation for the blatant cheating being allowed. And it goes along with the corrupt image of their country, sorry to say. 

No logic otherwise on how these guys mentioned in the OP and then the well known high level flying cheaters stay unbanned."
CanadianBear67,Here me out..... they are all working together cause they know this dumpster fire is about to blow and end. Squeezing every last dollar from us.
NotARealDeveloper,At this point it's safe to assume that they **don't want to** ban them. Now you can speculate why this is the case.
platinums99,Saw another fella with 20 intelligence for sale last night too.
Faesarn,20 flear rep ? There are people already over 80 !
PrototypeMk-1,"I personally reported someone who I used to play when we found out he cheated, I sent various video to BSG to get him banned, their answer? ""Please use the in game button to report after death""
This was 3 wipes ago, this guy still plays.
Fuck bsg"
killking72,"I'm going to probably start posting this on every thread like this. 

Stop playing, stop watching streams, and stop watching YouTube videos. 

This is so incredibly common in the industry. Want the game to get fixed? It needs to start to die."
Teftthebridgeman,So yall realize BSG is probably the ones doing it right?
Beneficial-Room5129,"It's almost like they turn a blind eye to it for some reason...nikitas pockets go deeper than just game sales, silly westerner"
iiijjiii,Yall gotta realize cheaters pay their bills
iAteTheWeatherMan,What do you think the chances these developers are in on the cheating? I say almost 100%. They are either first hand involved in profiting with rmt and taking a cut. Or they love the cheaters because they ban and the cheaters will buy a new account. They might tag some cheaters but not the ways they profit in game.
Bl1ndVe,Only the cheaters are buying new keys
easyclappers,"I had a blatant cheater, uploaded the entire 5 min encounter with pure video proof he was cheating. i got lucky cause of alytn absorbing 30 shots to the head. to this day the guy is still playing, i follow his name still. still cheating too."
LegendOfLimp,"a buddy of mine killed a sherpa last wipe and got a ban. the appeals dont even get investigated, fkn joke really but bsg is gettin sales from it so they don't really give too much of a fk"
,BSG has the weirdest relationship with streamers out of any game I've played.
Koehlo,"I'm starting to notice how shitty bsg really is, how old am I in game?"
m_agus,"My own Conspiracy:   


Cheaters and or RMT are all Devs or Dev Friends/Family Members and for them it's a steady source of income and a way to earn some Money on the side.   


This is why everything get nerfed into the Ground, so people buy stuff from those RMTs and Cheaters.   


/s"
glippi,"Nikita had a great idea, but in the end he is just a dumb fat bastard. The other issue is a large part of the community supporting him for no good reason and anything BSG related showing the lack of standards and logic, look at the BSG, the mods, the community leaders..... they are all dumb as fuck for defending anything about the game currently. The idea of the game is great and had a good run for over 5k hours, but at this point..... it is just all shit and I am not going to be one of those pathetic shits lying to itself and others for no good reason."
Kplatz,"A level 6 with 20+ ledx on the flea at that. Chinese name, of course."
SuperRektT,"So true BUUUUUUUUUUUUUUUt....

&#x200B;

BSG cAnT dO AnYThInG bRo

:\]"
R0Y-BATTY,Just shows they have no anticheat other than listening to douches like Regnar.
strongest_nerd,That's because streamers aren't reporting them.
YoungFishGaming,Without a doubt BSG I’d in on the RMT rings. Can you imagine how much money they make if they take say 30% of the cheaters profit?
