author,comment
M0ntler,What the shit... My weekly rewards don't even make me want to read the quest twice.
nikMIA,"Your bro got the right energy

 “we go to streets?”"
fazza0123,"47,000 xp! Damn get going!"
Bubbly-Aside,Eh thats cause they know you'll jus die everytime while rubber banding.
Madzai,"Dailies are either crazy stupid with requirements and shit rewards or are totally bonkers. Got TWO hammers for some stupid items from Jager and 4 M4 for running Shoreline 4 times from Fence. Btw, his next daily was killing 6 PMC with F1 grenade for some garbage..."
tlrelement,Streets is great because when my FPS hits 60 I know everyone else is dead or extracted.
savy9,My friend got the same weekly except it was a black card.  We then proceeded to die 10 times straight times on streets.  Progress…
Ashisutantoo,Wtf
Trickdaddy1,Had a quest give a stack of 2 labs armbands from fence but it was kill 6 pmcs with leg shots on reserve and i barely had any time to do it :(
ChucklesAcademy,"Class 🤣🤣

Ape together strong!"
TheUltimateJon,"Gorilla strong, gorilla get many banana as reward

“Oooh ooooh oooh ooh” made me chuckle"
KingCampbell2035,2 yellows?! Or am I seeing this wrong
HappyMetalViking,Habe fun!
UnusualDifference748,I hope I never get a streets daily/weekly that gives great reward. I get 45fps on my scav I know my pmc will be worse than that.
Cr1t1cal_Hazard,I would absolutely deal with 50 fps just to run through the map 15 times
Twenty-Three23,Night time streets runs almost perfectly for me. The quest xp is so so sweet.
SmokeyAmp,"Get yourself a squadmate like this guy's friend: *""Okay, we going streets?""*"
Freduccine1,How do you know what's weekly and what's daily?
garandx,"R E T U R N

T O

M O N K E"
-Shibdib-,Prepare for the most frustrating 15+ runs of your life as you rubber band everywhere.
ItsZinho_9,"I’d cry, i cant get on street’s at all 🤣"
HowAreUbuddy,"~~Bruh yellow ones cost nothing and open literally empty room...~~  


Edit : I was wrong, sorry"
atled6,Go go go go go
Infinite-Ball8165,Now the real challenge is playing streets
0utF0x-inT0x,Hopefully you can pull more then 35fps I know I can't
Sulubezi,Haha nice man
ThatsARivetingTale,You sound [menacing and terrifying](https://youtu.be/uvbKmyp9WI0)!
gorbachef82,lol streets performance is shit so they make people want to go there lol
HopooFeather,Does a run through count for these quests?
ChilleeMonkee,Turned into Sassy the Sasquatch there for a sec LOL
MrRainbowCow,Yellow is trash though. Or is it lovely this wipe? The xp is nice af though
Sad_Peepo,"Nice, I've had a great weekly too a few days ago, all I had to do was give ragman 12 security vests (the scav vests but black), took me 2 days and the reward was 40k exp, 200k rubs and one armor level 5 + one armor level 4, worth it"
Capital_Crab1156,"Bruh I just did this task and got two level 6 armors 50k xrp and 270k, tf is that"
MTeeKay,I need to kill 70 scavs with headshots on interchange for a yellow + 480k roubles + 58k exp. I thought mine was good but yours is even better
wills1109,Ayooo
JustMattLive_Twitch,"Damnnnnnnnnnn 

have you finished it"
Massivealex9,"I got a daily this wipe to extract from courtyard in streets, the reward being two tank batteries. needless to say I booked it to the extract, and luckily it was there when I got to it."
InfiniteBeat00,Also got [yellow](https://gyazo.com/a32cf78830d0e9aba5011d5201d1dd70) card + west 301 as weekly quest!
nevara19,"Well... Extract from streets 15 times.

I loaded into streets 0 times so far. And I'm level 36 now....

I wouldn't even do the quest tbh.

Gratz to you"
brxtin,Interesting… I got the exact same weekly with the rewards of 1 yellow card and 1 21Ws card
FoxLP11,"my friend got a blue keycard this wipe on our second raid from big pipe which i headshot

i died to fucking birdeye before i could do anything

ive killed both knight and big pipe 3 times last wipe and died to birdeye every time

literally had the quest for it, the only time ive killed him before was before i had the quest uuugh"
Jackal_Oddie,Wtf why can’t I get those weekly’s hahahaha
JiffTheJester,Are yellow keys good now?
Zer0_Logic,Meanwhile I get a quest from fence which is like kill 15 pmcs in streets by shooting their right or left leg
ca1v,Wubby?
RoofCheese,Last time I saw yellow it was 25k… has it been buffed? Why the hype?
Omena123,I would commit sudoku if i got a streets weekly
pennyclip,"Same level, just picked up my sweet weekly of running factory 30? times for 100 r37 rounds and 100 m855 rounds. And half the xp. 

Congrats and fuck you very much"
ZombieBro007YT,Impossible quest
Senior_Switch_4376,While I'm getting survive 15 labs for 37k xp (lvl 40) and 3 corrugated hoses as reward...
yeet294729,"My weekly was literally find 5 tri zips, 4 zabrallos, and 5 betas all in raid"
InsanityxD1,I want the same he did order.
loongod5,avg tarkov player in ohio
EnderNate124,"The one time I managed to load into streets as pmc, my game crashed 10 mins in and i got killed while reconnecting. Good luck."
Turtvaiz,Am I missing something or isn't the yellow keycard the worst one and like 500k?
