author,comment
fuckboy_city,Fingers crossed the audio gets noticeably better with these changes
elrabbit0,"Boy, I can't wait for `Several other changes and fixes`

But for real, it's nice to see some preemptive communication! I hope to see this trend continue."
Joeys2323,"Damn some actual communication, this is nice. looking forward to the DLSS update and sound fixes"
afg2203,"New group system. Now one member of the party spawns in another map. Enjoy. 😁

Edit: Not joking. F me.... Played 3 Shoreline raids yesterday with two friends. Every raid we spawned as solo in opposite ends of the map and opposite extracts!"
Cringingthrowaway1,"Hoping but not holding my breath for fixing audio issues. They have ""fixed"" audio like 6 or 7 times over the last 2 years and only ONCE did it not make things worse."
Mobile_Risto31,"I just wish the preformance issues me and my friends (at least) are having could be fixed, the game stutters a lot and generally really low fps too"
hiidkwatdo,Whoa is this communication about a patch BEFORE a patch? Nice work fella
MisedraN,"Any performance fixes for lighthouse and streets ??
Please i beg u bsg
I want to play these maps but the fps drops,stutters and rubber banding is unbearable"
AlcoholicSkeleton,The biggest crime was the looking for group button.
ilovetechno71,"They forgot to add

\- New Streamer Item. RENAGWRLOL crying baby doll"
Mesromith,Happy that they are actually communicating something tbf
AnonNorwegian,ETA: 2-4 years.
Tropod8,"Wonder if they’ll update to DLSS 2.5.1, which I believe came with Portal RTX or The Witcher 3.

It should remove ghosting considerably, which is the only reason i cant use it with EFT, scoping in is painful on a painkiller."
Rdugs,"I got excited, it's just a roadmap though."
sucr4m,some actual good dlss implementation would be a dream.
Z0EBZ,"Can we fix the lighting on other maps...? Streets ain't that bad aside from all the damn rubber banding. Hopefully (doubtfully) the audio will be fixed, at least stuff like sounds missing all the time. Sounding like a pessimist when I read ""several other changes and fixes"" as either ""more bs to ""slow down progression"" or ""that's enough work for one month"""
dylangutt,Why no mention of streets rubberbanding or memory leaks? That should be a top priority
ranopan0,very good they communicate
marniconuke,"Well i fo rone i'm glad they are at least communicating, looking forward to those fixes"
l3uLLDoZeR,Maybe I won’t hear random gunshots next to my head now.
CanadianBear67,Fuck me they got to do these posts alot earlier man. Communication is key especially if we are beta testing the game.
-Shaskis-,"Some actual communication, but I want to see actions not words, preferably their game to run better."
No_Issue214,We are at the point where im scared everytime they are going to fix audio
Ivandragosgopnikson,"Planned™

Confirmed™

Trust the Process™"
geoguy2001,"I feel like I've seen these lists before.  A patch comes out, shit breaks, and they put out a patch fixing the biggest issue, maybe one or two more.  The rest of the problems stick around.  I remember when the glasses bug became a thing, I thought it would be fixed pretty quickly, it seemed like a simple issue.  It's still a thing."
ThoroughSix7,What about fixing some people constantly disconnecting and we have to either play with a VPN or litterally call our ISP to change out fucking router settings to play a game in...what year it is it again *checks watch* 2023
HavelDad,"They hear us at least, hopefully the audio fixes come sooner than later. Love this game, and I can deal with the BS it puts me through, I was even fine with just the bushes fist fucking my ears and vertical audio being nonexistent, but now Audio is just, bad, sounds turn on and off, lil half miliseconds of audio clips still randomly playing sometimes, hearing people right out the window of my building doing a firefight but when I look it turns out they're underground. Bleh at this point I aught to just start playing with music on"
SourceNo2702,"Jesus christ, why did it take so long for them to tweet this. A simple “we are working on it” would have set most people at ease."
Haarwichs,"Oh nonono they don't even mention the rubberbanding and low fps on streets. This doesn't bode well, boys.
Also not mentioned: D2 extract being bugged as well as aidrops not working correctly. 

Also what about missing sounds for bushes, barbed wires, planes etc.?"
,"New Player Group System - why NOW?

Btw: Been there, seen that -> https://twitter.com/nikgeneburn/status/1490700996883980297

Promises everywhere and declarations of „XYZ is fine 👌“ since years now.


Hard to believe anymore, despite all the bütfuckery that is going on since a while (War etc). Time will tell…"
WhatRobulus,"This might sound a bit conspiratorial, and it might be a translation error, but the part about sound reads like they only are fixing binaural audio. Which almost everyone has turned off because it halves your frames."
roflwafflelawl,"So do they just not have internal testing? I know new issues can always pop up once a build goes live but specifically the audio I feel should have had more testing before getting pushed out. 

It's just way too off for it to have released in the state it was in and I don't honestly have high hopes with the planned fixes considering the improvements we were supposed to (at least I think so) get with Steam audio which they scrapped after 2 years of using it."
