author,comment
Hithcock-Mac,Good shit.! Baby steps. You’ll be a chad in no time
OccasionalJoint,Nice brother. Now the addiction really kicks in lmao
Fotogenlampa,https://mapgenie.io/tarkov
Atlas_Sun,Sometimes ya gotta get that item out! GG here’s to many more.
Solaratov,"As a brand new player, it's very valuable to use Offline mode to explore the maps. Not to be confused with co-op  mode which requires the Edge of Darkness upgrade, offline mode is available to everyone."
choos3wis3ly,"Best help I can offer is use your scav run every time it’s up. Don’t even worry about killing stuff. So far this wipe I’ve run into very few aggressive player scavs, so you are almost guaranteed to be free to explore and loot.

This gets you a relatively consistent cash/item flow, and increases your knowledge of the maps and game flow without the risk of losing stuff on PMC runs."
O1_O1,They grow up so fast :'(
Ok-Yogurtcloset-4159,"Nice, so much more info to learn! Have fun it's addictive."
TeamGrippo,"We all started somewhere, it took me 3 wipes before I was even “decent” and I’m still hot garbage. Keep grinding"
Cyser93,"U got this!
2.5k hours player here, use the escape from tarkov fandom Wiki to Look maps up, helps a lot :)"
neikouxd,I wish I could play tarkov for the first time again.
DJ_Explosion,"*kisses half a bottle of toothpaste while taking a couple bullets out of my leg*

Worth it."
CenterCenterPolitik,Remember slow is smooth and smooth is fast.
Malviere,Very awesome. I just started last night and look forward to my first extraction.
Retsaottoaster18,Wait until you run into a dead PMC with a ton of gear on one of your random runs. You’ll know the true feeling of adrenaline when you’re googling extracts on the map you’re on while you’re hiding with a ton of gear hahaha.
waituntilthis,"In case you dont know about him, pestily makes great tarkov vids for beginners/pros alike, he can really help you out"
Dr-Carnitine,you managed your first survive in a day? that took me almost a week
SamuelCish,"Customs is easy to get lost in because most of the maps online are upside-down.

My advice: pick one or two maps to learn. Customs and Woods are pretty friendly maps. 

[Here's a good map for customs](https://www.gamemaps.co.uk/game/tarkov/maps/customs_3d_real_north_day_Re3mr)

Remember if you game time is AM or PM, this will help you determine North and make navigation easier until you unlock the compass."
Zumbert,"Savor it, it might not feel like it right now, but the learning phase can be some of the most heart pounding memorable experiences you can have in the game.

Eventually you will become desensitized to it all, so really take it in while you can"
Kikidog23,"I got level 2 before I even got into a raid. 
No I didn’t do a scav raid. 
I researched very possible thing I could before doing a raid

Got lvl 2.

Learn how armour and bullets work. And you holding an angle doesn’t mean u will kill a guy when he walks into you. But every time someone holds and angle you will die.
- quote of the day"
PM-ME-YOUR-TITS,Godspeed son
fluffhead42O,Nice!!! This is my first wipe too. I was so fking stoked to get my first extract. Took me like 8 raids. I have about 80 hours in and I'm addicted...I'm getting better but man is the learning curve high. Solo only player btw
SPCGMR,Mapgenie.io is your friend.
ledmetallica,"I love hearing stories of first time players. I relate to them with my early stories as well! Enjoy your time in Tarkov! You will hate it to it's core before you love it. Then you'll hate it even more, then you'll love it significantly more.

...it's a very abusive relationship"
jkerpz,How the fuck do you know where the extracts are? i just run around until i eventually die because i have 0 clue where extracts are.
Effective-Category86,Congrats. It's not easy and customs is a chad process map. Keep a second monitor or a tablet with map open always. Map genie you have have just locations and extracts only on it if you want and it makes it a lot easier
8BitAsbestos,Use mapgenie.io to help you learn stuff in maps
HappyFoxtrot,That is awesome ! Welcome to Tarkov !
JosephGrappe,That’s awesome! Are you typically trying to run your raids in the early mornings?
SnakeeeDoctor,Hell yea! It's a long grind to learn the game but that's a huge rush to survive your first one! Congrats man.
unfoldingevents,"If you need help sen my a dm, can guide you if you like."
-McFresh,Yooooo congrats man!  Will you be on around 9 pm eastern time tonight? If so dm me.
Devon_AJ,Your addiction will become more extreme once you reach level 15
DJDan_96,Try the off line raids to learn the maps interchange is easy to get out when you outside
pooder27792,GG shit so addicting
coconutlogic,I would use a map guide or watch some videos of how to get oriented with the maps. It can be very confusing.
AlexArkham,"We all started like that, so you're doing well. Stick with it, and try to not let anger take over when bad things happen!"
2fry,"Con fucking gratz man. I was just talking to my friend yesterday how I really wish I had footage of when I first started playing. I remember everyone saying ""don't worry we were all that bad and you get better"". So.. don't we were all that bad and you get better, enjoy every victory 😁"
artisan-,"5th wipe player here..
Still remember my first extract..
I literally raised my hands and needed a walk in the room making air fists..
Keep rocking it.
U will learn the maps..
GG"
SignorFreeze,"I remember the feeling of not knowing where I am, what to do and using the wiki for guidance, good times.. you'll get the grip soon and that will be an even better feeling. Enjoy your time and welcome to Norsvinsk."
Haymush,Well done!
-TAAC-Slow,Use the many map tools to learn extracts. Use the offline mode to practice finding those extracts. Use your scav every time you can
kreynlan,"How did you manage to get a run through on customs? I'd have to be b-lining it to extract to make it there under 10 minutes, never mind scavs and pmcs"
CRU1Z3R,"I finally started really playing this wipe, previously I played a couple of times a few wipes ago. Literally just spawn in with a buddy run around get lost and that was it. But finally this time playing getting in and out of raids pretty well on my own. Kinda addicted at the moment."
Rk0,Only a matter of time before he starts yapping the game is still in beta.
ErifSenpai,Keep going man🔥🔥
Electrical_Buy_8647,Jiminy_Chronic I'm still learning the maps myself.
jetski1105,Do you have discord ? Send me a Dm. I can help
juitar,Map knowledge is a big part of the game. Congrats!
Dr_Be2t,"Play woods, its a much easyer map for beginners"
Deimos_PRK,"Play with your scav as much as you can or offline (only with your PMC) if you want to learn maps/practice, you can't do missions (except FIR (Found In Raid items)) with your scav. If you have no more equipment in your stash, no money, use your scav, it's always just free loot. Having a higher reputation to Fence will reduce the wait time for your scav and give you better equipements on your scav but having lower rep will do the opposite (longer time and worse equipment) if you're at 6 rep, others scav BOT will follow you and bosses won't shoot you, if you're at -6, others scav BOT will automatically shoot you. You get reputation by surviving a raid with your scav or killing a scav that just killed or shot another scav, you lose rep by killing another scav (all this as a scav (if you shoot a scav by accident and he shoots you back, killing him will make other scavs come for you, if you kill them you'll keep losing rep (if you lose rep it'll usually be more than what you earned (so for example, you kill a scav and lose 0.10 reputation but you will only get 0.001 per raid survived)))) so if you're a scav just don't shoot anyone, it's better just dying since it's not your loot anyway. You should watch as many game tutorials as you can and keep in mind that the Tarkov wiki is always your friend (there's cool maps on it, it explains everything, missions, items...)"
Complex_Teaching1872,Use map genie
Berkee_From_Turkey,"Keep in mind that when fighting, map knowledge is about 60% of the fight Imo. Learning where people can come from, where they're most likely to pull back to, where they'll flank from, is key to winning fights. The more you run those maps, the more you die and survive the more you'll learn where to go and where not to! Good luck homie I got like a full wipe, wipe and a half before I learned how to play the game well"
cooprtc3,"Let me know if you want someone to play with, me and my buddy are both semi-new but can find our way around. Teen friendly!"
TheRock3tBunny,"Awesome. Last wipe was my first and i hated customs, I didnt know it and it made me nervous. This wipe I like it way better and know it a lot metter. Map knowledge helps so much"
Few_Ad648,"Keep it up! If you’re having trouble learning maps try offline. Be sure to use the gear you would use in an actual raid so you don’t get used to using your best gear unless you’re actually going to be using that gear consistently. 
And use your scav! Always scav lol easiest way to make money. You can make at least 500k a run if you know what you’re looking for. I scav on customs and just run through the stashes and a few buildings and make it out rich."
ResponsibleYou2525,"Fuck yea, CHAD incoming!"
jmenendeziii,use a map to start ([mapgenie.io](https://mapgenie.io)) but as soon as you feel comfortable without it stop using it. Also dont be afraid to run shit kits like mosins or sks and put the extra ammo in your secure container so you arent blowing through ammo. Offline mode helps a lot too
Agreeable-Ad-2334,Just dont end up resorting to cheating and its all good
Mediocre_Soil_3200,Nice. Great feeling. Excited for your to get your first back pack full of PMC remains!
NastySteeze,"Ah, keeping your dignity for a raid is the best thing you can bring back!"
Ok-Life8294,"You don't learn anything if you play with others. Just continue playing solo. You'll die 90% of the time until you don't. But that's how you learn. Playing in groups as a new player is how you turn into a little bitch later on. Play solo, you'll be a better player."
poopystinks21,Just have a map up on another screen or your phone and you will learn it over time
YcktaranGuilds,"Well done, Customs can be pretty ruthless. Try offline raids to get to know the maps better!"
Miserable_Tax_5911,jsut made a reddit acount to say good job and keep on going freind!
SamuelCish,"If you're ever looking for a duo partner, send me a DM. I've been playing for only a week, myself. So it'd be nice to learn the ropes with someone."
ZuperChillain,Hell yeah! Onto the next one!
