author,comment
EpilepticDentist,"A stoppable force meets an easily movable object.


Edit: Also this is pretty much the same when you pvp several dozen hours into the game atleast for me. You both panickingly mag dump one another when you first see each other and just awkwardly circle around each other and praying that you can reload your weapon first and kill them."
24Scoops,Unless I'm blind I see a ceramic level 4 body armour under his Tac Rig. You're shooting some form of buckshot which other than flechette has almost no pen. You aimed center mass the entire time so basically his armour was eating all your shots. Aim for the legs or face in this scenario.
waFFLEz_,"You just need to work on your point fire and you'll be fine. 

And you need to play to the ammo you are using. with 7mm buck you wanna go for head or leg shots.

If you were using something like flechette you would have killed him ages a go with those thorax shots"
twuit,"these are the best fights, 1 min shoot outs and you arent even mad afterwards

the most frustrating thing is getting onetaped out of nowhere 20 min into the raid"
xxxZEDxxx,I was cheering for you bud I really was!
Dannyawesome2,"You, good sir , should get yourself a laser if you prefer not ADS"
HecklerK,[Awkward shotgun fights are a perfect opportunity to yell at people over voip](https://youtu.be/EMtG95jgevw?t=99)
Dilbert-Actual,"Hot take, people saying “ADS” are (sort of) wrong. At close range, ADS just slows you down. Just practice point firing for close range. Not saying imitating streamers is how you play the game, but watch other people PVP. It honestly helped me a lot."
Illtakeboffum,Laughed way too much at this
Matto_boi,Yeah that was awful lmao
Guilty-Resist-509,This is usually me but i've been playing for 3 wipes... Just wait for the PTSD to kick in and you start seeing stuff that isn't there (This is not a exaggeration or a joke). Enjoy though you did fine.
AWAYeez,Maybe lower sensitivity a little bit? You got unlucky with the fact that he had lvl 4 armor and you had a blacked arm but you also could have performed better. I’d suggest turning that laser on or quickly aiming for a bit more precision and attempt a headshot. I’m sure I’ve had just as embarrassing moments though !
Mindset_,bro why wont you ads
Embarrassed-Equal-19,Atleast your getting to play streets haha.
McSlaughter,"Go practice Offline Factory with the Scavs turned up, bro."
oliot_,This is art. Never feel ashamed of it
jessesomething,"Love these kinda shootouts! Usually we just end up talking to each other and saying like ""I'm gonna go this way, and we can just call it a draw lmao"""
Zerleodon,"One huge tip with shotguns, if you see they have armor. Aim for the legs. Buckshot don’t do shit to armor. You hit em in the legs. It’ll just be 1-2 shots. Also try out lasers. Or a laser light combo"
animal1988,This was REALLY funny to watch.
Mightypeon-1Tapss,"this death can be improved because it was your fault, some deaths are literally tarkov’d like desync cheaters stuttering"
rifts,you know theres a right click feature right bro lol
Pirat_fred,"Why the fuck dosent he use the sights? 

I mean sure hip firing is important but he had plenty of time to aim...."
JewPhone_WhoDis,Stop scav on scav violence
DiamondNinja4,FYI: scavs can randomly have 2x or 3x health
