author,comment
irze,It’s made even worse by the fact that there’s been a bug for months that even if you cancel a listing it still takes up a slot
Kefeng,"Optimistic answer: Because in 1.0, everything will be balanced.

Pessimistic answer: Because they have no idea what they are doing."
Anything_Intrepid,"Because it's easier to just crush the average player than do the hard task of combatting cheating, botting and RMT.  


Written by an OCE player :)"
internet_please,"Most things aren’t even worth selling on the flea. Plus, trying to sell 150m rubles worth of stuff with only a couple slots is just not feasible or worth it."
FracWelll,"To ""combat"" RMT"
Trygvelurius,"You used to start with 3 slots like 2 years ago and if i remember correctly unlocking a fourth slot was not that difficult for a normal player, only 10 flea market rep, unless it was 10rep to unlock the 3rd slot when they first changed it to only 2 slots.

Probably the only people unlocking the third slot this wipe are the most hardcore players and cheaters."
attomsk,It’s like they built the flea for RMT only
Faesarn,"It hasn't always been like this. Couple wipes ago, IIRC you got one more slot at 10 and another at 30, which made it quite easier to sell things. Now I'm so bored I sell most of my shit to traders."
Chris__352,To stop RMT. As you can tell it worked. LMAO.
,[removed]
Ok-Street-7240,Guess who benefits from this once more. People with 40+ hours per week and cheetos
gudzgudz,3 trade slots is an exclusive feature for VIP customers - cheaters
justice_Cx,Why do I need to reload a mosin every raid for the first 20 levels for a single quest? Who knows. Maybe they don't play their game?
Scavwithaslick,"It used to be less, the good old days when casuals could progress"
benzilla04,I only got to 30+ flea last wipe because I come across a red labs key card. That done wonders for my flea rep
roywarner,"Because the developers assume that your life is Tarkov and that you don't have a job, hobbies, or a family."
Azurealy,"Their thought was if you make it more difficult, RMTers won't be able to do their thing as easily. What happened instead was everyone was punished and the RMTers get 1 or 2 extra trade slots over everyone else with no consequences."
Turbulent-Grade1210,"*""Has it always been like this""*

***wistful music intro***"
NytroBeast,"The flea is more of a hassle than fun anymore, I just vendor what I don't want to use"
_asdfjackal,So that BSG can pretend to make the game harder for RMT while actually changing nothing for actual RMT people so they'll all buy new copies of the game again when the next ban wave happens during the next sale.
Gottabecreative,"My previous played wipe was 2 years ago and then I was motivated to sell on flea because there was a sense of progression. Now, trying to lvl up your flea offers is just another grind. I don't want to become a zombie just to feel like I am progressing ..."
Shizukage,"Don't think I've sold stuff on flea worth 150 million in any wipe ever, then again I usually get tired and quit after reaching level 30ish"
xPizzaKittyx,"honestly don't even know how this mitigates RMT even the slightest, seems like everyone just has a hate boner for cheaters at the moment. RMTers gonna RMT reguardless.  


My assumption its there to keep people selling things fast instead of just having a bunch of expensive listings that are never going to sell, which as a result eases server load and also gets you to sell things faster. AKA a mechanic in the game that keeps you from just selling everything super fast at their optimal value. (this IS a flea market)  I do agree though, 10.0 rep for an extra slot is a little wild. Like why not give us a 3rd slot at 5.0 and then a 4th at 10.0, give the casual players a bit of leeway."
DucksMatter,"They did it to “combat RMT trading” thinking it would affect the RMT if they only had 2 sale slots. But much like all the other things they did to “combat RMT” it didn’t actually affect those partaking in RMT, it affected the casual playerbase."
OCWBmusic,You started with 3 and got an extra for every 10 levels of flea rep you got several wipes back. I miss those days.
schlosoboso,"how to fix all the issues with the flea/FIR/looting system

1) (ignoring durability items) you can only buy the CHEAPEST listing on the market. Someone lists a LEDX for 900k and you want to purchase the one at 1.1m? You buy the cheapest listing for the price you're willing to pay.

Durability based items would trade as they do currently, with a limit to pricing within half the minimum average and double the maximum average- to prevent listing these items for high prices for RMT.

2) remove barters. There is no reason to have this in the game. It just facilitates RMT and clutters up the UI. It's mostly scams, RMT, or an attempt to bypass the ABSURD taxes- speaking of stupid taxes:

3) remove the ridiculous scaling tax. Simply add in a flat tax depending on what kind of trading you want- a 2-5% tax would be acceptable in my opinion. There is no reason the tax for a 500k key should be 490k.

4) Remove the FiR restrictions on armor, weapons, and ammo and backpacks. Anything wearable shouldn't have those restrictions. Reintroduce all the previously banned from flea items from the flea, like labs keycards, NVGs, thermals, good ammo, etc. Add in durability on items (NVG Mounts, rigs

5) Remove all the DOGSHIT from the loot table. Ammo, armor and such that is WORSE than what is attainable from level 1 traders shouldn't be in the loot table. 85% of the ammo drops in the game aren't ever worth picking up, which is bad design. Attachments that are simply worse than what is purchasable by level 1 traders shouldn't drop. remove the clutter."
Tark001,"OP just save up 99 Graphics cards and put them up all at once, seems to be working well for the level 19 doing it at the moment."
ordinarymagician_,"something something anti-RMT something something slow progression something player base desires somethingsomethingsomething ""I already got your money, fuck you"""
JoseMnez,"Old system was better, you start whit 3 trades, when get 10 rep, you unlock 4, and when get 30 you get 5.

Correct me if im wrong :("
Scarity,"I'm writing a script that just cleans my stash for me. I'm trying to get it to work with icon detection, deciding wether to sell it to a specific vendor or list it on flea at a just below lowest price.

It's not the fastest, but I can run it while I go grab a drink. This is not a skill issieus, at 5000 hours, I'm rather sick of the repeat. I stopped picking up items last wipe just because I didn't want to deal with selling.

edit* Don't DM me to share this, I don't know BSG's stance on this and I don't feel like stepping on their toes"
SwiftBetrayal,Tarkov is dead. Just wait for dark and darker
EngiNERD1988,I’m pretty sure they are going to remove the flea eventually TBH
bufandatl,I think it’s ok. TBH in all the time the flea exists it’s at the best state where it is now. Level 15 to unlock is reasonable. Not endgame gear is ok too. I can use it to get the last piece of a craft or hideout upgrade. Trying to find AA batteries atm and with 4 to 6 hours a week it can take time to loot all the stuff you need for a craft.
SweetMeal1414,Realism
Dlitosh,I just sell stuff to traders
BaziJoeWHL,"I think to combat bullshit barter offers, if you have fewer sloots, you cant post as much impossible barters

in the past we had 3 slots, and the fourth was locked behind flea rep

in my opinion, if you sell stuff priced reasonably, 2 slots is enough"
CUCKSTER0101,"I like it, makes me grind even more so i can reach 3 slots at the end of the wipe."
EstablishmentCool197,"I literally had no idea you can have more then 2 trades, lmao. It’s my third wipe."
smegmathor,"It's designed to impede the cheaters from posting all their loot too fast.... 

/s"
Reasonable-Wasabi-61,The game is meant to be punishing.
DrXyron,"Why do you need to sell anything on the flea, and why is the 3rd spot so important for you? I’d understand if you said you wanted to barter scam. But other than that really, selling things around market value will make it so that deals go through quite quickly."
BlackKnight6660,Tbh I don’t get why people are complaining so much. 2 flea market slots are more than enough if you actually think about the order you sell things and the price you sell them at.
,[deleted]
Southern_Media_1680,I mean i only play on weekends and I've managed to get more than halfway already
bungothecat,And you'd think with these nearly impossible incentives that it would remove people who got to this high rep early into the wipe :)
