author,comment
sadroobeer,Bro upgrade those lights lol
NUTmegEnjoyer,"Are you pulling down? Because that's how it kinda looks like for the MP7 there. 

If you didn't, these are really great changes."
Over_Statistician913,Impressive. Very nice. Let's see Paul Allen's recoil.
Carl_Slaygan,"holy shit its like an adult human is controlling them, instead of the absolute fetus holding the gun before"
Tocki92,Did they buff all the weapons or just those two? Is aug1/3 included?:)
6francs,I don’t know maybe you can turn the light on or go on an offline raid. Would be way easier to see
marshaln,OMG my PMC doesn't have noodles for arms. Maybe it's time to try this wipe
DJJ0SHWA,I'd still like them to reduce first shot recoil to make semi auto more viable. But this is a good start
DilWig,"imagine a little number update that took them like 2 days to apply was enough to solve a whole issue that we had for like 3 wipes, this showcases that they really just want you to suffer until we basicly riot and try to ruin the game reputation online.."
ShinyRayquazaEUW,"AMMO:  
856A1 and FMJ SX.  
You can see the builds at the end of the clip.   
I am pulling down the initial 3-4 bullet climb while crouched and then I am just holding it."
DevilJabanero,When did they update?
beqs171,What reoil is this m4 and what ammo are you using gor the mp7
GZero_Airsoft,"Still not happy with recoil, it still pivots up like a pistol shooting even though its a rifle. First shot vertical recoil on semi is the real problem, still doesnt end full auto meta with auto recoil control.

If they reduce first shot or 3 burst vertical recoil semi and burst would be viable, and keep horizontal the same or make it get progressively worse in full auto and the skill reduces the % of horizontal getting worse in full auto so the skill is not useless. Then we will stop seeing laser beam full auto rifles and more people taking calculated shots/bursts."
ApeOfDiamondz,"Base mp7 too. Looks great! Can’t wait to try it. 

Thanks for sharing."
PanProjektor,Laser is back on the menu boys
Nightxax,"""The chads are gonna be so more OP now guys! Now they can aim and shoot where they intend their bullets to go! THIS IS NOT FAIR! BRING BACK THE OLD RNG CLUSTER FUCK RECOIL SYSTEM. WHAT THE HELL NIKITA!"""
YourAverageGiant6-6,You kind of ruin the test by manually pulling down to compensate...
kojimbooo,That's a crazy beam on the M4 with those mid parts while scoped in.
3Foss,"This is fucking sick, now remove/reduce stamina drain from being hit - then we are gaming"
Sesleri,"The recoilDispersion stat they changed seems to be the totally random recoil, so a lot of horizontal recoil is removed but a lot of guns still pull up.

The guns that totally depended on this stat for any recoil (like MP7) are ridiculous now.  

AS VAL and VSS totally left out of these changes, they are horrible now.  MPX, MCX still horrible with their massive vert recoil."
rbstewart7263,I'm actually excited to come back either this or next wipe now. 😊
LoneCentaur95,Wait until you try an M4 that has good vertical. You can get it down to 22-33 pretty easily.
DarthWeenus,Whats the update? Mine doesnt say any updates? Mine is 0.13.0.121531
Stelio_Kontos-13,"A noob here! If you use a weapon at the shooting range, does it consume ammo from the stash?
Thanks for the help!"
