author,comment
evoxbeck,They shouldn't also be able to head eyez you through five hundred trees.. Sick of that bull
noobgiraffe,It's comical with rogues on lighthouse. As BEAR you look at them through scope 200m away by only poping half your face from behind a rock and you instantly eat lead from full auto iron sighted MG.
Susman22,I don’t even understand this mechanic? Is it to make scavs harder? Because I just don’t see a reason for this to exist.
CapeChill,I was once trying to do shooterborn sitting on the hill at gas on shoreline. Sanitar spawned at lighthouse and while I must've been to far for him to engage when i went over his head with my 6x he snapped to me and stayed that way until a pmc ran down the road 10 minutes later. Creepy as hell!
PoloHusky,"Last night, 3 raids, night raids with silencer at distance. Head eyes by rogue I shot at from like 200 meters as he strafes and full autos. Get run up on in a bush two more times by ai scavs for no reason and head eyes. I took a break after that. It's insane."
AchokingVictim,"Not to mention then if you kill the scav and loot them they've got some 47 durability AK with no stock or rear sight, but they were making like 170 meter shots with it"
Scavwithaslick,Every AI in this game is so aids
FinnenHawke,"As a new player, this absolutely surprised me. 

I went to Woods with my more experienced friend; she was doing some quest where she had to kill scavs with a shotgun. Since I'm still learning the game, I just proned between a tree and a huge rock (on the opposite side of the scav house) and looked through my red dot towards the northern side (a little bit left to the road). In the distance, far behind a damaged car (I think), at the edge of the treeline, I saw a scav patrolling. I could barely see him, but he was definitely there and looking somewhere to the side. I was pointing at him and told my friend where he is, so she could run there and blast him with a shotty. 

Then it happened.

I just saw his posture changing in a fraction of a second and then I saw a green tracer flying towards my head from like 250 or 300 meters. I guess he didn't like having a stalker. xD

What a joke :D"
Fictitious1267,"Totally agree. They overtune them because they can't program their AI better. And for some reason they want Scavs not to be cannon fodder recently, even though that's literally what they are supposed to be. I think they honestly forget their own initial vision, and just want to watch streamers die, even if the game is worse off for it for everyone else."
hiddencamela,"I HATE when they crouch spam to dodge shots.  
I watched my friend shoot at one, and everytime he flicked to the head, the scav would crouch then stand."
LinkinBreak,"I believe that the scavs detect you when you aim at them if you're using a scope because the Picture in Picture is effectively a camera much closer to them. So they're detecting that camera and that camera is attached to you. Which they shouldn't be detecting at all, but it's been that way for years now.

If they're detecting you with iron sights or red dots, that I'm not sure of what would cause that. But I agree that if their detect rage is, for example 100meters, and we're 150 meters away, they shouldn't know we exist unless we miss our shots, no matter the sight we're aiming at them with."
SageHamichi,Sniper scav killed me head eyes 3x today on shoreline through bushes.... at night....
Yetiplayzskyrim,"They can smell you, that's why I bath in scav piss."
HonorableAssassins,"Ive heard of this issue for years, and seen a few clips, but ive honestly never experienced it first hand. I play mostly sniper/dmr style and track scavs until i have a clear headshot, and ive never had one magicdetect me out of nowhere.

I have seen it in clips, but i think its a bug, not a mechanic, personally. Unless BSG has ever claimed otherwise that im not aware of?"
KingzLegacy,I love getting clapped by a scav on the MG while I'm in crack. Happened twice today fml.
TheDreadedNorsk,"Clapped a pmc, got all his gear, a m4a1 with m856a1 made my way around shoreline to the bunker and a random so scav walks out the bumper I shoot him with a few controlled bursts to the upper thorax and head. He doesn’t die. I shoot again, he returns fire, I end up dumping the whole mag on him just to get killed wearing level 4 helmet and level 5 armor. Lost everything to god scavs. Where should I send in the video lmao"
BertBerts0n,Thats the realism tarkov strives for!
Pikatron321,"They should just have a vision cone in front of them. They should move occasionally and thats it. Patrol around sometimes.

Raiders should constantly be on alert, looking around a lot spotting players in a cone again.

&#x200B;

It surely cant be hard to make decent AI that work as they should be expected to work. 

Scavs = not tactical / not combat proficient

Raiders = tactical / communicate well / heavily combat profiacient.

&#x200B;

What I also hate is player scavs loading into raids that have been live for 4 mins.

Lighthouse is a main one... how are player scavs beating me to raider loot lmao."
HaZarD_SFD,"Playing as a scav on reserve, this title is just triggering.  Those fucking raiders sit there and eye fuck the scenery.  I walk up with some shit ass Mosin or VPO with an MMA of 18+ and line up a headshot.  Fuckers run away like the peter tingle in them is just a jingling.    


Listen if they see me then cool, call it a visual spotting system.  However when I aim at the back of a head and they all of a sudden gotta go take a shit, thats downright wrong."
