author,comment
Decent-Pangolin2064,It's a quest to kill 15 pmc on pier that's the reason behind it still shit
Shawn_NYC,"I did this quest last wipe (never again) and I spent about 30 hours listening to podcasts waiting for footsteps so I could murder some poor level 10 Timmy then go back to podcast listening.

It was one of my worst gaming experience of all time and I'll never go for kappa again."
TrickyCod208,That quest is one of the worst.
YTmrlonelydwarf,That quest is one of the dumbest quests I’ve ever seen but he’s honestly got the best way of getting it done. It’s unfortunate that you ran into him doing it but as the wipe goes on it’s only gonna get worse as more people get the quests
El_Mutchos,"Quests that require you to kill PMCs in certain locations should be removed from the game. Fair enough killing them on a map, but this quest is one of the quests that I refuse to do. 

I refuse to sit on the pier and camp a low traffic zone to kill Timmys.

It’s not fun game design, it’s not fair game design and it isn’t immersive."
ConsumeFudge,Thank BSG quest design for this one
Woahboah,Need streamers to convince bsg to change that shit quest.
Shadowraiden,hes doing a quest which is kill people in that location its a pretty meh quest because you essentially have to do what hes doing. just sit at that location and wait for somebody. most who end up going there are people like you who need to mark stuff.
SovietVillageBoy,Why does that sound like Trey24K?
buckets-_-,"Sounds like he was stuck doing Outposts

not his fault the quest is ass imo"
Improstor,"Its basically BSG fucking up a quest, such as ""kill PMC on Pier"", a place where mostly nobody even goes to.

The guy has basically no other option, but to sit like that and wait.. hope..

Blame is completelly on BSG part."
baddieinabeamer,average bsg task
Jazzlike-Jamaca4864,That sounds like trey24k
Shpongolese,"I'm just imagining the pmc chillin, watching cops on a TV upstairs, and just sighs as he hears steps approaching, grabbing his gun after."
greyjest25,"I read two story, and my brain went straight to dorms.  It’s police station, please, for the sake of your teammates"
samineb,The quests need a complete overhaul
rivensickomode,"I’m sure this isn’t the same guy since he was probably doing a quest. But one time I got ratted on by some guy camping Emercom tents on interchange. Obviously pissed, I lookup this guys stream and his tarkov content is LITERALLY just camping. The very next raid he loaded into labs, ran to red keycard room, sat the corner of it with a shotgun and watched YouTube while talking to chat. Just waiting. That is literally how he plays tarkov. This is why i have trust issues and act like there’s always someone camping me now."
