author,comment
Savagenius,The more I find out about the Lightkeeper the less interested I am. None of the quests seem fun or worthwhile.
TheRealSlobberknob,"Jokes on them. I was never going to get that far anyways, at least not on a 6ish month wipe schedule."
TheFlabbs,You have just sent the cavalry to that island in making this post. People are going to abuse the fuck out of that lmao
THROBBINW00D,I already have a full time job I don't need another one.
vaapr,It almost seems as if they wanted to make the quest line impossible and then tweak it next wipe or something. I’m new to this game but holy shit as a level 17 I don’t ever see myself getting to level 40-50.
i4play,"Absolute trash mechanic. Everyone and their granny can go there and bait players who have unlocked those LK quests and they pretty much have to take the L unless they want to get on those tedious tasks. I am indifferent because I know I will not ever get far enought to unlock LK, but this is just stupid gamedesign 101"
attomsk,This might be some of the worst content ever added hahaha
Trygvelurius,"Sniping from the lighthouse into the mainland seems incredibly abuseable then, if you've met Lighkeeper you can't return fire. 

Does it work both ways then, if someone on the Lighthouse kills someone on the mainland do they get punished the same way?"
pistonslapper,The worst part of lightkeeper quests is having to play lighthouse...
BaderBlade,"So, if I'm camping the bridge and a full Chad shows up, he can't kill me and i can kill him, ransack him and leave for free meta kits? And if he kills me he fucked up, wow i will definitely do that"
PukkaMeal,"why even release lightkeeper, what a joke he is"
IMIv2,"I'm confused now, dont you NEED to kill 20 pmcs on the bridge for his quest?"
Ru8ey,Braindead devs
Niitroglycerine,"Honestly light keeper is the most disappointing piece of content they have ever added and I genuinely wish they just saved it for 1.0 and never spoke his name

All that hype for this shit"
Txontirea,This seems like genuine cock and ball torture. Fuck everything about this stupid NPC haha
joe102938,"Yo fuck every word of this post. 

This game is way to grindy to still be fun."
BoogMan1980,"They might as well have light keepers dead fuckin corpse when you FINALLY get to him, just as a final kick in the dick. 

His quest line is absolutely asinine right now, they’re for sure gonna have to redo all of that shit"
Enthused_Llama,"I'm not sure BSG understands how 'emergent gameplay' works.

In a game with zero punishment (and in fact, massive encouragement) for KoS behavior, you can't suddenly introduce a no KoS mechanic with no warning."
Radioactiveglowup,"Man, this game is utter shit with quest design.

What the hell is this? ""Play the game, then get slapped with an insane grind task to get back to where you were as punishment for playing the game?"""
Trust-Grouchy,Nah just kill them. They will do it to you later in wipe
Scarity,"I dont get it, isn't there a quest to kill pmcs on that bridge aswell?"
GarryGirth,im level 38 and once I get level 42 im done with questing. Idk how you people do those annoying ass quest.
SourceNo2702,"Wait

Killing the cultist boss has zero repercussions if you haven’t done the quest line then?

Holy shit dude, you get a ton of EXP for killing him. This may be the most optimal farming method"
BurningHotels,"These quests just ruin the experience for me. I think I'm done with tarkov late game. The feeling of progression is what keeps me in a game. When the quests or requirements are stupidly complicated, difficult or just hyper time consuming, it just ruins the whole mood.

I got to Kappa the wipe before last and was gated by the fucking level cap. I simply did not have the raw time to grind those levels before wipe. I find ""The Guide"" the most unfun bs quest in Tarkov. It just feels exhausting and anxiety inducing. Atleast Quests like shooter born and tarkov shooter 8 provide challenge thats clearly doable."
LYCAN_247_ZA,Missions are becoming so stupid in Tarkov . Sit in a bush for 40min and throw all your gear away and extract with nothing 3😂😂😂😂😂
Maleficent_Hat4905,honestly the quest themselves is what ruins this game.
jeff5551,Crazy how lightkeeper came 2 wipes late and still released in a horrible state
overwatchlap,"So many people here are unreasonably upset. Yeah, it's hard, but I am confident that 95% of those complaining will not even come near this quest chain at the first place."
grimshogun,They time gated all this shit cause they knew the community would hate it. They should have just left lightkeeper and all the quests out IMO.
AbsentOfReason,What a boring terrible idea from BSG. Lightkeeper is nothing more than achievement.
CarheartTheMan,Honestly I don’t want lightkeeper anymore just seems like dogshit the only thing I’d do if for is Intel 3 and that’s stupid because we had Intel 3 before he was a thing so dumb
ego_less,wth are the devs smoking
ConstantCarnage,This game is so trash lmao
dumnem,"Lol that's fucking tarkov for you

Absolutely 0 warning and it MASSIVELY punishes you, to the extent that it will take hours and hours to fix.

Dude I wonder how good the crack is that bsg is smoking"
P0werEdge,"I had that quest line myself it went from the quest that i had to deliver 4 SVDS which are not RARE on woods Sniper took me about 15 raids to get out with 4 SVDS's to the last quest on that line where i had to find again the V3 flash, for some reason it skipped all other quests in between."
ArcticHuskyyy,It’s quest line is sooo hard because Lightkeepers reward/trading/whatever they want to have when the quest line is done is not ready yet.
Snarker,It does say on the wiki to not kill any pmcs in the area.
dimsumdonair2,"The whole point of that quest is to refrain you from doing it again 

It makes sense for it to be hard 

It's still obtainable but if you are going around doing that 

Ya full well deserve the time consuming punishment"
