author,comment
huzzaah,Find ai scav and make him follow me like a good little canary. He'll let me know whos a good boy and who isn't
wilck44,"so far I have met the factory ""munch-man""  twice.

he shouts stuff like ""the munch man is here! bring your food! a can and you are rich"" like some snake-oil salesman.

dude somehow always has good loot and trades fair for food. but only food, no drinks or money.  my best deal was 2 cans of peas for a tricked out mp7.

he is a fun guy."
Dead_Silent151,I had another scav come up to me the other day and ask me if I had heard of among us. He then whispered that he was the imposter and shot me in the face.
badass6,"I had scavs walk past pmcs and vice versa. Especially with the amount of newbs there. 

Other times there are five minutes left, you enter office and die to pmc. 

And other times you get killed by scavs as a scav."
PigasusGaming,"Factory and anytime there is an Airdrop, especially on Reserve.  
The amount of traitor scavs that try to 1v4 airdrop grabbers is so funny to me"
Interesting_Fan_4045,Ever heard of old Traitor in Terrorist Town?
TECHNOV1K1NG_tv,"Found a dude in factory next to death hallway, between the containers. I ran right by him because he had the press armor and a beanie, but as I ran by he took a shot. It was a fucking PMC pretending to be a scav with less than 10 minutes left in factory! He killed me but my buddy finished him 😂"
shortnamed,"I had a player scav ask me if I wanted to shoot him in the leg so he could kill me because he was supposedly very close to max fence karma. I said no.

Saw him do to the some other guy, who agreed. First thing he said after that ""i can't believe he bought it"""
ThatMuricanGuy,I have fun pretending to be an AI and just say OPACHKI in the deepest voice I can every once in a while. The reactions from other player scavs are always worth it.
Reasonable-Ad8862,"I spooked a guy and he shot me. He said sorry and I told him he better watch out for AI, not even a full second later I hear a shotgun and run to office and he’s layed out with an AI doing circles around him lmao"
Dlark121,just keep your head down and keep doing your tasks
Kanista17,"This would make such an amazing mod. People accusing each other over VoIP. Emergency meeting in the office.""I was doing tasks, fixed wires at forklift."""
HecklerK,"I scaved reserve and someone killed my friend in white bishop, so I went their and killed the wrong guy. we had a meeting with 4 other players scavs and I was sentenced to the airlock. I pleaded guilty but the sentance was death."
CALM_Oxygen,"I check the names of scavs killing me as scavs, they are usually single digit level and I add them to explain to them they shouldnt be killing other scavs - this is the most common scenario

I think that its just low level players confused who is a player and who is a scav

Most gunshots I hear are people extracting and shooting before they do which is weird to me"
GodChevy,Just last night I’m walking around scaving factory with another player scav and apparently tagilla has goons too now? Cuz we knew he was a around and we were both on the bridge and I see 3 juiced scavs all shuffling up the stairs staring right at me and him and they aimed at me and started firing and hitting me but not him he follows me all the way to bottom floor of offices and shoots me in the chest because he thought I was a traitor since Y’know I randomly started getting shot at and I had to put him down. Poor guy gave me .03 rep as a reward before the gaggle of ai scavs flooded into that room and deleted me
grrtbaow,amoma
imcheddarbeard,Trouble in Scav Town
NoooAccuracy,"I use to go to factory to scav for fast rep, now I just go to a different map like customs. Factory scavs will fuckin kill you in a second. If you keep going, try to leave ASAP or learn how to fight"
Princesse_LaStar,Hahah this is so true
DiscombobulatedSea83,I really apways try my luck and guess the traitor. Overall i got a positive Fence rep with this i think 😅
Scarity,[factory is the best map to scav and you can't change my mind](https://imgur.com/a/FQ5XTuv)
elitexero,"One of my favorite things to do is a PMC is hide in factory and strategically fire shots when a pscav is coming close to another pscav.  It's evil, but goddamn is it funny sometimes."
