author,comment
TheFunkadelicOne,Keys are useless at this point.  I find better loot in duffel bags
ReverseResuscitation,The RMT hackers don't care about the loot changes to begin with because they can literally see items in your inventory and the items inside the duffle next to you. Spreading the loot away from high loot zones such as techlight only impacted regular players and is literally favoring hackers. They don't check 3 red card spawns. They know where the red card spawned...
Aceylah,"I've opened hillside house around 5 times now, but I've literally not got an item from it. Is it that heavily nerfed?"
Averyxxxx,"Holy fuck fighting reshala and his goons and duking it out with three different squads just to open the marked room and find a weapons case and limp to the extract at like 100kg was some of the most adrenaline pumping fun I have ever had in shooter games, I am all for bringing market room loot back. I missed my YouTube feed being filled with peoples crazy insane finds, now the best things we get are labs keycards, which aren’t bad, but variety is key"
DiViNiTY1337,"It's crazy how BSG thinks nerfing things to the point it affects people who are literally cheating won't affect the legit players. 

If you spawn in and can see every single item on the entire map, are able to go through walls or even pick anything up from anywhere on the map, while floating 100 meters above the ground unable to take damage, then yeah it's not gonna matter what you do to make it harder for cheaters. It's gonna be a minor inconvenience to them, and it's gonna make it much, much harder for Timmies. 

To be honest I don't really care if there's a guy selling 32 Ledx's on the flea, if it meant I wasn't FORCED to buy them off him. If I could go into raid and expect to find them reasonably easily then it'd be fine. That, if anything, would make it harder/less profitable for RMT cheaters, wouldn't it?"
2B_LEWD_BUTT,"I was as firm defender of those changes, but then I started thinking, let's take a look 3 wipes ago, same amount of cheaters, same bullshit, but less restrictions. Now we have, the same amount of cheaters (if not more?!) but tons of stupid fucking restrictions that make no sense. 

I miss making and buying custom guns on the Flea or just selling PvP loot on the Flea. The whole find in raid bullshit as literally done nothing against cheaters and RMT, all it does is fuck the normal player in the ass."
EnzymeX,"Fuck the loot, revert all the truly annoying shit like being able to put up only 2 items on the flea and not unlocking 3 slots until 10 rep."
IXCenturion,yes! i wish the good keys would be good again. locked weapon rooms should be 1/2 full with cool guns and gear worth fighting for. secure medical rooms should be worth bringing in a med backpack but keys are basically worthless. and their are 0 hit spots on the map. combine that with everyone having multi zoom scopes and suppressers your rarely going to have real fights.
Geksface,100% agree. The last 2 or 3 wipes have been distinctly less fun. All of the changes to combat RMT have made the game less fun for everyone else who isn't a cheater. It's all a half measure in lieu of making working anti cheat. The RMT people are hacking to get loot and lobby clear. Fix that and it doesn't matter if I can drop the machinery key to my friend.
williamis3,just loot kiba and you’ll realise what it’s like getting so blue balled
Savagenius,If they just boost up the loot probabilities then people wouldn’t feel like they have to RMT for things like a LedX. I’ve found one in raid in seven wipes. And then removing the craft for it just makes people more desperate. I get some things should be rare but hamstringing progression behind 0.0018% items is pretty lame.
Collguydev,more loot = more roubles for people = less RMT = less cheaters
Elias_Voorhees,"Just spend an hour on the *forbidden mod* and tweak the loot spawn rates but a smidge and you'll find out how many locations item **should** be spawning in. I'm talking Water Bottles, Aquamaris, and Water Filters in Water Room in Dorms. Y'know, *the room that should totally spawn at least one bottle of water in considering that's the water storage room in Dorms and is locked behind a key*?

Sure you could say that there's an overabundance of loot in such a case but the problem is that areas that common sense dictates should spawn loot (like fuel by fueling stations/fueling tanks/weapons in those notoriously empty weapon safes/tools and repair kits in obvious workstations) either don't or hardly ever spawn items there. 

If people getting rich too quickly is an issue, then create new money sinks. Stuff like bribing Fence so AI Scavs will be friendly to you for a single raid or opening up a Scav extract for your PMC to use, paying Mechanic a huge fee so he can craft some higher tier electronic loot for you, or maybe just regular upkeep and mataining of your Hideout besides replacing fuel tanks and filters?"
PICT0GRAMJONES,"Yeah then the rest of the map becomes a dead zone after the first 10 minutes of Dorms fighting ends. That was the complaint, everyone rushes tech stores, dorms, resort etc and just leaves after getting their loot and fighting. The loot changes make fights viable everywhere, I've gotten into fights in places I never had before. Best part is, you don't expect it so the rush is greater if you can survive the ambush or you both spot each other at a similar time versus going into the Dorm knowing you're probably going to get into a fight. To each their own."
BeefyZealot,"I have been saying this for 2+ yrs. They lost the battle to cheaters just like every other online game, move on, make tarkov fun again. We just need a streamer to make a video on if and we’ll be back to the good ol’ days! 

In b4 Nikita dick riders and mods show up."
Salami__Tsunami,"Nearly everything wrong with this game was the result of the developer breaking one part, in a lazy attempt to band-aid another part.

Low tier weapons and ammo are viable in combat? Better double the recoil and make them worthless. 

People can buy top tier gear off of the flea market without needing to play the game like a second job to grind out the RNG quests? Better take the good stuff off of flea. 

People can get along with mod-tier equipment? It’s time to make sure that first and second tier traders only have basic tier equipment. (The low profile AR gas block particularly irks me.)

RMT and no clippers are hitting the marked rooms within the first minute of the match? Better make marked rooms worthless. 

People are cheesing bosses and rogues for loot? Just double their HP and give them aimbots. 

I could go on. But suffice to say, all of these changes in the name of ‘balance’ have hurt the new players and the casual players far more than they’ve hurt the cheaters and the sweat-lords. Instead of curtailing the cheese tactics and the abuse of game mechanics, they’ve now ensured it’s the only way to stay competitive."
j0ven_,Don't understand why meds weapon ammo boxes can't be a 1-3% marked room chance combined. Miss that rush.
Frosty252,"it's pretty interesting how the game punishes you for playing the game.

too much loot? be prepared to not be able to move after carrying 1 extra gun.

can't find loot? be prepared to spend weeks trying to look for one item for a quest."
dimsumdonair2,"??? 

The whole point of dynamic loot spawns is to not have stagnant pvp 

So that you don't end up fighting only in dorms 

All the time. 

That is the most boring experiance I had back then,

Now I can encounter people outside of the average Hotspot"
Franklin_le_Tanklin,"> only labs has PvP 

….. wut? I fight players all the time. Just finished punisher and I didn’t go to labs once."
TheGreatWalk,"Keep the fir stuff because it prevents hatchet running from being a thing and encourages survival instead of speed running and dying to go next. 

Hatchet/moseling meta were boring as fuck to play in. They'd sprint to the best loot places, shove it in their safe boxes, then quit or go all in trying to get lucky kill.  The pvp was extremely stale as a result. Every kill you get was worthless because all you'd get is a dog tag and a Mosin, but every death you'd lose a full kit. 

Wouldn't mind some Hotspot loot buffs. Might even make rmt less of a thing, if loot is easier to come by but you still have to survive with it like you do now."
Mylez_,"And bring back old flea, I enjoyed ebay simulator! Maybe add a % chance the scavs take your $$$ to counter the loss of Found in raid requirements to list stuff."
pylorih,You need to spend more time at the shoreline resort at night. Place is popping with pvp activity.
Ok-Street-7240,"Loot nerfs and high tier gear removal from traders are without doubt one of the reasons cheating persist and will persist for a long period this wipe.
Since the game is now based on wipes a lot of players don’t have the time to grind or are fed up with grinding every few months so they just resort to rmt. 
Gameplay has changed a bit as well. Less geared players are running around while the geared ones hide and camp"
ThePatchelist,"That's the biggest issue that game developers need to understand... They tend to lose themselves in a war that can't be won anyways, utilizing means that fucks the general population.

Fucking over the majority of the playerbase in major ways just to combat some kind of malicious thing - in this specific way, changing the loot rarities, throwing in unecessary hoops players need to jump through etc. - which in the end is barely even affected by the measures that have been put into the game... Is ALWAYS the absolute worst thing that can be done.

But in many, many games you simply can not reason with it's developers.  It's their vision, they know it all, they know best - at least that's what they're thinking and working by.

An absolute shame. Path of Exile, CS:GO, EFT and many more fall extreme victim to this bullshit in one or another way."
PeregrineT,"Yes, only the developers were foolish enough to think nerfing the loot would hurt RMT, rather instead of the ENTIRE rest of their fanbase.

Making your game purposelessly less fun has never been a good strategy ever."
,"we'll never beat RMT or even cheating, sadly. and even then these are band-aid fixes that only hurt the larger legitimate playerbase rather than the cheaters"
GAIA_01,"my thought exactly, the anti RMT actions have increased the utility of purchasing cheats or RMT items, increasing cheatings prevalence, if you remove FiR add loot back, ect, you WILL end up reducing the demand for both cheats and items gained from cheating. reducing cheatings incidence rate and improving the game  


its time to turn back time, to the good old days"
AlternateImageGaming,"> I don't care if it allows some hackers to make money easier on RMT, their impact was negligible

It objectively made the experience with hackers worse. It was also always going to do so. Not one single change they made did the slightest to discourage hackers and nearly every change they made required hackers to be more aggressive in games to get the same results. Particularly for RMT hackers, they now have to take their carries in with them, kill the lobby and give loot that way, since they can no longer farm loot and drop it later.

All of the changes need reverted, regardless of the negative effect of the change, because it will again reduce the amount of hackers that other players have to actively experience. I'd much rather someone be able to easily buy rubles/gear/etc than me have to get murdered by a flier so that the same person can get my loot instead."
doxjq,"Are you telling I shouldn’t be grateful for the single t plug inside the room of a ten use key that cost me $2 million? 

Jokes aside you’re right. The lack of loot hot spots has absolutely fucked pvp. They’re all just dead zones now"
CHOOSEAUSERNAMEYAFT,"Hard agree with this, it clearly hasn't stopped the RMT'ers so why are we being punished?"
Zavodskoy,Fighting my way tooth and nail out of dorms with a weapon case from the marked room or similar are still some of my favourite memories from EFT
ugonna100,"Strong disagree. This is entirely the perspective of the gameplay they wanted to prevent. Rush to loot spot, rush to extract. Expect players at areas A, B, and C along the way. like clockwork

Before the loot changes a ton of maps had problems where the only viable loot was specific areas (like dorms) and hidden caches. Every map had a predetermined route you knew players were going **because they were the only places worth going**. Deviating meant you'd spend 15 mins getting no loot and maybe getting one tapped by someone you didn't expect.

&#x200B;

The game is just so much healthier now, you're looking at players having actual organic movement and unpredictability and you're looking negatively at that instead of positively. In me and my friends eyes, this has been incredible. You don't know whether you'll see an army of guys at dorms, you don't know if maybe that run they chose to just head to gas station and construction. Every match is fresh and it IS dangerous in ways and its now SAFER in ways too.

Theres a lot that can go on there but basically this is how it should be. Loot is findable anywhere, players are not predictable. Every match is different (except shoreline LOL). I would like them to unnerf marked room though"
