author,comment
Fun_Finger6507,Nah clearly the scav is military trained and the uhhh adrenaline is pumping through
JebstoneBoppman,RIP that scav's arms and legs
FTierLogiPilot,Yeah looks like a skill issue.
Iiana757,"Arm, leg, leg, thorax"
HubesUS,"It’s tough man, the scav groans after every round mean you hit your shots but you need to aim for chest and head"
MekkiNoYusha,All bullets on fingers and toes
DabScience,This is why I run full autos. Don't need to aim when you can mag dump lol.
yaboicyno,"Shots 1-1: Clearly missed.

Shots 2-2: Missed due to recoil (bad spray control).

Shots 3-3: Very close, but recoil and inaccuracy make these reasonable misses.

Shot 4: Likely didn't actually fire because you were already dead."
Wh000ey,Why…won’t… you…DIE?!!?
R3alityGrvty,"It looks like you just hit each of his limbs once tbh, otherwise I don’t see how he could’ve lived."
deep6x,Try holding the right side of the tree next time
WinBigPlayer,with that ammo you should take your time and aim for the head.
BorisIsHereBois2344,Man i almost punched through my screen last night i was doing the damned pocket watch quest met a scav right by ruaf roadblock shot him in the head 2 times he was behind rubble so i couldn't have hit anything else and my guy proceeds to tank it all and kill me and because bsg decided hmm lets make quest keys 1 durability it fucks you over so bad  like why would they make it a 1 durability key for some quests when its not even that easy to get like out 5 raids i went to dorms all of them somone rushed in after me and killed me
psychedelicstairway4,"Should aim for thorax or head next time. 

GG no re lol"
Cringingthrowaway1,"Stop shooting scavs in arms and legs, my dude."
oliot_,This *is* a skill issue
Sarahdumby,why are you using T-46
MikjallOfHargreaves,"You're hitting appendages mostly and you have a bolt action rifle, you either shoot more accurately or get a gun with a better fire rate."
Epicpacemaker,Tbh you’re shooting too low for the consistent 2 tap you’re looking for
Sea-Bodybuilder2746,you have to hit chest twice or head.. so yea. skill issue.
strike_it_soon,leg leg stomach stomach. skill issue unironically.
MandiocaGamer,why don't shoot to the head?
Dyyrin,"Love these clips where people bitch about the game, but they just fumbled and blame the game and not themselves."
ExecutionerKen,Yep skill issue confirmed. Did you even check before you post?
akayd,To be fair you hit arm -> r.leg -> l.leg -> torso/stomach. If you simulate that in battle buddy app you can see how you can survive it without armor.
Repulsive_Voice823,You have straight up enough health to survive that right? Those do only around 75 dmg off the top of my head and you have 440 hp effective health before you die to collateral
Wdhughes89,They have nerfed the mosin into the ground the gun is worthless now. Cant even one tap someone in the chest with no armor on unless it fragments. Bsg answer to everything is to nerf everything into the gtound instead of balancing. I wont touch a mosin anymore unless its for a quest vpo is way better.
DrCthulhuface7,Have you considered playing a game that isn’t shit?
will4111,"If ur shooting a scav and it’s not dying. 4shots I’d shoot another 4… but it’s very possible it’s a desync issue and the scav can kill u but they are invincible to ur bullets. 

Happened at least 3x a wipe to me, got a few clips of it.  Really frustrating when u mag dump a pmc close range and die, I mean dump a mag into their body standing face to face then they kill u."
Iteroparous,Pretty clear skill issue bro ngl
KoreanThighLover,Bro stop aiming at his legs
DahMagpie,Try hitting thorax or head Mr. SkillIssue
The_Throwaway_Stick,"It would help if you shot something other than the limbs. Your title is correct.

Edit: I'll attempt to be constructive. Once your leg is blown out, moving and shooting (especially a bolt action) is not advisable. I would rather stand still and take a moment to aim, at the risk of being shot, than try to move and shoot in that condition."
Key_Transition_6820,"Yea it is, hit em in the head and only have to shoot once"
theyak12,Ur aim is shit
JoopSiroop,Just use T47 next time stupid
Gigachad____,"hit unknown,leg,leg, stomach?/leg?

100% a skill issue. Not a game issue"
XBL_Fede,And people say the mosin is good lmao. They shouldn’t have nerfed its price or its ammo.
BlackSunlight7,Better chair.
not_shodan,"I'm just gonna say, no cover"
gen_adams,"these desyn bugged ass scavs were the last drop in the bucket for me. shit made me quit tarkov last year, for real this time. my last bleed-out death came from a scav like this in dorms. I was with my squad, all of us kept full auto shooting the fucker from point blank (he came up the stairs in full aggro) and refused to die after multiple emptied magazines. killed my friend, then after minutes the scav died but I was bleeding from every orifice. I swore then and there (as it was a really good raid) that I refuse to play this shitty game until they fix it.

&#x200B;

a year later and netcode is still shit, servers are slow and inefficient and desync is rampant."
StudMuffin0219_2,Skill issue
Stonedfiremine,"It is, you aimed for the legs."
assalariado,This game is broken dude. Just get out...
AquaPSN-XBOX,you are AWFUL lmao
Humble_Letter_2266,isnt T46 a pen bullet? aim for the head or use a pistol for leg or thorax shot
hitlory,"seems like mosin ammo got nerfed this wipe, ive shot people with SNB plenty of times before they die"
Velihopea,"I had monents like this earlier in the wipe with mosin, where I'd shoot unarmored scavs 4-5times to upper torso to kill em. I think the the issue is either hitreg issue/mosin not penetrating arms and/or some scavs have extra hp randomly, and mosin seems to terribly match these increased hp tresholds.

Either way, mosin felt absolutely unusable to me. If i couldnt headshot a scav, I knew I was in trouble."
FreeWaves16,"T-46M one tapped me through an Altyn on factory the other day. Unlucky, wcyd"
bigdumgoose,Gotta upgrade that ammo my man
Remarkable_Screen_38,"Dont use t46M, YW"
evoxbeck,"Its okay I love when i blast em in the head 1/3 my clip as they gallop in the bushes

Fuck the sniper scavs."
BitterQuitter11,100 skill related
Professional-Bed-486,Don't use bolt action for close quarters.
SobigX,"Insert a random ""git gud"" comment here."
lordOfTheVoid3,Ah yes then I get one tapped using a class 4 rig with LPS
Noox89,Can’t remember which tarkov shooter part is night sniper kills but it’s usually a breeze not this wipe this was basically exactly what it looked like for me all 8 kills.
OrangeSimply,The only part that's a constant problem with scavs is the lack of any hitstun at all. Like I know hes using a bolt action and it doesnt really matter in this context but that is just a bit much on the bs meter for me a lot of the time.
Anna_Maria338,skill issue.. sorry
Puzzled_Inflation_95,"Is ya 
T45 suk"
PossiblyCuban,"….you also stood still, didn’t try and get behind some cover to keep engaging, and hit extremities. 

You’re asking for the scab to send you to lobby."
Dli22,T-45M are very bad
theppburgular,"Yes it is a skill issue lol. While I agree the health system flawed tarkov bullshit buggy dead game bsg Nikita suck pp blah blah blah. But maybe only 1 of ur shots hit the thorax, that was a legitimate death and ur own fault"
JiffTheJester,You hit different limbs every time. It is a skill issue actually 😂
thefirst1nvad3r,"A common issue in that patch, probably the server isn't registering your hits or simply damage is calculated wrong (T45M deals around 85 dmg, so if your hits are correct scav should have taken 340 dmg)"
BlackPrincessPeach_,"Skill issue, you either tap the head or your dead"
KaranteDeux,OP just noob
pain_apple_,"aim for the head next time, that way you only have to hit three shot."
NiqqersTonquemMyAnvs,this game is so shit at the moment lol
DauBinePeLanga,Aim lab is free on steam
Kindly-Mine-1326,Happens to me all the time. Players catch the bullets with arms and legs. I get nauseous by looking at that clip.
Voro14,"Ow. Sadly it seems you only hit different limbs, allowing it to tank that much.

Probably bled out right after, lol."
LogicsForIdiots,"That one drugged out scav

I'm pretty sure there are 4 different types of Ai scav, each with different health pool"
Tankeverket,Tbf T-46M is quite literally the worst ammunition for the Mosin
Samppa9810,Didn't check comments and was about to post it. Thx for you Service
okarnando,"Should have included the end screen showing shots fired and shots hit. 

I wouldn't be surprised if you missed them all and it just looked like you hit them all on your screen."
