author,comment
datsadboi69,"I know the pain, It happens a lot more often than id like."
fubar87187,The title alone gets my upvote
Scavwithaslick,"Nice gun build tho, what is it"
SgtGinja,For what it’s worth I’m sure the second guy you killed with the flashlight was also probably pissed about desync. He didn’t start firing until a full second after you peeked. Probably didn’t even show up on his screen until a millisecond before the server said he was dead. I hate peekers advantage in this game :(
Domeer42,He is just Boris the bullet dodger
CokedoutRicFlair,I feel like the servers have been having hit reg issues too recently. I started recording my raids cause I have the space on my computer and there are a few shots where a PMC or scav is perfectly lined up and it just misses. I understand the following shots have things like recoil and other factors playing into them but my first shot accuracy even while crouched shooting an unmoving enemy in the thorax is garbage for one reason or another this wipe and I have not had such issues in the past.
Zervoxer,"Honestly, penetrating shots aren't always updated immediately either hadn't it been for your high ping, you could just as easily have died to penetration of the barrels, those barrels are false security even prs will have straight penetration about 50% of the time through them and 20% or so chance for penetration with huge directional change, not to mention fragmentation chance."
FrogMonkee,"I wish so much that they would fix this but I seriously doubt they ever will at this point. It makes you appeciate how good the latency is in CS: GO, this shit would never happen."
Ferghast,This could ofc be desync but you can absolutely shoot through those barrels.
crocodilekyle55,"What ammo you shooting? First guy looked like he was eating, hard to tell if it was desync, stomach shots or bad ammo."
djn808,I can't even see the last guy you were shooting at
Jesterhead93,Is this supposed to be post worthy? This happens to me every play session lmao. Sorry for your loss though.
_inertia_creep_,"Probably someone using servers outside their region.  
Desync's like mad and unfortunately it tends to favour the higher pings.  
It bends reality. And of course, sub par servers and what seems to be inconsistent routing."
Dustin_Live,Safe to say the desync is at least a half second on this game.  It's fucking bad.  If you ever peak a corner you really have to commit or you'll die to desync anyways.
Captain_Cheesepuffs,Aren’t those barrels wallbangable? Not saying it wasn’t desync but it coulda just been a wall and right?
roswell411,"Why does it have to be the only shooter I like. Why does it have so many bugs , I wish I could enjoy any other shooter lmao"
Dobott,You can shoot through those barrels. I'm constantly in awe of what complaints rise to the top of this subreddit.
Asthemic,"You have high ping so what did you expect to happen here?

100ms ping alone is bad for pvp. There is a reason dial up (and even early cable) was bad and regular LAN parties existed."
xeres01,"This is why ive hung up this game for a while.  It has so much potential, but the negativity desync causes overrides most of the good experiences..."
techmagenta,Where was Dsync?
SageHamichi,I die like this daily.
bestadamire,6 tick servers
nubb3r,"Idk the tickrate in eft and idk too much about netcode, but I know it‘s usually a tradeoff between having peekers advantage versus getting killed even though you were in cover already like in the clip. How can we have BOTH downsides of this design dilemma and quite bad cases too?!"
laaaabe,which AK is that?
y_a_e_t,Bro this kinda of thing and the whole peaker’s advantage shit is getting really annoying lol
EbolaPepsiCola,"Those barrels are easily penetrated.  Although we didn’t hear the audio of rounds hitting metal, that could be what happened."
