author,comment
toraw4,"I think sniper scavs are turned up, couple days ago I spawned near military base exit, sniper scav was already up and started shooting me in first couple seconds of spawning. I took a run towards power station, he was still shooting me through trees."
MyOpinionDiffers,Scav AI is bizzare in this game. I've had scavs run literally right past me even though I'm like 2 feet away and completely out in the open and they just ignore me. Then I've had scavs 1 tap me from a 100m with a fucking ak74u after shooting at them once. How hard is it to program believable AI?
FoxLP11,why is it so much worse this wipe? its weird... sniper scav in power will shoot all the way to resort on shoreline
renarddota,"The worst thing is hiding in a bush, shooting a scav with your sniper 100m away but missing the headshot, he turns around and immediately starts shooting at you.
How many times have you been shot at by another PMC hidden in a bush far away, turned around and saw exactly where he was ? The only way to see him would be thermal. Scavs however, will know instantly where you are."
Skytram,Had one on reserve shoot me point blank through a window at close range didn't make any sound at all.
Cuda14,"I quit playing because the sniper scavs were locked on and tracking me through Customs (same sniper scav)  - past textures, through terrain, etc. I tried going behind the hills in back and all. Lost big loot and quest items - just not in the mood to outplay aimlocking AI."
LegitKactus,"For clarification the scav was on the little watchtower sniper spot. I got shot at running into the cabin. This has nothing to do with my ""dark shadows""

Edit: the reason for the peek was to see if the scav had moved. I didnt think they could shoot me through the foliage that blocked the entire view"
Zojko,"Least pathetic developer, funny thing is this is intentional so that "" players team up to fight scavs """
Dyyrin,Never seen a company struggle so much with AI.
UnseriousSam,"Does anyone else feel like some scavs are very dangerous? And by that I mean only scavs at some specific locations. The sniper at checkpoint on customs as seen in the vid, the two scavs near the rock on the way to path to lighthouse on shoreline, the new scavs between old station and zb-016 on woods; there might be more but these specifically feel weird to me, like their accuracy/behavior is different."
ForwardToNowhere,No no it's okay we are small india game company and we fix this problem many time over the year
Thatoneirish,"Sadly when you get shot from that sniper scav in that area, the only thing you can reliably do is wait somewhere they can’t shoot you from for an honest minute to wait for them to deaggro and move- then reposition and pray it worked"
Upbeat-Chicken-2117,"I somehow aggro’d a scav at factory shacks/skeleton as I ran behind the green wall at the bus terminal, I proceeded towards 2 story I was almost at the bottom of the stairs and got my leg blacked, and had heavy bleed and a fracture, i crouched behind a tree to fix so I could run inside all the while shots were flying through the trees until I was dead.
Fucking unreal"
stuckInACallbackHell,Idk how they made this problem worse than it already was. It wasn’t this bad 3 wipes ago
