author,comment
FKaanK,"That seemed fun, so i guess they were telling the truth?"
ActionBlyat,"That totally seems fun, i usually get a flechette enema from a shotgun barrel shoved up my ass by elbow camper."
tuck_fravis,"Damn near shat my pants. Killed 7 PMCs in total, 2 as I entered dorms 4 in the clip and 1 as I was leaving dorms. Forgot to screenshot the post extract screen."
tryin_to_make_u_mad,Holy shit you actually get in gunfights? I have yet to have a fight thst involved the enemy using more than one bullet. No fuckin clue what to do at this point
Brawl_Stars_Fan123,Pscavs:🤑🤑🤑
kamparox,Anyone else feel like this wipe has more squads than any other before? Maybe it's the server merging or something but wow. It's rough out there for solos.
ogxmajik,Nice pre-firing!
rtaSmash,zagustin my friend
habbapabba,heart attack activated
JagarKlato,Nicely done
Ok-Cartographer-3304,You need to get yourself some blue blood stims Sir Chad. Great work!
noctus5,"Nice clip, gotta show my friends

u/savevideobot"
DucksMatter,Which gun is that?
BeefyZealot,Dorms used to be fun when it was worth fighting for marked room. Hell this whole game used to be fun
twerkingiswerking,Haha that random jump reminded me so much of my timmy days. You got the kills though all that matters!
Blob5s,Nice job! Looked intense.
Jack_ten,They actually look like paid actors
Jaketylerholt,One of the rare times when you're super glad that you didnt run a suppressor. Wouldve been pushing your gun down while you were working the door. Good clip.
cloud715,Nobody says dorms is fun
Spiff_GN,Literally all they had to do was wait lmao. Why would they walk in 1 by 1... nice shooting tho.
elracing21,Fucking Chad over here
Shooter503,"You almost achieved the invisible glitch, only 3 body parts to go."
Competitive-Bell-962,"Went dorms, killed 2 players third shot me on my ear with garbage ammo and my ear was only place on my head not protected. Gg"
H4WKutd,"Nope, nobody ever said that"
mrbawkbegawks,bind 4 to on push to do your heavy bleeds then bind #5 to button 4 on release so you can heal after you stop the bleed and save time
Liron74,Core memory right here
ViciousPrimal,That was the perfect (blue blood) stim situation
slackwaresupport,wasnt that fun?
eyesonly__,Well played
Upbeat-Chicken-2117,“He’s a H4cK3r”
mikek1993,Dorms pvp is the best pvp
Codypowers28,“But did you die??”
Caspaa,"Looks like a good ole dorms fight to me, I usually get killed by the last guy and donate them all the loot though 🙁"
DoinWorkDaily,Wow my heart would be pumping after that lol
Krikis,and fun was had
Goosojuice,"""Hes one shot in there!""

Also, the guy pushing with a long barrel lol."
MoofenFloofen,You kicked some ass man! Well done.
-TAAC-Slow,Paid actors
Indianajones1989,I hope no other game in history every adopots this games healing mechanics. Its not fun spending 5 fucking minutes healing after every damn fight. Especially bec as soon as you're done healing you get rushed again and one burst blacks fours limbs.
Shadoninja,Title doesn't lineup. Is this a humblebrag post?
FupasMaximus,how the hell did you survive that last shotgun shot lmao
kff523,"GGs, proud of you"
Reedley14,The more you fuck around … the more you find out great job man!!! Do a little arts and crafts on your pmc and make sure you tip the driver !!!
LegendOfTooget,"Every body wanted a piece, God damn!"
ahzary,"My dude put all his stat points in reaction time.
Wp"
xx-BrokenRice-xx,"How is that NOT fun? That looked like a ton fun to me. 

Oh you mean for the dead guys…."
Eleutherorage,Do you get high fps? What settings do you use? Your video looks so good
BradFromTinder,Using an afak instead of a hemo with 2 heavies lol. What?
just_ike22,The second guy through the door tried to poke you with w whole telephone pole
TheEndurianGamer,"""HOW MAN OF YALL DO I HAVE TO FUCKIN KILL CHILL"""
benzilla04,"Nice work, bitch"
Punisher2K,Nobody said that ever to anyone
BukLauFinancial,"looks like a group of scrub lords I used to hard carry

same strats, same armbands lolo"
