author,comment
XivTillIDie,"Space is a dangerous place, we know the risks😂😂 true words man"
CAPITA1g,When you Breach you are at a positional disadvantage and you lose some health. If you left a disabled ship chances are you took some damage on the way to the pods. Breachers are at a disadvantage and honestly I go for space combat to try to force people to breach me and it’s the best way to force pvp and get kills ImO. Best part of the game. The only thing that could be tweaked is how much damage you take and maybe adding 5-10 points of trauma damage
Pakman184,"Jesus OP, after reading all your comments here ive never been happier to just press the downdoot button on all of them. You're obnoxious lmao"
Hellcinder,"I love it!  In fact, I wouldn't mind more space combat type games that involve boarding ships and attempting to take over the bridge."
bSurreal,"Idc if people breach me. I want people to because I like PvP, and they're most likely gonna die. I've only died once from a breacher and it's when they were cheating. That being said, I think it's better for the general playerbase that pods can't breach ships until they're 50pcent destroyed. If I wasn't very good at the game, it'd be annoying to get instantly breached. The flaw to this method however, is lets say I'm flying out in my rustbucket and my ship gets disabled without me outputting much damage. Where do I fly to? The ship that destroyed me is full health, can't breach him. No other ships on the map? Guess I fly back to base. It would create a boring gameplay loop. I don't really know the solution, but hopping out at the start and instantly breaching someone is pretty lame"
scared_star,"Instant Beaching just ignores the fun weapons that we install on our ships, i rather damage or disable a ship then have a chance to board it than braindead rush to the pods,

Personally think there should be a system in place of if a ship is damaged more than 50% they can be breached, does not take in account of repairs. The people that own the damage ship is then able to breach the attackers and other ships as well. It at least prevents people from podding right away in a match and encourages one of the other CORE gameplay, the space COMBAT. So far its just a pod fiesta"
,can always count on someone with TTV in their name to have braindead takes
hector_cumbaya,"I think in terms of balance, I'm not rewarded for winning in space combat, I kept my ship repaired, but yet I'm still the one being boarded. The game is in early access so changes are bound to happen."
WiseGuye,I just escape in my pod lol.
HornedMaiden,"Boarding is a very flawed mechanic that makes the entire space battle part of the game pointless (witch is basically the main thing that makes marauders different). Why even bother getting better ship if regardless of who win or lose its gonna end up with one crew boarding the other?

I have to say I understood how fucking stupid it was when I spawned in a game with a enemy team running a capital ship.
Within a min of spawn, 10 ish pod were charging the ship.
The damn thing didn't even have time to do space battle.

I understand the boarding is a ""core mechanic"" but so is space battle, and one is killing the other."
Amaninthetrees,"~~Getting breached within 20-30 seconds of match start by three sweaty boys before you've engaged another ship is... wack.  
The mechanic needs some kind of balance to it. What that looks like is up for debate.  
Gatekeeping via meta on the part of hard-core players kills player bases.~~
Edit. Commented before seeing your other replies. 
Jesus dude touch some grass. Still using Beta as an insult?"
VikingHokieWork,"Perhaps if enough of the fan base hates it, then it won’t have to be a core mechanic anymore…. Imagine a business listening to its customers /s"
