author,comment
loughtthenot,I love it when schizophrenia is a game mechanic
UniverseBear,"It ruins my zen, which is why I play the game."
mainest_,"Disabling dialogue in audio settings turns off the creepy voice. This also will mean that ADA is muted, which way or may not have an impact on your efficiency."
56Bot,"The first time I heard it was very early game, I tried venturing into a cave. Freaked me out."
Intellectualtoaster,#COMPLY
not_from_this_world,Plant? Isn't it a crystal?
Choripan_Lig_Salado,There's a plant that talks? Oh no
roy_rogers_photos,I have a theory that the voice may come from ADA but is actually from the pioneer's mind. The line about other ficsit employees being around and to harvest it before it's too late. Like a parasite that uses whatever memories the host has to help convince them to harvest it and help them spread. The other random VO make me think the same. They're so surreal and creepy.
Luucas202,"First time I heard it, it was about 2am and I was exploring a new territory for steel. I was kind of on my toes already because of not being good at fighting and having died multiple times to the big hog right before.

Hearing 'C O M P L Y' suddenly in a robotic voice certainly did not help."
devanchya,"I am one of the few people I know who play all games without sound.

I know I'm weird."
maiguee,Its a plant? To me is just a boring voice that says random things when im building my conveiors (im a new player btw)
DiamondEnchant7X,Please context
dahsuprman123,I wonder what they will use the artifacts for
TimersTime,There. is. a. plant. which. is. talking.?
lucifer_racing,I can't wait to find out what mercer spheres and soomersloops will be for
_mortache,"Subnautica, Mass Effect, Stellaris, KOTOR... They are all interconnected in my head. Of course then there's Warhammer, Dune, etc"
IRay2015,I’ve never actually touched the stupid fucking talking fish that draw you in and I kinda wanna do it now just to know if it kills you or what
