author,comment
moon__lander,It's always sunny in MASSAGE-2(A-B)b
Soggy-Statistician88,"Torch wood + satisfactory

Satisfactory but more spiders?"
Big_Formal_6096,The Good Place + Satisfactory = The Good Factory...But it's really the bad place so your factory will never work efficiently no matter how hard you try.
J_Apollo17,Bad Batch +  Space Engineers = Space Engineers but there's a story?
liriodendron1,Paw patrol + escape from tarkov = oh dear.
Torn_Page,Game of Trains
Tramnack,Jesse we need to automate the Methamphetamine!
SavageNomad6,Daredevil + Factorio = obsessive efficiency?
No-Rest-2104,"House MD + Satisfactory = Satisfactory but it’s a medical drama, I guess."
suboctaved,"Way of the Househusband + Elden Ring (I know, I should be working on my factory, I'm sorry) - basically Rurouni Kenshin with extra monsters?"
Madhighlander1,Assassin's Creed Odyssey and Vinland Saga.  So I guess the result is just Assassin's Creed Valhalla.
Borkido,Startrek voyager and eve online. Idk sounds like a group of space socialists stranded in a capitalist hellscape.
lord-bailish,Mr Robot + Satisfactory = Satisfactory but someone is trying to sabotage everything you do
dndchicken,"Satisfactory and Bluey! Uh, so I guess talking dogs running a factory but learning some kind of moral lesson while doing it."
Detective-Prince,"Merlin and Prince Arthur are passing through a series of tunnels in an attempt to sneak past Morgana`s army and return to Camelot. They pause as they hear a scuttling sound. From behind them a large spider-like creature emerges. Arthur quickly impales the creature but a dozen more emerge from all around. The pair flees deeper into the tunnels but the creatures are gaining on them. Then they hear a soft ""thump"" followed by a deafening explosion. The creatures had all been killed. A stout figure with an enormous beard emerges from a darkened passage. He raises a pickaxe above his head and shouts at Prince Arthur ""ROCK AND STONE"". 

TLDR
Merlin + Deep Rock Galactic."
Melodic-Magazine-519,Minecraft + Suits = a documentary about the legality of strip mining and the damage it does to the environment
fieroman911,Satisfactory+Hell Let Loose = foxhole?
Anvisaber,Rick and Morty + Risk of Rain 2??
GlowGreen1835,Doctor who and Skyrim? This is really weird.
Akerno,Final Factory XIV
PersonalitySea4015,"Supernatural Satisfactory

...

... Damnit, I made kinky porn..."
EidolonRook,Oh shit. I liked severance a lot. Bit of a mind fucker. Feels like satisfactory would become more Stanley parable maybe?
Astrama,Lost and Anno 1800. I’m stuck on an island but can build farms and factories so it’s all good.
Ertyio689,"Hmm, graveyard keeper +... glass onion, so basically even crazier glass onion, and with better jokes?"
jimsmithkka,"Doctor who and destiny 2, that would be a time yea"
EmberQuill,Wednesday + Guild Wars 2 = I have no freaking clue but it sounds ***AWESOME***.
capdukeymomoman,"Doctor who + Satisfactory
A factory inside a Tardis?"
mrwobblyshark,"Dead cells + Twin Peaks 

I got no idea"
Kalaido5,Overwatch + evangelion gonna be wierd
redCrusader51,"Yikes, Hellsing Abridged + Pokemon Pearl. I should have played some Satisfactory and watched How it's Made."
JellyfishUnable,Can't tell you how many times I tried upvoting before I realized it was an image
Vriurk1,Better Call Saul + Oxygen not included = I.... I realy don't know
TheIronicO,"Letterkenny & Satisfactory = Satispatter, let's get at her."
Bahamuly,"Chernobyl + Stalker Anonaly Gamma 
Huuuh"
LefsaMadMuppet,Twilight Zone Satisfactory.
Muricaswow,Yellowstone + Factorio. The ranch must expand.
msdss,"The Witcher origins, and valheim."
SovietSonic,r6 siege and Brooklyn 99. That’s actually not that bad.
Elfich47,Stellaris and anNFL game. That is going to be a mess.
sussytransbitch,Firefly and valheim
future1987,"Mobile suit gundam Zeta and dying light 2, kinda an odd combo"
Shadowsans99,Garry's mod with total drama island? Sounds bad
Who_asked_you_,House MD + Call of duty MWII?
Neo_Ex0,"The boys + factorio, no idea how that would look like"
GoldscammersDrumRoll,Mob Psycho 100 + Satisfactory = Psycho Factory 100
RavenZeklo,Outlander + satisfactory = 1700 slave labor factory building
Sipstaff,"BF V + Queen's Gambit = .....

Chess with WWII weaponry and lots of drugs, I guess."
ChurchTheHusky,Apex Legends + Satisfactory
imaboud,"Family Guy + God of War Ragnarok  
I know Peter will get along with Mimir"
MouseRangers,My Hero Academia and Pokémon Legends Arceus.
pecanpie500,Minecraft + threes company = not as bad as you would think
raknor88,"GTA Online + Is It Wrong to Pick Up Girls in a Dungeon season 4.

The world of DanMachi wouldn't really change too much except now they have guns and missiles for The Dungeon. But GTA would get much more interesting with gods and magic. But at least in Los Santos if you die you'll respawn."
proscreations1993,The walking dead and tarkov. Now that’s fun
Technomancer_55,Rick and Morty + Hyrule Warriors: Age of Calamity (Demo) = ?
Happylama25,saul goodman + subnautica = ??? i don't know some fish role playing as a legal team i gusss
taskmaster07,"White lotus + skyrim  
Interesting"
python_artist,Wednesday + Satisfactory = creepy factories?
Mister_Cairo,"His Dark Materials + Evil Dead the game.

Also: just want to go on record...  Severance is a fantastic show."
lilwheatos,Witcher 3 and Doom Patrol
Jaelkus,Spongebob +’silent hill.
largeEoodenBadger,"Hollow Knight+Good Omens? Honestly, I have *no idea* how that would turn out"
SaraGoat,"Chicago med + Slime rancher

I do not even know how this would look like but it would be bizarre"
Proud_Tie,Top gear edition Sims.
Jonnypope69,Game of thrones and valheim
LaurelRaven,"Elementary + Fallout: New Vegas

I'm honestly not sure how that would work..."
Caboozel,"One Piece + One Piece, it's realllll"
hirule,Old school rune scape and avatar the last airbender
MrBirdarms,"White Lotus+World of Tanks, won’t be hard to know who the murderer is if they use a Panzer"
TheOtherGuy52,Children of Morta + Cyberpunk Edgerunners = Cyberpunk Edgerunners roguelike fighting against corpos and cyberpsychosis lol i’m down.
UnJed,"Green Acres + The Division 2. 

Super random. Show was from 1965. Watching it originally for a glimpse in the past, but it’s more funny than I expected."
Reasonable-Song-4681,Dr. Who + World of Warcraft.  I bet the Doctor would maybe get along with the Bronze Dragonflight.
That_one_sander,"Nier Automata + Factorio, match made in heaven"
btown780,Dwarf Fortress and Wednesday.   That tracks.
GRPABT1,Letterkenny + Satisfactory....this could be comedic gold.
rockinhebrew,Parks and Rec + Ixion— So guardians of the galaxy with a fun low tier government vibe…idk
MOTH_007,Rick and Morty + Dead Cells = Rick Cells.
EmeraldGamer323,Tosh.0 + far cry 6 = alot more cocaine
firestorm713,The Blacklist + Astroneer = Paragon to Renegade Femshep Mass Effect 1+2 with a dash of Safisfactory
JoyTheGeek,Clone Wars+Minecraft? Hm. Idk about that one.
zelloxy,Escape from borderlands
MatoresNico,Wednesday + Factorio :o
Objective_Necessary,Midsomer Murders + Ready or Not = Hot Fuzz
AljnD20,Star Trek DS9 + Pathfinder Kingmaker = a sci-fi RPG I’d play the shit out of
mimicsgam,"House MD + deep rock galactic = what the hell could it be, combat medic? Detective mining? Alien bug medical diagnostics?"
PaleontologistOnly56,Satisfactory + Game of thrones = a true Iron Throne
Ankoku_Teion,Kleo and Minecraft.... Not sure how they mix.
thealphawolf449,Wednesday and Skyrim????
RockAndStone69,Deep Rock Galactic + Red Dwarf = Deep Rock Galactic with british accent.
Lastlivingsoul2581,"Critical Role campaign 3 (it's TV to me) + Midnight Suns. I'd play that. 

If that doesn't count...it's Bob's Burgers and Midnight Suns. Hmm."
Sionicusrex,Sexify + satisfactory = unrealistic expectations?
marinul,"Nier automata: rock and stone edition
A never ending loop where machines sent dwarves to mine morkite."
Rabbitmincer,"Number Blocks + Satisfactory = um...effeciency? Oh God not more math? 

This whole thing is just a cheap way to determine who has young kids and who doesn't."
1SweetChuck,8 out of 10 cats does satisfactory
fatbabythompkins,"Letterkenny and Destiny 2

Oryx: Fuck you Shoresy!

Shoresy: Fuck you, Oryx. Tell your mom when she gets hit with Sleeper Simulant she’s not supposed to cuddle. 

Croat: Fuck you, Shoresy!

Fuck you, tit fucker. I’ve got hockey sticks that hit harder than your swords."
Wise-Air-1326,Big Bang + Satisfactory = Train Obsession
Climate_Sweet,pokemon + satisfactory = johnny is mine!
EmperorZoltan,I'm stuck in nagatorio
Socrathustra,"The Great North + Pillars of Eternity

Alaskan children are being born without souls, and it's up to not-Ron Swanson to be stoic and upset about it but solve nothing."
Impossible_Ad_5929,The Patient + Vampire Survivors. Both a very hard to put down to be fair.
Savie69,Rings of power mixed with final fantasy 14...
Sufficient_Motor_290,"Breaking bad + Satisfactory, Factory made meth"
nlssln11,Big brother + satisfactory = satisfactory with mind games?!
itissnorlax,"Better Call Saul + Overwatch 2

Not sure how that one would work."
Dark_Krafter,Avatar the ways of water +terraria that sounds interesting
dcaraccio,My hero academia + satisfactory... Interesting
Luctins,"Warframe and Beserk Golden Age.

I guess confusing plotlines and omnipresent death as usual."
treeburb,"Arma call saul, a lawer who literally fights for you"
HistorianPristine,Star Trek Enterprise would be interesting.
Gentleman_Muk,Tintin x god of war ragnarok. That is a very interesting crossover
Kiritsu_X,"Hell Kitchen + Satisfactory = Satisfactory from Hell.

The différence:
- You get insulted every mistake you make.
- You can be incapacited for a time if you do too many mistake. (Expulsed of the kitchen)
- You can only do perfect or else it's a mistake.
- After some time, if you don't learn from your mistake, you get expulsed from the planet."
bingobangobongo4,Satisfactory + breaking bad = drug dealer simulator
mathymaster,"Doctor who + jackbox party = just more doctor who?

If not jackbox party then phasmabhopia."
Mizar97,"Satisfactory & Jojo's Bizarre Adventures? 

I'd play it tbh"
MittensJa,"The last of daylight.

....shit that doesn't sound half bad"
tyler4545545,Barry+rocketlegue= barocket league
Illsyore_Deus,Brooklyn 99 + stellaris = police state?
theGyyyrd,Dragon ball z + dark souls 3 = something i very much want to see
JVonDron,Alone + Ark =  Ark.
AegorBlake,"It's an iskiaki about an old man from a fantasy world being born as a girl in another fantasy world. The game is slay the spire.

Yo it's going to be like Yu-Gi-Oh season 0 sweet."
DevilripperTJ,Neverwinter Nights 1 and Walking Dead
bruhdhenfus,"oh my god they just took the L on kenny

you bastards"
avsbes,Person of Interest + Legends of Runeterra? I have no clue how that would work.
ValentinPearce,Modern Family but it's on a (Death)loop
Stevieh91,Kaleidoscope and Xcom EW - guess we’re stealing from the ayys.
renchiks2001,Aeon flux + factorio
