author,comment
MKauman,Double transportation
N_Studios,It'd be even more sexual if you got iron rods involved
UsefulEmptySpace,2 Belts One Port? Haha
Shadowsans99,2 conveyors 1 splitter
Axquirix,"When you want to overstock ,your manufacturer but don't have the belt speed for it yet."
slick-fox62,*Forcibly insert sexual innuendo here*
The_Pastmaster,What? It's just a standard double insertion.
KingFuJulien,"2 belts = FISngering :)

5 belts = FISCting :)"
jaguaratak,Hehe insert
stonks_lol,"""Wrong hole""

- she"
heyclaude,*Heathers flashback*
themarknessmonster,"*Oh, my*s in George Takei."
EchoMB,Splitters are quitters
oooooooooowie,two in the orange.. one in the... other orange.
xXsambookaXx,"Sir, this is a Wendy's."
RavenheartIX,"2 in the pink, 1 in the stink."
Setekh79,We call this one a 'doublestuffed'
Original_Cause_7157,Just wait till he tries shoving in the ICBMs (fireworks)
Loose-Eye-6945,My radeon rx550 won't let me do those very real *things*.
OneofLittleHarmony,Two belts one hole.
vincent2057,"Well it depends, if it's a merger or a splitter... I can't tell without having the game up. 

(I've got nothing for either unfortunately, but this is a good joke)"
Razorray21,room for 1 more?
Kidiri90,Is this Goatse?
withero_YT,Damn the splitter getting DP'd
Starstuffdrifter,Gangbelt
HammondAnanas,In your endo
