author,comment
Next-Jelly3720,New horror movie this fall… *Losing all your save files*
henkdemegatank,We technically dont know the recipe for the build tool. If we were to lose it...
0LowLight0,"Bop it!

Twist it!

Pull it!"
noah859,Imminent destruction of FICSIT property detected
chrisb736,"It breaks. Immediately all the machines turn off, the planet wide silence is deafening until the elevator detaches and is pulled back into orbit. Then ADA in your ear. 

ADA: “Destruction of Ficsit property detected, Contract and Employment terminated due to breach of contract. 

See page 6945, paragraph 5, “Wasteful actions such as the destruction of 
Ficsit equipment is grounds for immediate termination”. 

Please enter HUB and wait for further instructions in no less than, 9999999 days. “

You wait for a few days, trying to make contact. But your alone. So you find a way to Hotwire the HUBs Drop Pod. 

It works, your blasting to space. Until a single shot take you out of the sky. Another drop pod to little the ground Just another hard drive to a future Engineer. 


In the distance you you see it as your vision fade to black, another single seater drop pod entering the atmosphere. They don’t waste no time. Be efficient."
Terrible__Pickle,"Whatever you do, don't drop it vertically 🫠"
TheOneCommenter,I’m getting some westworld intro vibes
AMv8-1day,It's so BEAUTIFUL!
TheySaidGetAnAlt,queue [this](https://youtu.be/gOpB12ow-VM) ![img](emote|t5_gs464|26948)
Metallis,American Gods trailer vibes. Digging it
ThomasVivaldi,They should animate this and put it in the Stream points store so people can make it their background.
RaccoonsAreSuperior,Do have the high res for this? I’d love to get it printed.
PreciousRoi,[...Like You Want It!](https://youtu.be/TuZhG5SBZCs)
Correct_Memory8914,the hr said if he doesn't grab it then he'll use his zapper on the keyboarikionzoipefunsmopfninfiuohuiwfhgngjhrfb uidbv mns bfbes gfbehjsfesgyefgesf
