author,comment
jaded_Eclipse,Real Civil Engineer would be proud 🤣
IKillButerflies,"I don't mean to be hard on you,  but it looks like y'all are dicking around instead of erecting factories.  So cock you build gun and paint the face of this planet with progress!"
No_Program3588,Gamesprout would have a heyday with the penis memes they use in their videos
meat_rock,Dickscovered
Rapidplayer45,Dont tell them about the gate hole wall
hshshuzbwijsn,I feel like your trying to compensate
gobe1904,Oh no.
Alejandrozq,thats a strong factory
ANGR1ST,"Oh cool, rocket ships."
IAmZoltar_AMA,Dick themed Iron Rod factory?
Jazzlike_Issue6568,What a bunch of dicks!!
sohiales,Cock👍
Decent-Strain-1645,You seem to be swimming in pingas. Smg4 would be proud.
CMDCMDL33,Blue-ball prints
DaddyMc-Bye,Strongest shapes for the strongest factories
