author,comment
Tobiassaururs,I got factorio back in the day for 12 or 14€ ...
Loot1278,"I paid 30 genuine canadian pesos one time, about 2700 hours ago. still not sure if factorio was worth it yet or not."
librarian-faust,"Factorio has a policy that they will never have a discount.

Think that's fair.

Satisfactory putting a discount on at the same time as Factorio's inflation adjustment is both hilarious and good business."
EightBitRanger,"Factorio at $30 and 591.9h works out to $0.05 per hour.
At $35, that's $0.06 per hour."
WinterMajor6088,"No matter the amount you pay for Factorio, it'll still be a great game and worth sinking all your time into."
FS_NeZ,"It's Factorio. 97% positive reviews.

Quality comes with a price."
C0oky,"I just love that the Satisfactory Twitter account answered »MAKE IT $40« with the ""shut up and take my money"" meme 

[Twitter](https://twitter.com/SatisfactoryAF/status/1616396770648391682)"
ghostkenobi,"I know this is not a mean spirited post because Satisfactory and Factorio players are usually pretty nice and wholesome, but I’ve never been able to wrap my head around the constant comparison/competition between these two game fan bases. 

The only real overlap between these two games is the concept of automation, conveyer belts and having a play on the word “factory” in their name.  It would be like comparing DRG to Call of Duty Zombies just because they are both FPS horde survival."
trollsong,Making more copies of a digital game must be expensive.
Narruin,"If I buy it, it triggers free Factorio on Epic store for everyone"
semicorne,But factorio was good from the start tho
critically_damped,Factorio basically doubles its content every three months.  The Space exploration mod in particular is so ridiculously expansive that nothing in ANY other factory game comes even close.  And until there are genuinely functional circuit networks in Satisfactory I don't think I'm ever going to be satisfied by it again.
zenmatrix83,"Your comparing a game by coffee stain, some one who has multiple games themselves and I believe publishes more for other developers to wube which I’m pretty sure only does 1 game. 

They aren’t trying to raise it for no reason, the game has been 30 since 2018. I don’t know about you everything around me including my rent has gone up. So they had a choice keep the game at what they consider the lowest price point to keep the lights on or risk closing the doors but doing sales they never have done. 

Gamers are some of the cheapest people in the world, I say if you haven’t played the game yet it’s your own fault"
Snoberry,Inflation between Factorio's release date and December 2022 was $30 -> $37 - it's probably worse now. $35 is still a steal.
terjerox,"I do respect factorio dev's ""no sales"" policy. They know how much their game is worth and they deserve every cent. For the kind of person who enjoys these games, factorio is worth more than any triple A title."
Mastermaze,"I bought Factorio before it was on steam for about $28 CAD iirc. I gladly bought it again at the $30 price on the Switch when that came out in the fall, and will gladly pay for the expansion they are currently working on when it comes out. Factorio is worth AAA prices imo, and Satisfactory is well on its way to get there as well once 1.0 is all polished and released"
Addfwyn,"Factorio is a good game with a long shelf life thanks to the modding community, but I can't say I have seen a case of a game that old getting a price *increase*.  Unless it is a physical-only game with limited availability.    


Can anyone think of any precedent for older games to increase price to adjust for inflation?"
Damncat403,"Factorio has levels of depth and polish satisfactory can only dream of. It can also run on a potato. 

I'm not here to say Factorio is better and satisfactory sucks. I'm here to say they're both great and you should have them both."
EightBitRanger,Yeah really. So many people throwing a tantrum over a five dollar increase when you're going to easily get your moneys worth regardless.
