author,comment
CookedBred,Kitty!
Ok-Importance570,Aparently even still images of these guys give me the fear
AyrA_ch,*Quick Footsteps*
TankerSider,"So, I'm not scared of spiders or anything similar to them. But the way these guys chase me, the sounds they make, the fact that they can chase me all the way back to my base makes me always turn on arachnophobia mode in a new session. It's not like they would be scary in a game like Outlast but since this is Satisfactory and it is a chill game I have a different mindset so in this case, they do scare me very much..."
OmegaSevenX,Nooooooope!
peakfool,"Is that a shiny spot or is he staring at me? He's not,  right? Right?"
Saaihead,1 minute death
RaceMyHavocV12,Such a cute cat. Someone needs cuddles.
Ult1mateN00B,Only reason I play dyson sphere program instead of satisfactory is these things and no slapping a cat.jpg on top of it does not make it less repulsive.
grumpy_old_lolz,OK. I laughed.
Specht100,no
shinn91,When im bored I go into the spider forest with only a rear gun with normal shots
ilovetechno71,Rock and stone!
sselesUssecnirP,Itttsss soooooo cuuuuttteee I just want to squeeze the life out of it!
Glum-Bee1274,"Yeah, we can be as badass as we want, but when we meet these guys (especially the big ones 😖) we scream like a child. 😂😂😂"
