author,comment
StigOfTheTrack,You're not the only one with a desk covered in pens and paper despite having 2 extra monitors that could be used for notes.
KalIsSatisfactorized,"I jot notes down all of the time while playing and/or planning, and always end up scanning them in. I enjoy the feel of a pencil in my hand, so I've been thinking about purchasing some type of digital drawing pad or tablet."
Khazorath,The number of hours I've spent doing math and planning outside the game is equal to my play time
MinaLamia,"I've taken notes for three games: satisfactory, stardew, and shadow empire.

Kind of weird they all start with S."
fulg_lover,May i see the notes?
sweetmozzarella,"Right there with you!  
https://i.imgur.com/Hwydyft.jpg"
stilghar,"Same.
I just can't get used to any online tools (or Excel) for production planning. Pencil and paper are still my go to."
Recent_Log3779,"Same

I take notes and write out blueprints, I don’t do this for any other game"
Celwynis,"I use signs in game for holding on to maths/ratios and road barriers for charting out building sizes/layouts.

It’s always interesting to see how everyone tackles the same problems differently"
Zynidiel,"Satisfactory: the game where you really play when working, taking a shower, driving…"
nicolajmk,I prefer to use Excel. But definitely agree!
JayteeFromXbox,"I have way too much ADHD for notes, I just follow the old procrastinators trick of having two projects on the go at once so when I get tired of one I can procrastinate by working on the other."
guywth1mnth,"Same dawg, same"
EmberMelodica,"I built a nice belt flow spreadsheet I can refer to, but I still have a scratch pad on my desk for many satisfactory notes."
Huehnerschubbser,Welcome to the club :)
raknor88,I would do the same but lack desk space for a notebook. But Excel is a decent backup.
houghi,"I can not read my own notes often, so I make a webs page for my current project. [My WAR factory I am working on right now](https://houghi.org/satisfactory-mods-and-todo/ammo-and-stuff/)

I would not advice ti follow it, because there are some errors and I am aware of the changes I made here and there and they are not on that page."
Tethain,"I am thankful for not being to far in the game. And can still make all my notes inside my head. Once the time comes I have to write. I don't know if I will use pen and paper or something on my pc.

Also great notes. But where's your folder for all the notes?"
PepparPapper,Stardew Valley.
gutentom,This game and KSP for me!
YliHumala69,I even went and bought a notebook that is allready full of my notes and calculations
demonic_dagger15,On god
IRobot_Games,"There is another . . .












r/factorio"
Reasonable-Song-4681,This and No Man's Sky are the only games since classic Myst I've taken notes on.
Jb6534,"I love making notes for Satisfactory, also working out how much of something I need to feed a system using algebra finally gives said maths a use I don't find soul sucking 😂"
Outside_Database_182,"I've been playing it for a total of 320 hours and I literally have notebook full of plans, math, and production rates. Plus I have another server with some friends where we all building in different locations..... I'm going to need another notebook 😂😂😂"
Efficient_Spare_9808,"I guessed the game before finding charm and reading subreddit.


P.S. You're not alone, mate!"
AlexStarkiller20,Only notes i take are making never ending checklists in my notes app
TiberSeptimII,"You should try out The Witness! A notepad and pen is almost necessary for that game too, but for very different reasons."
Shadewolf69,"Teacher: Write me a 10,000 word essay on Satisfactory.
You: *passes with an A+++ with all those damn notes*"
sselesUssecnirP,I'd totally write notes if it didn't feel more comfortable alt tabbing and typing on my keyboard.
Sack0fWoe,Fez has been the only game to make me write physical notes. I can't type in their language.
ATrueGhost,Y'all know their factory planners out there. I just add what I want to make and tweek output and alternative recipes till I have enough resources for it.
Badger897,I have an entire spiral notebook just for this game lol.
ZoidsGhost,I love drawing diagrams to figure out my machine set up before starting work on a new factory.
lukyth1rt3en,"I always keep the notepad and calculator apps open on my second monitor. The notepad files called ""Best Layed Planes"" which represents how I always screw up the first time I set up a new factories in/out ratios"
SnooRevelations1021,Phases 4 is almost done and i took 0 notes and made 0 math am i the only one ?
Zomey256,I'm doing that as well. What puzzles me is that none of these recipes are alternate recipes. Do you really only use the default ones?
Feedzalot,"My desk looks almost the same. Game on middle screen, the map with my uploaded save on the right one, notes and colored pens all around it."
wivaca,What are those long cylindrical things and those white rectangles.  I use a spreadsheet.
Hell_Diguner,Let me save you hours and hours of time: https://factoriolab.github.io/satisfactory
D_is_for_Doomsayer,Satisfactory is an excuse for me to make more spreadsheets.
Different-Raise3680,You have 3 monitors. Use notepad or word or excel
