author,comment
SpectreGBR,There is no way we are playing the same game
JimmyTDM,"No matter what you say, I refuse to believe that that is a build made by a living being, let alone sane."
creusat0r,Why does this look weirdly realistic? 🤔
Seeker15438,"When they say that factory verticality is encouraged (in beginning when unlocking conveyor lift), I think you took them very very literally lol"
Bosht,How the hell. Someday I'll be cool. Someday.
Ernie_Devlin_9799,Holy crap! Please post more screenshots of your work
Asio0tus,"yooooo, this is fucking dope"
zBarba,Gorgeous fucking piece of art.
laxkid7,All that for 6 machines…?
GraXXoR,"This game has actual transparent windows? I never knew...

I have 1,2,4 metre foundations and two heights of walls."
TheOGPotatoChild,This hurts just to look at. I am currently attempting to remake this
parkerhamster28,This looks like something out of Star Citizen. Absolutely unreal! Fantastic work
Ralph_hh,"Wow. I'd love to see some more picture from this, e.g. from a distance. Looks amazing. Is all your stuff built like this?"
The_White_Prism,Woww... so much work must have been put into this! How long did this take you?
foxanon,What in half life am I looking at
KickBassColonyDrop,There's nothing basic about this you overachiever!
Date0516,"I wish there was a way to copy your blueprint print to paste more of the same around your map. 

I’m not saying I’m trying to get it, but I have a hard time with big builds because I can’t copy and paste the thing I made to make more of what I have. If OP could build a number of these, I would love to see it. Honestly it’s incredible as is. “Basic” my ass"
Personal_Ad9690,What game is this?
elirosen18,It’s to beautiful you should not be allowed to live
UsefulEmptySpace,Very nice
Kris_xK,Fucking gorgeous
P_Sleaze,This is the single greatest thing I have ever seen related to Satisfactory by a country mile
ZombiePanda3000,That’s pretty epic. 👍🏼
hex00110,RTX on?
GameGuideGuy,I had to do a double take because I thought this was real life
BananaLlamaInDrama,"so ChatGPT made an awesome job, eh?![gif](emote|free_emotes_pack|joy)"
Ologyst,Bro. This is next level.
Blazdnconfuzd,It's a good start I guess.
basdany,"Wow, it's beautiful. The design is perfect, I love it"
Equivalent-Stable642,"Holy shit, I didn’t even think this was satisfactory ‘till I zoomed in. How the fucj"
tinypieceofmeat,> basic
Archaii,"This is amazing, can you share more pictures?? Respect"
Ritushido,How the heck are you people so creative. I can't get out of the box mindset.
realamericanhero2022,I thought this was a transformer at first
B_Mac4607,It kinda looks like a robot peeing
movies57,NGL looks like something that would be built in Singapore
narcoticcoma,Mad lad.
KatanaPig,Holy shit
Leavemedafuqalone,My factory is a mess of blocks
Leavemedafuqalone,Pumps go crazy
razgeez,Do you plan these builds by pen and paper first? How do you organize such complex build?!??!
starch77,op are you god
vincent2057,A little overkill for 6 machine prehaps but it looks fucking awesome.
Krinberry,This is beautiful. Are you using a different texture set than the default/basic game? Nothing I can build looks anything even remotely like this.
randomtaskkk,SXC.
Flying_Fox_86,you really tellin me thats basic?
dvereb,Now I have an urge to climb it like the towers in Breath of the Wild.
ICANTTHINK0FNAMES,"No, needs to be more intricate."
blatant_misogyny,I love the fuck out of this.
No_Access_8946,Love the build style
s1mmel,"I'm...what? This is .... I'm missing words right now. Just, wow!"
centermerge,"Been putting off getting back into this game because builds like this help me realize that all other ""real"" life needs I have will be ignored terribly. That said, when I do jump back in I shall attempt something inspired by this perfection. Well done!"
KC77,"What an incredibly impractical, yet fascinating design. I'm digging it."
BigMelonBoi,"Yeah, “basic” sure"
Itanius,"You done did good, mate. Excellent creativity!"
VirionSovo,Naaah.
Wishbone_Flaky,That'll get you like 20 batteries a minute if you're lucky lol.
sgtjoe,"Step 1. Make a high structure  

Step 2. Build the rest of the fucking tower"
lockwolf,Your definition of basic and my definition of basic are two completely different things
totallytotal2020,"So I have dropped the game these past 6 months. Burned out with 487 hrs and today starting fresh, meaning from ""landing"".... And I see this.... and I know I did not save my previous game. Life can be so challenging sometimes"
Tacobell1236231,I don't even put up walls and you got that thing down?
lainverse,Looks easy to scale would you ever need more. XD
plastekk,Looks like some science university building from the swiss or something
themarshal99,"_Looks at this_

_Looks at the plain white I spent 20 hours building_

_Closes the game_"
EFTucker,Where’s the spaghett?
tgapgeorge,What is wrong with you? Build a gorgeous structure like that and only post one pic?!
DrMaxwellEdison,"Well done, Mr Freeman *weird gasping noises*"
alcoholicpasta,"What part of the word ""basic"" do you not understand :"")"
agitatedandroid,"Dude. That's just tremendous.

I appreciate that you've done what's possible rather than trying to recreate what we think a factory is in our real world.

Very clever work."
Dootley_Doot,No- NO STOP IT I CANT LOOK AT IT WHY IS IT SO DAMN PERFECT LOOKING?!
Confused_Melon,6...6 machines I don't build anything nearly that good looking for 10x that many machines
Fantastic_Ask,Damn… I’m STILL not building big enough 🥲😂
Danubistheconcise,I really want to see the insides of those pods...
iacodino,"""Basic"" aluminum tower"
kib10109,![img](emote|t5_gs464|9160)
canoIV,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""Basic"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""
tupiV,‘Basic’
martinkem_,I refuse to accept that you made it in Satisfactory. That look like a photograph from real life
Yoboiv,That looks incredible man ^^
TobbieDatBoi,"Looks amazing man, straight outta the future"
Logiwonk_,"Very cool reminds me of the Japanese metabolist movement!

Edit spelling"
Cepterman2101,I was convinced that was a RL picture
AltruisticProof3640,Least devoted Satisfactory player
SteveWired,Moar pics!
