author,comment
Kavex,A friend drove off with his explorer but it left the frame.
Temporal_Illusion,"**POSSIBLE HELP**

Look for the nearest Lizard Doggo as they have been known to collect shiny / glowing things. ![gif](emote|free_emotes_pack|joy)"
TheRealOWFreqE,I audibly exhaled. Well done.
underr_,"Had to disassemble the tires for rubber, sorry"
vincent2057,Had the same glitch before... Didn't think to add the sand bags though... VERY nice touch ![gif](emote|free_emotes_pack|kissing_heart)
Mas_Zeta,Can't have shit in Detroit
Delicious-News-9698,LOL
Oldenodd,"It's all bad neighborhood. Pretty, but bad."
TSM_E3,Can't have shit in detroit
0LowLight0,"*Kids, you noticing all this plight?*

\*bang\*

*Rollemup!*"
GamingDallarius,![gif](emote|free_emotes_pack|joy)
