author,comment
dustofdeath,Be careful it's not the execute button.
Sir_Tea_Of_Bags,"For a second, I thought this was an edit of Destiny's Drifter, and I grew *very* concerned for the fox."
Forsythia77,"The DLC for Ghost of Tshushima has these chubby cats you can pet and it gave me massive amounts of joy.  

Conversely,  I never felt worse than when I was playing Assassin's Creed Origins and I accidentally poisoned a cat.  That little traumatic death meow when the cat ran up to me and crossed the poisoned body..."
_Mr_Cheeks,"Don’t think I’d be doing this in Far Cry 6 with the crocodile. 

Fox, yes. Croc, no."
Lollomojo,This gif is pretty awesome!
Zero0mega,"If you put dogs in a video game and have no option to pet them, you have failed as a game developer."
SarcasticGamer,"In Sound Mind gives you an achievement that reads ""10/10 Game of the Year"" when you pet the cat. They know their audience."
ohmygodimonfire4,Good fox bois. Of all the awful people in this game I felt the most rage at the person you find killing foxes in that one side quest.
RatMaster999,"When the ""Feed"" prompt appeared near the nutria/giant rats in Far Cry 6"
guywithagun2,"*""ding""*"
Who_GNU,That fox is huge.
LightKnightTian,I was so excited when I noticed that you can pet dogs in Assassin's Creed Black Flag
JoshDarko,"Hive, bring a sword… or a fox…"
skepticcaucasian,I hope Tears of the Kingdom has this. Those dogs and horses in BotW needed all the pets.
Good_kitty,so true.  I love the fox petting on this game.
mynameisimp,"Alright, alright, alright"
Raytheon_Nublinski,I tried walking past the dog in last of us and had to circle back. I thought I was strong enough.
macmynameismac,I think it would be funny if there was an option to pet most animals in a game and some were nice and some would bite you and take some health
gameplayuh,This was me when I was able to pet the animals in Pentiment
C_Tarango,"Fox : ""Please kill him.

Or me.

I don't care at this point."""
Illustrious-Duck1209,Civilization VI... of all the places to find that button.
ShoerguinneLappel,"I love that feature for Ghost of Tsushima, I pet every animal I could in that game and I didn't regret it!"
papaturek,Just got a went 100% in Ghost of Tsushima and got a platinum trophy for it. I am upset this emote wasn’t also given lol
f7x4,Enter the gungeons hunter character has a pettable dog that also growls near mimics
most_wanted_guy,Fenrir in GoW Ragnarok
MrMiaw,I love this so much!
L0ST_N0UN,"Pet pet pet, hmmm pet pet pet, yes more, pet pet pet... *10 minutes later* what was I doing? Oh yeah saving that town from the dragon."
Shift_as,Among us has a petting system now(wish it was better tho)
SwivelingToast,"There's one dog in Chained Echoes that has the prompt to pet, but you can reach it. It's infuriating"
Jaymanseeya,"""Send me youre weakest warrior!"""
AVeryRealHumanity,Recon units of Civ 6 now get a pet option!
jaywardhanpawar,"This is how that ""environmentalist"" lady was swinging a pigeon left right while speaking which broke it's neck in the process."
rainydaiez,for me this was cheeseburger in farcry 5
yaosio,"The Medium has a cat right at the start of the game. You can see it run into a room. You can follow it into the room and it's sitting on a couch watching you as you move around the room. You can interact with everything in the room including the wall. There is no way to pet the cat.

They gave an interaction for the wall but not the cat. The developers are monsters."
2scared,Wait htf was this gif made? The game can't be modded 🤔
TrueDripDamage,"boars in valheim, they love me"
Substantial_Net3539,He didn’t bank his motes
Avocado_Fucker12,If I can pet doggo/kitty/foxy/whateverything in game. Then game GoTY
Salakast-1,"Imagine if Miyazaki added it to the next Soulsborne game. If you pet the dog, some terrible tragedy will probably befall it. Souls games are so depressing man."
JuggsGotchya,"Maybe not a 'new' game, but when I click on the starting scout in civ 6 I almost always have to stop and click the 'pet' button for the German Shepherd. Also I remember it didn't used to be a feature, great add!"
esinmuratt,I hate that prompt
Silent_Node,Forgot I'm not in /r/rimworld ... The story doesn't end well
Mayo_z,Basically me plating chained echoes finding out you can pet literally any dog You can get to
tingeyjo34,Always loved feeding and petting the animals in farcry primal. Love that game!
lava_lampshade,"Y'know, for a bug, Steeve's kinda cute."
JayGold,"But then, there's Postal: Brain Damaged."
CommentLeading4953,Sinski Nakamora from wwe😂😂
Get_your_grape_juice,Pretty sure you’re giving the poor guy shaken good boy syndrome.
keith2600,Lol if I saw someone doing this irl I would consider clubbing them with a brick but it sure does look cute in game.
Cyito,It’s Jan!
sseerrrgggg,there’s a shepherd pup in Division 2 DLC you can pet for about 30 seconds at a time.
BustermanZero,Best use of Umbra in FFXV.
Smoke_Stack707,What are you doing step-samurai?
Abune,"I feel bad for the dog in red dead because I never let it leave, just made it endure 24/7 pets"
Sterben1103,I was listening to music and the animation was synced to Astronaut In The Ocean lol
DracoBlaze214,POV: The drifter found a creature he hasn’t ate.
tenqajapan,What have they done to Jin...
JamesBeta,Why is John Legend shaking a fox?
delveccio,I platinum’d this game and never once saw this animation
Gravino1,Recently redownloaded civ 6 to find there’s a pet action for scouts to pet their doggos now. Super cute!
herobotic,The fact it gives rewards is secondary in Midnight Suns. Charlie is Goodest Girl.
onbakeplatinum,Playing Evil Within 2 right now and am frustrated that I can't pet the cat!
MounetteSoyeuse,"Don't mind me playing DRG, I can pet big ass spiders, robots heads, kind leeches and strange big larvae lmao"
BreakBeneficial1434,I feel like Jin right there when I found all fox dens
RedShadow69420,"This was me with dogs in WatchDogs 2, great game in my opinion made even better with getting to pet any dog you come across."
ZealousidealUnion257,Why jin? Why?!?!
rufusdotthedotbest,Initiate good boy protocol
thatonebluedragon,More games need a pet button
Fantastic-Sector7151, Very hungry Chinese man who just found dinner?
MeximeltExtraCheese,Nice to see a reference to The Campaign. Underrated movie.
SirGrinchPSN,Lol looks like Galifinakis in The Campaign
