author,comment
Cynyr,Not pictured: Skipping bathing.
Victor882,"Wait till he finds out the less sleep, live debuffed and cope with drugs strat"
SplitPerspective,Work: unskippable cutscene
Alzward,played a lot of neon white recently and it's a great time but once I'm in the zone for a while I get ***real*** twitchy
HiveMindKing,45 minutes aimlessly on my phone negating it all
Zaynara,sudden death -57 years.
Lithuim,Play enough racing sims and you’ll always be tempted to hit those apexes.
C__T__P,Off camera he learns that the 7 minutes he saves by not cooking dinner doesn’t weigh up to the hours upon hours spent on the toilet due to salmonella poisoning.
Abradachi,"Just put a toaster in the tub and jump in, it saves a lot of time"
Silver3602,"Ngl, thought I was in r/adhd. Regardless, I still got a kick out of it"
blackmobius,"Ive been speedrunning sex for quite some time!

*-80 seconds*"
AutoEuphoria,"You can also save 5 minutes or so by not showering. Not only do you save on time there, but it also makes movement more efficient, as your thighs will be properly greased up and people will naturally get out of your way due to the awful stench! Pro strat!"
FannyBabbs,"I see a lot of people using the ""reckless driving"" tech, but if you do the math the time saved doesn't add up to a lot and you can put yourself into a resource pinch later on, assuming you don't just wipe your run on a random encounter."
alonedead,Corner cutting is actually dangeeous move. If you cant pull it of you will get +45 years to your speedrunning timer
Dr_BigPat,I'm very anti-morning so I've slept with my next day clothes on countless times
Isair81,I strive to be this efficient in life.
timtucker_com,"If you think corner cutting is great, just wait till you try clipping through buildings."
NotObviouslyARobot,"Not pictured: 

* Speedrunning Romance via Ladies of Negotiable Affection.
* Speedrunning childrearing by adopting teenagers."
b4ttous4i,"If you skip sleeping, that's about an 8hour time save you can implement every day. Driving to work is probably 1hr a day minimum. You don't need to cook every day when you're saving on gas and rent. So you can raw eggs on Uber eats..

I saved you about 9 hours a day."
BookByMySide,"Nice, i am going now to read this on webtoon"
Logan-with-a-Z,Finally!!! It's been a while. Fantastic work as always!
fourleggedostrich,Where's the punchline?
atre324,Important difference is not being able to die over and over
Radjago,That last panel looks more like an intentional death.
ILikeLenexa,"If you work from home, you can skip out on the entire commute."
,the issue is skipping something important then going on to waste your time talking to someone for no reason
McManGuy,"This dude is damage boosting his way to work.

> ""Health is a resource!"""
Quantum-Bot,"My morning routine doesn’t need to be perfectly optimized, since I’m limited to public transportation which operates on a frame rule system."
dedicated-pedestrian,7 minutes to cook an egg? That's below casual. That poor egg is ruined.
happyhappyfoolio,"I'm being a dork here, but there's a song from the musical ""The Pajama Game"" that describes this comic perfectly. It's titled ""Think of the Time I save""."
HellHeater,you really should have put -30 years at the end instead of 3 seconds
YeOldSpacePope,He's already behind the top runners who died at birth.
KyojinkaEnkoku,Speedrunning seggs?
Fly_Boy_1999, I actually did the sleeping clothes technique when I was in highschool.
Dickpuncher_Dan,The cherry on top is when you dive into your bed at 22:59 and your friend is standing by and smacks you very hard in the head with a big wet ham so that you go straight into REM.
gigaswardblade,-3 seconds to living
potheadpig,"thanks, im gonna start calling my reckless driving speed-running strategies"
BizzyM,7 minute abs
Kaltor,It's possible to any% life very quickly but I think it's a bad idea.
