author,comment
Jaksebar,"In my country, GOW Ragnarok costs 3 days of work for minimum wage and rates of people who earn minimum wage is significantly high

And you have to work 2 months without spending anything if you want to buy a ps5"
EdSGuard,"""The Gods of Olympus have abandoned me..."""
MageMasher_Online,If you can find a PS5 in Thailand it’s about 2-3 months salary worth
Blitbemander,More like God of I don't have a playstation. Lol but now it's on pc so I can play it.
KulaanDoDinok,Because I’m physically incapable of playing a sequel without playing the prior games
moosetwin,dude you just gotta rule 3
Urbane_One,"God (of War) I wish I could afford this game... or, like, any other games, ever. But this one in particular!"
,[removed]
creampie_420,"Haha, I am also poor"
FuriousGeorge50,"Honestly God of War series, Spiderman and Ghost of Tsushima were very worth the money paid"
,[removed]
1812_062006,ARRR become a pirate my friend and sail the internet.
Luke333_,God pf war 4 is on pc and possibly Ragnarok will be too in a while.
MechaGallade,i mean GoW 2018 is on steam now
RAIxYSA013,God of No Time
orangepolaa,"Same like you, even i also don't have any version of the play station."
CoffeeMaster000,Athena's not helping
Awesome_N22,I got mine off of eBay
WeToLo42,Not having trouble buying one just having trouble finding one to buy.
clearcolored_glasses,This made me laugh. I'm poor as shit too. Gamefly helps me play the games I can't afford.
TheRealDebaser,I almost bought God of War in the last steam sale for pc  but decided on Vacation Simulator 2 instead 😂
Irbricksceo,Thankfully it was on sale last steam sale so I finally have this game
milkywaybuddy,If you have decent internet you can stream it on PS Now on a PC
gigaswardblade,Binbogami?
FarInsurance8694,I have yet to play Ragnarok because my PS5 drive was damaged before it arrived 😩
maxsohigh00,I didn't expect this thread to be so sad
Funk_n_Friends,Okay I laughed. Happy?
yaosio,Between food and not being able to afford healthcare most people can't afford a console.
Hypervisory,More like I don't want a PlayStation - but I do want Kratos round two.
HeroLevel28,YouTube here i go
Ok-Tank5312, Puts god of war in my ps3
Feierskov,"I'm not poor, but I'm not going to buy a PlayStation just to play God of War, no matter how much I want to play it.  
I'm pretty sure I'll buy an Xbox this generation, even though I've always been a PlayStation owner. The price difference is just too big and I think Microsoft's services are just better."
ClozetSkeleton,Because I haven't played the first 3 games and I want to see them ported to PC first to understand the story and characters. Then I can play GoW and Ragnarock
monotoonz,"I've owned PS since its inception and haven't played a GoW game yet. A lot of fellow gamers ask me why and it's always the same answer. It's not my type of game. I have nothing against it whatsoever, but I like what I like."
240Nordey,Don't wanna buy a whole new system for Ragnarok. Will wait for a PC port.
RandomDudeinJapan,Cuz it's overrated
Apprehensive-Map519,"Or because it’s an overrated game? Repetitive, boring and backseated. 

Honestly, I don’t see what people see in this game. Played it for 1h58 minutes and got reimbursed on Steam. For sure it’s epic, but the gameplay is so poor. I prefer watching a movie or play a game with an actual original/fun gameplay."
bentsea,"It's totally on PC now, so instead of a whole 200$ PS4 you only need a 3500$ desktop."
ZookeepergameDue8501,"Plays really well on the PS4, if you can get a bargain for one of those"
RedThorns,I just got God of War for $10! Now Ragnarok on the other hand is $70 I’ll be waiting several years before getting that one. Very much God of Poor.
rochestergeek,"
If I could beat Thor I would continue playing…."
alexefi,"it also not the type of game i enjoy.. recently met one of my old coworkers at party, and he just moved to PC gaming from PS4, so we added each other on steam. then he was like oh we have no games in common, i look at his games its mostly multiplayer FPS, while me mostly single player RPGs"
harrybalsania,"I’m just sick of feeling like ever major publisher and Hollywood writer has to have the friggin word Ragnarok in everything. Like Norse mythology is a cash cow but these companies are sucking it off instead of milking it. I got my Norse shit. Valheim is great, no need to spend money. Win all the way."
LilBussyGirl69,$70 bucks for a game is insane. I understand why they had to increase prices but god damn this hobby becoming way too expensive now. I got lucky that my cousin had the game and shared it with me. I wouldn't have been able to get it otherwise for a while
