author,comment
Independent_Plum2166,"I’ll give Big Boss this, if I discovered a friend of mine stole my DNA to create clones of me, two of which becoming thorns in my side in my lifelong goal, I don’t think I’d want to be a father."
Impurity41,"If the Nintendo videos are anything to go by, bowser does actually interact with his son in his free time and kidnaps peach because he wants his son to have a mom. Dude absolutely tries his best."
Arastmaus,Kiryu should be higher.
yaBoiCatLizzie,"""Nero is my son?""

""Yeah, dumbass. Can't remember through that thick skull of yours?""

&#x200B;

""You feel accepting yet?""

""Of your existence? Or your strength?""

""Both you fucking asshole!"""
Jackfly0114,The thing spy did when scout was dying def redeemed him a lot. If not he’d be where goku is.
MikBright,"Seeing Brad in the top left;

\+Crying

\+Depression"
BreachDomilian1218,Subject Delta singlehandedly should be moving Big Daddy to the top right corner or at least pretty fucking close.
Hbimajorv,There is definitively less Michael De Santa than I expected of this post.
Nearsighted_Madman,"""I just wanted you to be safe. I didn't want anyone to hurt you.""

""Brad... *you're the one who hurt me the most.""*"
LmaoGoFaster,Where’s Haytham Kenway
stiofan84,Kiryu needs to be closer to the top-right. Best video game dad.
invisibleshitpostgod,where sojiro
CAJ16,Lee in correct alignment.
positive_charging,I may be blind but I don't see John Marsdon on here
ursusowanie,"I would argue that spy actually did try. Sure, he never tells scout (his son) that he's his father, there's a big change he works in the same team as scout to make sure he's okay, even if he's not a small kid anymore. 

And even more, in expiration date even though they all thought they had only hours left of his life he didn't just sit down in his room doing whatever he loved most, he went out of his way to prepare scout for a date even though he wasn't forced to do anything. He might have been an asshole most of the times while doing it, but he clearly tried to teach his son and prepare him for the date, only forcing him to get a bit embarrassed with the intercom part. Also I'm pretty sure embarrassing the crap out of the student is a teaching style. Might not be the best, but it exists. I think that proves Spy actually tried sometimes and should be higher up."
Vainslayer13,"Vergil might deserve a pass. He was an utter prick to Nero, but genuinely didn't know he even had a kid until the last 15 minutes of DMC5."
Agreeable_Bee_7763,"In Vergil the deadbeat's defense, after the fight with Dante he asks ""So, he really is my son?"". I think he just didn't know. Pumped, dumped and only found the consequences when he needed a hand for something."
dolan2736,I guess jecht is offscreen further than heihachi
DV_Red,"Hades should be higher.
He really tried, he's just awful at it and couldn't tell his son about a whole load of stuff because he had to keep everything very, very secret.
I'm not saying he's the best, but he did try."
overlordmeow,"honestly, Lee deserves to be higher up. he was sooo *good* to Clem (depending on your choices). absolute 10/10 father figure right there."
