author,comment
Magnon,"That's hilarious, hand suck go!"
jballin99,I do something similar when I look for whole blocks of cheese in the fridge to eat.
L0mad,WIND TUNNEL!
DirtyFuckingCasual,When do we fuck the robots
Pegussu,"The best looting system is Prey. Its crafting system just requires the basic elements that make up the items. You can do this by putting items into a machine called a recycler which helps justify the gamer tendency to collect any and all garbage on the map. Alternatively, you can throw a fucking implosion grenade that'll suck in items and then blow up, turning them into crafting materials."
JPShiryu,So basically Luigi's Mansion?
SableHalloway,This loot system sucks.
TransientMovement,I’m so down for that. One of my biggest pet peeves is having to hover over every fucking item to pick it up. Even worse in games like cyberpunk when mooks you kill land on top of their weapons and you have to push their body to pick it up. Just give me aoe looting
BoBoBearDev,Why does it looks like some kind of sex organ on the hand?
AviRei9,I'm trying to imagine if only looting was like this in Skyrim but it would only work if we didn't have the weight limit let me just magic everything into my inventory I mean it could have easily have been a spell but I feel like it would have been a spell and oblivion because that's when magic was Op
CaveManta,"Nice and quick, with lots of suction."
KJ117420,Mine
Cute-arii,"it looks so stupid. i love it so much.  
THE WAY ITS JUST CASUALLY ~~SUCKING GYRATING PULSATING~~ GOING IN AND OUT OF HIS HAND!!!"
DrDeathRow,Similar to Kirby
Lj28_,dontputyourdickonthat
No_Establishment7368,"Suddenly, the looting in borderlands feels embarrassingly outdated. Can we get a mod to add this looting system to every game? XD give me all loot in the immediate vicinity"
ADudeThatPlaysDBD,It looks stupid. I love it
RonYarTtam,At this point they should just stick everything in your inventory when you walk in the room. What's the point of this? I feel like the idea of looting is that you can MISS things by overlooking them. You might as well skip the animation.
jackofspades476,"Ok, this is probably an unpopular opinion, but I really like normal looting. I know it takes time but in my experience the time it takes is a good chill piece of time after a fight, or a tense sequence, and it really helps the pacing of a game. Also I’m a fan of realism in games, but I can definitely see the appeal of this method!"
CROBAHR,Getting old Blood Omen vibes like when you could feed on corpses around a room.
DocMachina,"I love seeing devs take unusual approaches to tired formulas. No one wants to rummage through drawers like on Red Dead 2. It's just little things like this that make me hopeful for the future of games, even if it doesn't seem all that mind blowing. It's the small things"
NoSleepReader,I feel like I've been waiting for this game to come out for 5 years. Is it even real?
thetalker101,"I wonder how this feature can be considered from a game ""philosophy"" perspective. Such as how it simplifies looting to an interesting visual but still has requirements to loot. I think it will be a fun mechanic, but I wonder if it will age well."
,"Looks really convenient, as opposed to rummaging through things one by one."
Bigred2989-,Reminds me of Luigi's Mansion.
ataeil,This is reverse Fus Ro Dah
IMarioKart7toomuch64,"That looks awesome, & saves so much tedious time opening & closing drawers & dressers. Why isn't this in more games?"
Ridiculous_Death,"Remember, when you buy this game you are directly funding russian missiles that kill kids."
SergeantSchmidt,"Atomic Heart, Sons of the Forest and Hogwarts Legacy feel too good to be true after so many botched AAA Titles/delays. 
Hope everything goes well. I crave for a game to suck me in again."
Martencel,Russian game development at it's peak
truthpooper,Pretty delightful
akakaze,Poltergeist Simulator.
Kear_Bear_3747,THANK. FUCK. *sluuuuuurp*
Patricia_Star_Bl,"it's like a vacuum cleaner, but with tentacles!"
AD_VICTORIAM_x,Me at grocery store checkout lanes 💀
EnvironmentalBet440,mick gonna kill it on the soundtrack. Fuck ID software for the mistreatment
haxic,"Niiiice. I’m not playing a lot of loot oriented rpg’s, but I played Dying Light 2 and it fucking sucked to loot items in it…"
brockwuzhere,God this game looks so fucking good I cannot wait.
Grenflik,It's like Vampire Hunter D's left hand.
gn01145600,Imagine guy be doing their favourite activity with this super power.
Untouchable4rc,I just picked up Dying Light 2 so watching this makes me salivate.
Jam_God-1,Robbers in the year 2504
ZzzSleep,The Luigi’s Mansion method
HadeTUM,Moira mf
multiversalnobody,That looks awful
LopsidedImpression44,Ewe not even good in the least. May as well just press a button when you walk into the room and all doors and drawers fly open and you just have the loot in your inventory. So bad
R0B0138,Reminds me a bit of the Sekiro loot system
SardonicHistory,Not a fan. I always enjoy methodically searching stuff.
Deathstranger,"So, someone on the team just saw the maintenance person I'm sure and figured why not attach a vacuum to the character's hand for quicker looting."
,I’m waiting for it to come out on game pass is it good?
Holiday_Car_371,Summons black hole
marco_flores,Looks so downgraded compared to the trailer they showed in the past.
LachoooDaOriginl,i just looked up the game and looked at images and what in the fuck is this game
Curse3242,RDR2 and every ubisoft/bethesda game just puked
Current_Entrance_141,"I know it's just a game, but it russian games currently, and developers'll pay taxes and support war. I hope you will understand me"
PsyFi_ZA,"I love fast looting systems in games. 

One of the things that made me stop playing RDR2 was looting... It was so slow it literally made me refund the game."
Susdoggodoggy,Am I the only one who‘s thinking about the vibe check?
CaffeineandSheen,So stoked to play this
xQuizate87,Is this game going to be good?
GUTSY-69,#SUCC
Teoxtli,"this is actually so much nicer than walking up to each individual container to open in and grab what's inside, reminds me of the gravity gloves from half life alyx (although those were really fun to use in vr)"
,[removed]
,[removed]
DevastaTheSeeker,??? Isnt the game out next month?
OSRS_Satriani,"I want this game to be good so badly, but it looks like it might have so many issues"
AS-46,Don't forget that it's russian game and you'll support a terrorist state by buying it
yaosio,"I've said before that given what the game has gone through it's either going to be the worst game ever made, or the greatest game ever made that introduces new concepts nobody has thought of doing before.

Here's a new concept that nobody has thought of doing before. Looks like Starfield needs to be delayed some more to add the vacuum loot feature."
Sky-Dear,Looks like ass
who-ee-ta,"Nice try, ivan, but no🖕"
jim9162,This is a nice change to the stopping and looking through every single shelf and mashing a button to loot everything not nailed down.
Perpetualityy,How I loot my fridge when I'm stoned to the bone at 3 am
Dry-Wave-6865,I'm gonna loot their mom
ChillYota,"Ohhhhhh looks nice! Especially for console players, trying to get right on the spot to pick something up can be very annoying"
DumpsterHunk,This game is going to flop after 2 weeks
CalmPanic402,"I don't have to hit a button to open a drawer, then hit a button for every bit of string in said drawer?   0/10"
superheterofromRU,"Only on Vk Game lol

Хуй вам, с не советские робо-милфы"
the_tique,Devs are fucking ruzzians. Uts propaganda game. Why do you post this shit???
MatCas264,This is fucking Luigi's Mansion looting system.
link_nukem28,Be nice to have this in RDR2
joenelson88,RDR2 take note
MEmaadSufi,10/10 Game of the year.
Doctor_Eternal_65,Gimme gimme!
CritikillNick,He’s got the hand of that pervy monk guy from Inuyasha
8KoopaLoopa8,"""I dont got time for this"""
takl4061,Buuuuut 17x hour of sex !!!
AvalancheFalls,Almost at black Friday level
GreazyMecheazy,HHHHHNNNGGGNGNGNNGNGNGNGGGGGGG
Robobvious,I'm pumped this one is coming to Gamepass.
BigBobsBargaining,So that’s how Romania does it
Dogekaliber,Well Markiplier is gonna love this!
wallyslambanger,NOM NOM NOM
VarietyAppropriate76,Such sucking power 😏
SpectralMagic,Luigi's Mansion vibes
No-Abbreviations-777,"You're a wizard, Vladimir"
Cattleist,Sci Fi Oni Gauntlet
RaiSony_RC_,"Fast and chaotic, nice."
InsipidGamer,I bought this game 4 yrs ago…. ..  ….   …  .. .. where’s my game?!?!?!?!
X-xOtakux-X,I KNOW that someone’s gonna make porn out of this system.
Libra_Maelstrom,FINALLY. I CAN GET ALL THE LOOT.
Dan-Axel,"It be funny if dev put a bomb in one of the cabinet with loots. Suck one, and it blows. Taking a chunk of your health. At least, I don't just suck everything up and be careful a bit"
hazzelgamer774922,Can\`t wait for febuary
genericaddress,Half-Life 3 must implement this with the Gravity Gun.
Pitoucc,Luigi would be proud.
Vegan_Honk,I am robbing mfers yes I am.
Onilinkle,Kirby?
Vancouwer,Succ
lavachequifroute,"It’s me or they downgrade the graphics here ? It’s not beautiful than I expected:(

Maybe it’s an old beta version, wait and see !"
StaySharpp,My high ass devouring all the snacks in my pantry at 2am.
DuineSi,The room’s POV: When she keeps looting.
GreatBaldung,"Oh so they added a canonical explanation for all the loot flying towards the player. 

I'm not sure anyone needed *that* but OK."
ClintprimE,Stress free looting only for them to ruin it with inventory management 😂😂
Itchy_Alarm9881,This ain’t looting its vacuuming
ShadowDen3869,Miroku from inuyasha. Hand go suckie suckie.
OREWAMOUSHINDEIRU,Succ
cravesleep,Is the game out yet?! Have i miss the release?!
Andiv3D,https://youtu.be/zcAWCfhhN7U full leaked gameplay!
Zapinsure,You loot by e x t e n d i n g your arm.
darrenleesl,Every high-schooler at prom.
PracticePenis,Vacuum simulator 4
elucila7,"If a ghost has ever done this to you, you were the npc they were looting from."
rmpumper,I guess there's no weight/space limit then.
bored-n-sleepy,Give me all the things!
HighRes-,"Ah yes, I will buy it for this solely"
AdmiralFurret,"Bro really said ,,poyo!"""
Edurpack,So basically it’s Luigi’s Mansion with less coin and gold.
matkata99,heaven on earth for loot goblins and hoarders 🤤
itstommygun,Why have I never heard of this game?
jollisen,Loot goblin
DieVersion99,Now that looks cool!
lordbuckethethird,This is the exact opposite of red dead 2 looting.
FlimsyAmphibian6500,Loot goblin fr
Fredol_draws,"When it's Friday night and your mom said, "" I hid the chips"":"
carrotmaaan,Dislike.. but atomic heart is still a game I am excited for
killa_cali77,That is freaken cool
,ez gains
n8stull,"The natural evolution. Let’s goooo, love this."
Skintanium,*oh myyyy*...
Pliskkenn_D,"Man I always feel that the harder a game is pushed long before launch, the more of a disappointment it will be. I just cannot care about Atomic Heart. Nothing I've seen has made me go wow."
ZX1N-_-,CCTV of a ghost in the kitchen
ES_00,Sekiro!
TrickDaReaper,It kinda reminds of control
Little_Internet_9022,Devs just couldn't be bothered.
ZilorZilhaust,SUCKY SUCKY HANDY HANDY
Rover129,"As a professional Loot Goblin, I absolutely love this!"
oNOCo,I enjoy looting stacks of coins individually in Bethesda games \*\*ting ting ting ping tink ting pink\*\*
OldManTurner,Why have I never heard a thing about this game before today
WhisperFunk102,WAIT IS THE GAME OUT
Alklazaris,Is it out yet?
mehcrodonewhat,"YES VACUUM IN MY HAND
NOW I CAN ALWAYS BE GAME READY"
Tallox555,i love it lol
ilikelove_,This is the only game I look forward to.
Octopus_Tetris,Almost as fast as in The Long Dark-
Mean_Peen,This game is gonna be weird af lol
Kakujya_,Nice now we can tornado rooms in a quarter of the time! Lol
Ambitious_Pin_135,They know we're leaving nothing behind
_Spamus_,Luigi's mansion 4 looking lit
TheKiwiFox,chaotic and efficient. I love it.
underscorerx,"So they decided to implement some form of resource collection, but had no budget left"
cspruce89,Go Go Gadget Petty Theft.
bombader,The Luigi Mansion of looting mechanics.
ShamelessPlace,Best system to open doors I've seen.
sekirobestiro,Looks empty and uninteresting.
PixelGamer07,Dyson sucktion vacuum lookin ass-!
rWichdocgamer,S U C C
Mangojoyride,Wtf
ObamaGaming7689,Detroit
Mattt_MSI,I'm looking forward to playing this but I just hope it isn't a flat feeling game with lots of difficult boss fights 😮‍💨
b_lett,Half-Life Alyx was supposed to be like a 15 hour game. I spent about 30 hours because I manually had to open every cupboard and drawer and toilet seat in VR. This type of loot system would have shaved so much time off my playthrough.
KnobbyDarkling,Do you think he uses that for...y'know?
BrandishedChaos,"How's the game fairing, I'm interested in it just haven't bit the bullet yet."
TheDragonborn117,B I G S U C C
iam_odyssey,The loot vacuum.
Spartan_Cat_126,"When’s the real life version, I needs it."
Cfood3,PR team at it again
Windyandbreezy,"With a hand like that, what's the point of the robot"
Migwelded,"If you can sneak up and hand-suck people, I am so in."
dapostman10,https://tenor.com/blgAg.gif
RageRags,"I know it’s probably a beam or black hole of some sort, but all I’m seeing is a long legged spider vibing"
EmbarrassedAlps3432,gawd damn 🤣
BollyWood401,This game looks finished and unfinished at the same time and I don’t know why. Looks fun though.
tonybombata,Accio loot!
DramaIV,It’s 3am and I’m looking for shredded cheese to eat by the handful:
MrBlizter,What's her @?
greengain21,after being burned by a lot of games i’m trying to ease my expectations with atomic heart but i’m just so excited
HabitualLogic,Fuck these anti-Ukraine devs. They have stood firm with their support of this war. I hope this game is a massive failure.
CeleryAffectionate13,no way this is it tho it looks so bad
Filtiarin,Thank god there’s no “hold square”
spencerpo,I love a “gimme your shit” button
MayorMayhem3830,"Basically, the Zucc must Succ"
_DeLEON,I'm scared
TheHaggisBasher-,hehe funni stalker go S U C C
Patrickills,It’s so chaotic I love it. Truly
sussybatman,Is it out already??
GabagoolsNGhosts,Okay I love this. More hyped. Please don't stink!
GildedGimo,"My favorite system is still sekiro. For anything small you just hold a button and automatically grab everything no matter which direction you are looking or anything. And you can do it from quite far away. Important items you still have to pick up, so you know you're about to get something worth looking at."
Zombitchy,It's hilarious but wildly convenient?
GabagoolsNGhosts,"If we have cookies in the house I'll joke that I walk into the kitchen and go ""Iiiiiiiiiiiiiii want a cookie"" (and during the extended ""Iiiiiiiiiii"" my mouth is open and all the cookies fly into my mouth)"
Gwenom-25,Now do this to my balls
ZaffenFyrtz,Cops sweeping your house after tax fraud:
MyNameIsRabbitMan,Mehehehe yes yes give me all the goodies!!
sqreewy1337,Now this is original
Devbou,God I can’t wait for this game
the_good_bad_dude,"You know what? After the loot grind in a lot of games, I'm down for this."
PresTonLW,I love this succ mechanic
Electrical-Flower233,S U C C
TF_Rise_Of_Rebels,That looks awesome
ZiggyFrancisco,You've got Prototype tentacles in this game?
setver,Accio loot!
kingdom_tarts,"""You're overencumbered and cannot run"""
hamstrbeanie,S U C K
Smitty5717,Pandora sex tail hand lol
Moeasfuck,Is that out?
Frutsie,Someone better mod it so whenever you loot you hear the hand go “succ”
Forgotmaotheraccount,My nose hairs be doing that sometimes lmao
Drexim,Reminds me of Maplestory vac hack.
Konvic21,"Lazy, i like it."
CARLOS_MARMEG,Romanian superpowers
Repulsive_Film5527,This game is out already?
Alterscapes,That's cool
Splurch,Wait that's illegal! You're supposed to stand still looting for 10 seconds while you fight the UI and your inventory and then get shot.
Secondi26,Imagine this in The Last of Us… completely different game
HiHilookatme,Go team
The_Vat,"I don't think this would end well in State of Decay 2

/who's that knocking at the door?"
hahajahawowj,Wtf is with the left hand tho.
noahboi990,music to my eyes
noahboi990,music to my eyes
Blauwie,next game vacuum cleaner simulator
Public_scientist649,Oh lord
ZerglingsAreCute,Looks like an extremely good looting system. Other games should copy it
cabesablanca,Ima be honest... im tired of looting systems in games
scrotumstretcher,reminds me of GalGun 2
Blacktimberlands,The romanian burglar when i blink:
