author,comment
NinjaPussyPounder,"""shit medic"""
rawwrrob,"Me and my friends used to play COD and COD:Zombies nearly every night after school. One of my friends was exactly like this comic. In Zombies, I was good at dodging and knew the routes well so I was usually the one who'd stay alive longest and would revive people when they were downed in a round. Fine, no prob. They can still contribute and we can help get their perks back eventually.

However, so many goddamn times, this one motherfucker would say ""Hold on. I'm gonna go grab Juggernog. I have time. Don't worry."" right as a round was starting and run off alone with the rest of us begging him to wait. 30s later ""Oh shit. I'm down. Come rez me quick!"" At first, me and the rest of the team would try to save him, but most of the time it would end up with a team wipe. He'd also whine constantly about his lost stuff when he died. So eventually, when he'd try that again, I'd just say ""Don't go now. You will go down and I will sit and watch you die even if I can save you. And I'll do the same for any dumb fuck that tries to help him."" Then I let him die every single time he pulled that crap. Took him several weeks to learn, but he finally gave in and allowed us to help him get his perks at a better time.

He did the same thing in multiplayer constantly too.

""Don't go out there. Literally everyone on the map has line of sight on that window. You're gonna get sniped."" 

""I'll be fine.""

*literally 5s later*

*bloodsplat* ""Dammit! I'm dead..."""
YetAnotherSegfault,It’s missing the part where you go in for a risky revive and they just disconnect when you get there.
thejml2000,LeeeeeeeeeeRooooooy!!!!
hikdr,That's when you start shooting your own team to finish the job
Definitely_Dopey,Was this meme made specifically for Apex? Those guns look like the Hemlok and Peacekeeper
Keshire,"When I watch my kids play I like to commentate their healer kills out loud like it's some type of baseball stat. ""That's the 3rd healer you got killed by asking for a rez in a hot zone""."
Soulfliktion_,Ey that's my trusty Hemlok!
OldAssPirate,I think there's a little Leroy Jenkins in all of us.
soggysockmuffins,Apex legends in a nutshell.
nifland,Let his team down by staying behind in the heroic rush.
Nat_Higgins,"Don’t intervene. If you do, they’ll never learn."
,"More accurate is one idiot rushing in. A nice and helpful, but ultimately still stupid, idiot rushes in to save him.

And then you are left just watching wondering what to do."
JamieDrone,"LEEEEEEEROYYYYYYYYYY

#JENKINNNNNNNNNNNNNNNNS"
TheRealLordofLords,Apex in a nutshell
No-Employer8385,Playing War zone with randoms
seanbrockest,"""Viva la dirt league"" (YouTube) has a number of shorts calling these kinds of players out."
zdakat,"""Why didn't you cover me?""  
Because it would've taken longer to get there, would've been more exposed, and there were way too many enemies out there to (be able to) make it safe to do whatever it is you were trying to do."
johndepp22,actually lol’d
bigkahuna1986,*Keeps pinging buy station even though I've only got 800$*
Creepy-Trust4266,"Reason I stopped playing battle royale games as a newbie. My teammates would rush while I would try to play safe and then when they would be down, they would shout at me for not having the skills to kill 3 enemies by myself and revive them."
fyrejakk0001,"Leeroy Jenkins syndrome!
Tbh reminds me of old days in WOW."
Jessaoir,"Just Russian battle tactics, nothing special to see here"
CanadianDragonGuy,"I mean, I'll admit, I do that, but i do it because i cant hit for shit at distance and when you get up close and personal, and I mean within smooching distance most people's brains just short out and they cant track you decently enough to get you, then it's a straight fight"
FoxM8,Hemlock
woooosh_woooosh,“Bro why you busy looting”
sxrrycard,I see that hemlock 😌
Compromisee,Feels like a personal attack
DI0nysOO2,Teammates quitting the match because you didn’t revive them in 0.01 seconds
La5to,Fucking DMZ
Garzino,Why i stopped playing apex lmaoo
Iamdogmanyeet,warzone daily
