author,comment
01Sszecret,"One of my favorite games of all time. Easily sunk thousands of hours into it (with the help of NAM as well). 

[The soundtrack](https://www.youtube.com/watch?v=S6Pg0j_k3_o&list=PL271D01492F1B52BB) still has one of the greatest combinations of licensed and original tracks out there. ElectriCity, Oasis, and Street Sweeper in particular are fantastic."
RTGac,A game that will probably never get a proper sequel. Such a damned shame.
jenn363,Those splines are so reticulated it brings a tear to my eye
therealslystoat,The region mechanic was so cool. I loved making obscene amounts of money by exploiting it and shipping off junk to a garbage city.
fmsg11,Still have the original CDs: 1 for install and the other to play. And the key in the back of the manual to install
Attentive_Senpai,"Twenty years later, I still have unreal amounts of fun with this damn game."
AstronautAppleSauce,"Today is my 36th birthday, didn't know I share the same birthday with one of my favorite games ever. Thanks for sharing!"
Calorie_Killer_G,"SimCity 4 was simply a godswnd when I was in highschool. I used to spend a ton of time just making landscapes and while I played a lot of city builders out there, this one is simply my favorite. The atmosphere, the presentation, the UI, and God, the Music! I wouldute that crappy music from Cities Skylines and play the old SimCity 4 music in the back ground."
N7riseSSJ,I looooved Rush Hour and being able to take control of individual cars and driving as them.
deadlikemysoul,I'd always go bankrupt lol
havaska,Sim City 3000 was my all time favourite. My PC could never run Sim City 4 properly :(
Jetlaggedz8,Such amazing music.
Mondo114,"Game would always start chugging a couple hrs in for me, despite having a great modern computer. I wonder if it would still do that."
A_Filthy_Bandit_Main,"thought the two images were the same image, was wondering where you got these absolute massive buildings lol"
Sea_Perspective6891,Shame EA ruined the Sim franchise.
Single_Bug_5173,"I remember playing Sim City on the SNES for hours on end as child/teenager.   
Good times."
foreverlearner101010,I just barely started playing this again after Christmas. It’s so different as an adult and with the bug fixing mods. It’s actually a really great game to play in 2023 and I prefer it over Skylines.
XxXquicksc0p31337XxX,Fun fact: SC4 can also be used to create neighborhood terrains for The Sims 2!
poopshooter69420,"Man that’s wild, I never played the series beyond sim city 2000. Cities skylines on the other hand…"
dirtynj,"This, Red Alert 2, and Counterstrike were my high school games. So many hours."
asianwaste,Great... now I have that mad sax from Rush Hour playing in my head... and that sax WON'T CALM THE FUCK DOWN!
seansy5000,Check out OP’s post history. If you like sim city and want to see some really well laid out shit they’re awesome.
ananasSauce11,"I wish I could understand how to successfully play this game, but I never did.

I NEVER had a single city which developed skyscrapers like in this pic, and I don't know anyone in real life who managed to.

I also always ran out of money and had no idea how you were supposed to make decent money because even after fine tuning operational costs of public services and raising taxes, you'd still make like 500 profit every month, which was way too little for any meaningful expansion."
TraumaHandshake,I have had at least one Sim City 4 world going at all times since it came out.
Treshcore,"Such a great game. I loved playing it deeply, even though understood a little in the economy. Also, I even created custom maps for The Sims 2 in SimCity 4. It was amazing.

Now I mostly play Cities: Skylines when it comes to a city building strategy, but I will never forget these roots. Happy anniversary, SimCity 4!"
D0g3log,I still play simcity 2000
0utlook,I still play Sim City 2000 on my laptop. Got it through GOG and it runs in a DosBox.
teut509,I loved the set of Sim games where you could make a city in Sim City 2000 and then drive around it or fly a helicopter in the other games. Not been done since.
rastafunion,"As someone who grew up on Sim2000, that title fucked me up."
