author,comment
Quetzalcoatlasaurus,When you're so confused by the enemies move you punch yourself in the face
MartinOdeg8d,"Now that you mention it, it actually does make sense lmao"
,This move hits so hard. Machoke doesn’t stand a chance
Kiri_the_Fox,"I see a lot of comments trying to explain it but I feel like it's:

The Pokemon using Swagger does exactly that, they act like they have this swagger like ""Hey I'm better than you, no way you can hit me"" (especially since swagger is naturally learned by a lot of dark Pokemon, so think of it like an underhanded tactic) and the opposing pokemon gets super pissed off, increasing it's attack power, but also putting it into a blind rage (which is a type of confusion imo).

Source: Scrafty and Krookodile are two of my favorite pokemon and they both learn it naturally, and it seems super thematic for these gangster Pokemon to act with swagger and piss off opposing mons."
HaikuBotStalksMe,"I'm pretty sure that confusion determines how much damage it does by taking your attack into account. 

So by increasing your attack, you take more damage when you hit yourself."
pwalkz,It's called swagger. The Pokemon becomes overconfident and hurts itself out of hubris.
Doobledorf,"Swagger means the pokemon using the move essentially taunts the other pokemon into angry and wreck less attacks. Your pokemon adopts a swagger, the other gets upset and and does dumb shit. 

Never understood why people don't get this. It's a love that can be learned by practically any pokemon because it is just a behavior you could do in a fight."
leijt,Machoke used pound.
KainBatrius,"The first time this move was used on me in a game, I saw the attack boost and became confused myself, then saw the confusion and realized."
Moses_The_Wise,"I always assumed Swaggering pissed them off enough that they got angrier (and thus hit harder), but also made them reckless because they're so POed"
tolacid,"In the Disney movie *John Carter,* an ordinary man is transported to the surface of Mars. Ignoring logistics like how he survives the atmosphere, the planet's lower gravity makes him capable of superhuman feats of strength. The first time he tried to walk, he ended up leaping several dozen feet and landing on his face, thoroughly perplexed.

This is literally what happens with Swagger."
TheRaven200,Makes too much sense. This must be the canon explanation.
LevelStudent,Swagger is one of those pokemon abilities that I'm pretty sure it's only in the game as a ability for the AI to use to make the player feel smarter. The sort of thing that lets you win a battle that you never would if they just used basic attack abilities the whole time.
TheWinterPrince52,"I always saw it as ""They show off so hard that my pokemon flies into an offended rage.""

Or they just swear at my pokemon.  I named a Vespiqueen ""Karen"" recently because she swagger'd my Pikachu until it's attack stat was maxed, then the Pikachu snapped out of confusion and brought it into the red with one hit. XD"
J-Hart,Machoke got some big ol pecs here.
McJumpington,8 year old me casting haste on enemies in ff7
DeviousDeevo,He thinks it's a bad hypno dream so he's punching himself awake
CrescentCleave,"My interpretation of the move is that the caster acts like a jerk, infuriating the target, raising their attacks but since they're annoyed, they don't think straight thus confused"
WigglytuffAlpha,"While this is very funny, technically we know that Pokemon boos their attack and defense when they're pissed (in PLA if you fail to catch a pokemon it can grow enraged and boost all its stats) and I guess Swagger is a move where a Pokemon angers the opponent so much that they become blind with rage and thus confused. In short, Pokemon have anger issues, and worse, it makes their punches hurt many times more."
