author,comment
parolebot,That's because you're playing it out of order. You need to swap Abe and Mario. Makes a huge difference.
HoldingKnight,"Just wait untill you find a series named ""The"", thats when you will get confused."
nick_corob,"That's because you're not using the Samsung Odyssey monitor.

It will all make sense once you get it, trust me bro."
IforgotwhatIwasdoing,That's because you're missing Lost Odyssey. Really ties the series together.
Synner1985,Awww Oddworld - had such a blast with that game.
ResolveGood,"It's confusing but might become clearer if you get familiar with the source material. Stanley Kubrik's film ""2001: A Space Odyssey"" which was based on the epic poem ""The Odyssey"" by Homeros."
antithesis56,Think of it like Final Fantasy games: None of the numbered ones are remotely related story-wise. They're pretty much all different games  with the same title
Feisty-Crow-8204,That’s because you gotta start with The Odyssey by Homer and end with 2001: A Space Odyssey. That will make more sense.
Gymnastboatman,"They even changed the spelling with Oddysee 4, it’s absurd"
Cleverbird,"Abe's Oddysee is the main reason why I could never spell odyssey correctly. Took me many years before I realized it was a pun saying ""Abe's Odd 'y See"""
Infamous-Lab-8136,"Well yeah, if you miss Etrian Odyssey to tie it all together it wouldn't make sense."
nezaros9,What about Twinsen's ODYSSEY?
RoboQwop405,You seem to have lost the Lost Odyssey
Wrex-,"Well, wait till you find out there is a book prequal."
SpaceBiking,You forgot the best episode: Twinsen Odyssey
neoslith,Anyone play One Piece yet? I've been reading the manga but I'm barely into the time skip. Would I still enjoy the game?
Alucard-VS-Artorias,"How long to finish all of Assassin's Creed Odyssey you may wonder...

Well for me Assassin's Creed Odyssey took me a little over 400 hours to finish everything. All achievements, all missions, side missions, challenges, discovered all areas, and everything associated with the DLCs too.

I did like the game and I do like Assassin's Creed in general but damn that took a ton of time. One might say it was a real ODYSSEY 😅"
Pairdice,"You forgot the experimental, brooding but upbeat anime ""trying to find myself"" dungeon crawling years.

Etrian Odyssey."
rembranded,And not to mention the spin-off game 'Enslaved: Odyssey to the West' and the movie adaptation '2001: A Space Odyssey'
Romnonaldao,"What's hard to understand?

Odysseus returns from the Trojan Wars after 20 years at sea

next

The Templars use the tale to thier advantage, taking control of the Mediterranean. The Assassins fight back against them

 next

The battles of the Assassins and Templars inspire a new generation of to take up sailing, and find adventure on the sea, calling themselves Pirates

next

The worlds seas becomes explored, and charted. exploration is abandoned. centuries pass. The remnants of human civilization coalesce into a single floating city called Metro Kingdom

next

Metro City becomes completely consumed by Capitalism and profits. The lower races are enslaved and put to work making snack cakes"
Lvl7King,Oddworld is a severely underrated game.
Leon_The_Greek123,"You spent 10 years trying to get home after winning a devastating war, surviving all kinds of lethal threats and temptations, only to end up back home with hundreds of lovers competing for your wife's hand. You kill them all and regain the trust and loyalty of your wife."
