author,comment
DctrGizmo,At least they didn’t make the controllers an e-waste.
Debobao,Any updates on that dude with like 99999 hours on his RDR2 account?
OuterWildsVentures,"I always felt like it was a sinking ship given Google's history with this type of stuff, so every now and then I would check r/stadia and see how they're handling themselves. It was generally an optimistic bunch. 

On the plus side at least they all essentially gamed for free for however long they used it."
mimbled,Have to give credit where credit is due. They handled the closure of Stadia well.
candy_flora,"I don't have a great pc, so this seemed pretty fun for me - I got to play some cool high end games. But I didn't spend a ton of money on it tbh, and my brother who is a more serious gamer has his own gaming pc so he didn't use Stadia at all, and even jokingly made fun of me for buying games on it. But it was fun!"
Molten_Plastic82,"I bought a Stadia just for the Chromecast. Never used the service itself and then got reimbursed.
Me likes my free Chromecast :)"
Kniles,"Can't wait for the next slightly promising Google idea/app that won't get off the ground because no one will join it, because Google will kill it, because no one will join it, because Google will kill it, because..."
AnInsaneMoose,"Oh no

Anyway"
z4bbi,"In the end I also didn't play anymore because of buying each game on Stadia, while also having it on Steam. But I have to say that Stadia was the best running Cloud Gaming Service for me. Neither Xbox nor Nvidia are working as good as Stadia sadly."
SomehowGonkReturned,"Say what you will about the Stadia, when I was in college that shit was great. I didn’t have to lug around a whole console, I could easy toss it in my bag when I traveled, take it home and play games with my little cousins. 

The switch is fine as a successor to the Nintendo DS, but the graphics still aren’t that good and joycon drift is still a major issue. 

The Stadia was my shit. Rest in peace"
pconwell,"I had to travel a bunch during covid (ironic) and used Stadia for a bit while stranded in various hotels. It was okay. The tech worked fine, but there wasn't much for game selections. If they had a better catalog of titles, I think the service probably would have been successful."
JudasBC,"I'm looking forward to them unlocking the Bluetooth functionality of the controller, hopefully..."
Teska-Tenka,"No one gets Stadia because Google will kill it

Nobody uses Stadia

Google kills it because no one is using it

repeat with another product"
ralfnose,"I really liked using stadia. Downvote me if you want but served me well as a casual gamer who didn't want to invest in a console. I will miss it, it's the most economical way to game."
sarahrahjane,i really liked Stadia. now i need to buy a new system if i want to play the newest games. i can't afford that. (mostly just want to play the new Jedi Survivor – I'm not going to buy a PS5 for one game.) but I'll pay for the game plus no additional cost on Stadia! it was actually a really great solution for not wanting to have to keep buying new consoles....
Boogachoog,Such a shame and so much wasted potential. Video quality and input latency were on another level compared to Xcloud and GFN
SaiyajinPrime,All 12 of the players are very upset about it.
