author,comment
Rickmyross,"My Grandfater, who passed in 2021 at 88 years old, played the shit out of Ocarina Of Time and Majoras Mask. He had a notebook with all the songs written out in it, and maps he made, and notes about everything he needed. Miss him a lot, and this post totally brings back great memories."
zehalper,"My mom's 67, she's always played Mario 1&3 on our NES.

Then she borrowed my GBA to play through basically all the Mario and Mario-like platformers there were. Then onto the DS.

And then the 3ds... and then I had to tell her, there weren't really any more, and she'd played through everything countless times. (couldn't convincer of a switch, it is ""too big"").

So then I managed to get her to play Link Between Worlds. And besides having to help her with a couple of bosses, she got through it. 

5 times so far."
daluxe,That walking thing turns out to be a really good holder for a sword and shield. Looks cool.
Moody_GenX,"They were probably in their mid 30s when it came out. I hope I'm still gaming when I'm their age.


Edit: Since my incorrect guess at their age has made some people angry I am changing my guess to pre teens. Enjoy!

Edit: I get it guys, they were most likely in their 40s. 😂"
WireMouse,"Aw, I love these two! They're at most cons in Ohio and always dress as Link and Zelda. It's hardly an Ohayocon or Matsuricon without them."
TheDevilsAdvokaat,"He found his Zelda, she found her Link.

So sweet."
Pipboy4111,Wth is with all the cosplay haters in this thread? Get a hobby
PapaProto,"***Hey, Listen! Hey, Listen! Hey, Lis- turn the hearing aid up!***"
EnemyOfMyOwnMind,Links going to put his foot in your arse
Ceewcee,"This repost is pretty old too though, isn’t it. I wonder how old those people are now."
Slim_ish,The Legend of Zelda: Die Another Day
LarxII,My Grandmother was actually the one to introduce me to gaming. Playing Super Mario Bros on the NES and legend of Zelda on the Super NES with her where some of my earliest memories. Probably my fondest with her are of us playing Ape Escape on PS1 and Orcaraina of Time on 64.
Kynku,Ngl. Relationship goals
Rocketmonk,"Cool Zelda cosplay, who's the lady dressed as?

/s"
batkevn,"My introduction to gaming was before I could even hold my head up. My grandpa would sit cross-legged and lay me on his lap and play the original Link and Zelda on NES while drawing maps on graph paper. He would later pit us cousins against each other with Link to the Past to see who could complete the game with the fewest deaths. He taught me to be patient with RPGs and EXPLORE because you never know what you might find. Sadly, he passed, but I still play using his methods."
Rossally,Zelderly people
Dason37,"It's dangerous to go alone!  Take this!

(5 minutes later)

Honey, where's my blood pressure medicine?

You gave it to me and said to take it."
TheLastTrueTomato,"""Viagra: It's dangerous to go alone"""
El_Chairman_Dennis,"Honestly, I would love a short animated series showing an elderly Zelda and Link just doing cute old people stuff, then a flash of younger link comes out when a dog startles Zelda with a bark. Then he groans and holds his back, and Zelda makes fun of him"
EvoLveR84,Link emerging victorious from the Water Temple after 25 years of being stuck.
tatanutz,Heroes do exist.
LotusofSin,"My great grandmother ,who is now 90, used to play the shit out of Mario bros when i was a kid and she was a beast.  Been trying to get her back into the saddle again but she just doesn’t want too anymore.  Maybe I’ll just surprise her one day and have it setup."
psychinchicago,"Kudos to these guys. I love it! 

We're 40 now and our elderly parents always say ""when are you going to grow up? "" when they catch us playing video games after the kids are in bed. I hope I'm still playing Zelda until the point where I can't."
Yourname942,"They are what I want to be when I am older. Free to enjoy yourself, and make awesome cosplay"
AnApeWithSuit,"*to enjoy anything you like.

*(if it's legal tho)*"
EffortlessEffluvium,Red and Kitty at the convention
Peasant_Stockholder,Is that Red Forman?
skepticalmonique,r/blessedimages
KTurbo,When you forget to play song of time at the end of day 3
-RockyRaccoon,Seeing older people cosplay at cons isn't a rare sight.
GrandAdmiralJoey,Looks like they really understand “it’s dangerous to go alone”. Look great you too! ❤️
gyph256,Ohayocon?
Adeno,Oh they're still doing this? It's been a few years since I last them do this cosplay.
Bennehftw,The grandparents we all wish we had. Damn well grandkids always asked to go to grandma’s house.
Shenanigamii,"""You can call me 'Old man'""

-Legend of Neil"
,Not even sure if he pimped his walker or if he doesn't need it and just made that up for comedic effect. Love these two.
Budget-Boysenberry,I guess they're linked by fate
D1sc0nn3ct3d,Guessing this is at the Columbus Convention Center - Ohayocon?
cavegoatlove,"It’s dangerous out there, take this can of soup and geritol"
CheetahRoutine3811,Aw they look so happy❤
Failure_man69,What a pair of absolute fucking legends.
risebac,They are enjoying life. Good on them.
Redararis,Zelda is a 36years old videogame franchise
JaymeMalice,So adorable!
ArokLazarus,"When I was a kid one of my earliest memories is my mom bringing me along when she went to visit someone. I don't know if it was a friend or relative but all I remember was the man showing me The Legend of Zelda for the NES and I was blown away. I wasn't able to read but had been playing games like Mario already. Even at that age the game blew my mind and I still remember thinking how cool the gold cartridge was. He even had a Game Genie to go with it! Though at the time I didn't know what that was. 

The craziest thing though was he showed me that you could save your progress and little kid me was dumbfounded. I was unable to fathom how such a thing was possible. 

One of my earliest memories that I forgot about until now."
NobleR3dditor,Zelda: The Epolouge
