author,comment
Gastkram,These two have murdered a lot of people
z_AxioMatiC_z,"I just played all 4 for the first time ever on the remastered collection. The first one felt like an arcade game, kind of a tech demo. The second is great, the third went a little Resident Evil 5 for my taste and the fourth is one of the best games I've ever played."
ILoveRegenHealth,I haven't played Uncharted 1 since forever but I have a feeling that one holds up the least.
nowaifu4you,Played all 4 and man what some great games they just feel like seeing some good fun action movies
TooLateForTacos,"The amount of excitement I had for the PC Uncharted collection, before and after I found out it was just Uncharted 4, gave me fucking whiplash."
captainzigzag,"The Crash Bandicoot scene in Uncharted 4 is so great, One of my all-time favourite moments in gaming."
dem-feet123,dem feet
AmIbiGuy_420,The first game I beat on the ps4. As a kid Indiana Jones was one of my favorite series ever. Loved pulpy adventure stories about explorers and treasure hunters. So playing through Drakes Fortune after growing up with only a wii just fucking blew me away.
BryanMac1,Game is awesome i have everyone
kdk200000,The scene where Elena finds out about Nathan adventure in that room loool
EvenIslandKingdom,Uncharted 2 *chef’s kiss*
Tusturd,Elena’s 🦶 >>>
WonderRev,uncharted series is just 🔥
Trowisk,"I always feel like less people like Uncharted than what the sales numbers actually say. It's a shame because I played through the collection recently and some of the set piece moments are still some of the biggest and most epic moments in gaming. I can't quite put my finger on it but there's something Naughty Dog does in those moments that make me feel like I have more agency and control than when other people do huge set piece moments.

Im probably wrong but I just don't see people talking about the Uncharted series as much as I think they should be."
RunsWithKeyboard,Among Thieves is my favorite
MumblingFlint,"Just had the same experience with the nearly 30 year old game ""Archimedean Dynasty"" (german title: ""Schleichfahrt"")

It was my first PC game back in the days and I always wanted to play it again, but was worried that my memories where tainted by nostalgia.
Well, after nearly 4 hours in a single session I can honestly say they weren't. Yes, it does not look 2023, but story and gameplay are still awesome."
Internet-Mouse1,Man i love Uncharted 4 so much
Winker2009,I actually just replayed all of them to get the platinum trophies. One of the best series of games out there. Im excited for whatever Naughty Dog does Next and hopefully we get another game in the series down the line!
mrfauxbot,Yea these 2 have more blood on their hands than Joel and Ellie lol
ItsEaster,The bullet sponges really ruined this game for me.
Wakizashiuk,"It's very rare a series manages to end so masterfully. When I completed the series, for once, I felt completely at peace with only fond memories."
WineOptics,"*”Well, Well, Well..”*"
Toothpicktoes,"Uncharted 3 is better than Uncharted 1, I’m just saying"
Morrisonbran,It was some good shit
JustLinkStudios,"Those games are insane. Like the last of us I discovered how amazing they were very late. Only got a ps4 pro about 4 years ago to finally play all the exclusives I never had. I’ve always been PC based. Bonus was I got all the triple A games for like £5-£10 each. Finished the last of us and the sequel came out a week later, played GOW and then the sequel teaser dropped. Played Uncharted 1,2,3 then instantly bought 4 for £3. My eyes could not believe the detail, fidelity and overwhelming creativity. Truly are masterpieces of gaming, the last of us especially. I still remember watching the E3 demo of it when I still lived in my friggin parents house!"
chkraise,The best part of the game is the online multiplayer
stairflyer,"My little sis insisted for years that I tried the uncharted games, which she was a huge fan of. I caved in the summer two years ago, and ended playing the whole series with her across the summer. Ended up being a great time full of banter and good games, and great last memories with her"
CrasVox,Truly some of the best games ever.  I wish this series continues.
Teasinghorizon9,I want a ps4 or 5 to play these games again. I miss uncharted.
Siriacus,"Something that always broke the 4th wall of exploration for me when playing the earlier Uncharted games:

You uncover an old map that directs you to a rusted old key which unlocks a run-down pathway into an abandoned castle that hasn't been occupied in centuries.

Until you make it into the courtyard where an entire platoon of henchmen have somehow setup an entire armed defensive position with mounted LMGs, stockpiled ammunition and explosives. 

There was always someone to greet you on the other side."
Bonnle,I only have PC and want to play the previous Uncharted games. How can I access them? PS live? Is this on PC too?
Taxi-Driver,"I just finished part 4 yesterday the graphics are probably some of the best I have ever seen, the voice acting is phenomenal and the game overall feels like it's made with alot of love but it just doesn't feel like much of a game to me. It's just so scripted and so on rails. No mechanic has any depth, the cover shooting feels like a relic from 2013, the traversal is hold the analog stick and look at the vistas. What I really loved was the last boss fight and I wish the game had more of that. I didn't really feel like I was doing much. It's like an interactive movie which I guess was the aim but I just wish it had deeper game mechanics and gave the player some kind of agency. At some point I just got bored and I wanted the game to just be over . I understand why people love these games and I understand why people also don't like these games. Overall im glad I played it but left me yearning for something more."
Jasole37,"I'm glad people actually enjoy them. I however don't. I find them boring, predictable, and generic. I got about 3/4's of the way through the 3rd game, realized I was bored out of my skull and didn't even care how the story ended.

One of the few games I have played that I haven't seen the end credits for."
These-Conference-179,Elena still my forever digital wifu.  Games were so good.
Naelamartinez,Who here have played all the uncharted?
Tegerus,Tried playing the newer tomb raider series thinking it would give similar vibes and the first one was decently good but the 2nd one lost me. I wish they'd make an uncharted game for ps5 maybe with Sam or Nathan's child.
ImportedZombie254,I tried playing them recently and the controls are terrible
Billy_Rage,"What a dumb post.

I played a well loved game, and turns out I really enjoyed the game. Isn’t that so cool fellow gamers?"
TheManInTheShack,How does it compare to The Last of Us?
Username927482,The first one is horrible
SirDavidJames,"Good news! They are remaking this game as well! I think it's another studio that is not naughty dog. 

After playing the Last of Us Part I remake I have to say that it did indeed warrant a remake."
Bpanther696,Most over rated franchise in existence
Bastymuss_25,"Easily entertained eh?, good for you."
JewDizzle1,So true
Wasteak,You can't even find a gif that matches your text.... What a crappy post
Ryakkan,Best Series ever in my opinion
HellsMalice,I would also be overwhelmed if I enjoyed such a mediocre series of generic action movie tropes tbh
Jack-Daniel,Those sweet sweet dopamine hits!
spiltzmilk,I never understood why people play these games…you might as well just watch a movie. I mean all you really do it push a prompted button move a little and watch cut scenes.
Potatoes-Mcgee,No idea what the game is about sorry.
IncestGiraffe,I never understood what people liked about that terrible series.
No_Savings_9057,Right!?
RPKM01,I did the same but for god of war
Schkywalker,Is there a way for me to play every Uncharted game on PC?
AlphaParadoxx,"I really wish I could say the same. I never liked uncharted, or God of War, or horizon zero dawn, or ghost of tsushima... But I did really enjoy Spider-Man, resistance and the infamous series."
Jakes_JunioR,Now I have play the Nathan Drake collection really badly.
