author,comment
TheBoulder_,"This cosplay is *crunk!*

^^^^still ^^^^not ^^^^sure ^^^^what ^^^^that ^^^^means"
Edge_of_The_Blade,"10/10 would attend your tea party... cautiously ofc

Great job!"
JarlBallin420,#BURN ALL THE BABIES!!!!
silver2k5,This is the rare cosplay without hours of photoshop added to it. Great job!
Alfaale,it is a very good cosplay
PM-Your-Little-Tits,"I’m a little teapot, bloody and cut!
Awesome cosplay!"
TakeshiKovacs46,BaDoNkAdOnK!!!!
Au_Uncirculated,Borderlands cosplay are always the best because how simple yet amazing they look.
SassiesSoiledPanties,I didn't know Penny from the Big Bang Theory cosplayed...
tidytibs,You had me at dynamite
tatothepotatofries,"Finally, a good fucking cosplay. A lot of thought put into it. Words are not enough to describe how good this is"
punky100,This is awesome!  Boom booms and a booty like POW! haha :-)
loki1337,"Climb the pipe, to the train. Or you'll go insane. Wut wut. That's a rap song I wrote."
TuoFox,Woman posts selfie to r/gaming but she DOESNT have a “nudes for cash” account!?  We’ve found the chosen one!
the_mellojoe,Gonna eat so many goddamn crumpets. It's gonna be a crumpocalypse!
BeardedWonder211,"Yoooo, I'm like, 99% sure I saw you last year cosplaying TT at Colossalcon. Looks like you've made some additions/changes since then, great cosplay!"
MorienWynter,"I generally don't comment on cosplay threads, but that's just so darn cute!"
EveningFlight7845,So good!
I-Love-Bewbs,"Nailed it!

I hope you, Sir Reginald von Bartlesby and Meatstick have a lovely teaparty."
ChainswordCharlie,Amazing!!
RGBfoxie,Came to the subreddit to see a familiar face at the top! Congrats!
m00ted,I love it!  You did so good!!!!  :D
ParadiseofSoles,Amazing! You're so talented! 😍
_rafikigaming_,you look amazing. Great job!
SunBrosRus,I can feel the texture. Love it!
lacking_daybreak42,"I'll always love to see, Tiny Tina's Assault on Dragon. The game is set within the world of a fantasy-themed tabletop role-playing game."
PabloEdvardo,you could easily play a harfoot from the lotr rings of power
anxiously-ghosting,"Amazing cosplay !! love all the small details, hair and makeup ! You look great, congrats! 😊"
Xbustajointnflex,Pretty awesome actually
GKenelly,Cool! I need to borrow that outfit when you’re done with it lol!
2cynewulf,You deserve some oatmeal raisin... I mean chocolate chip cookies. Nicely done!
KelloPudgerro,"very well done lass, always respecting self-made costumes"
CouchKakapo,"""Who's ready for a mutha-humping TEA PARTY???""

Good work!"
PM-your-lovely-tits,"That's awesome!

The toon shading is really well done!"
eternalbuzz,Another comment thank you for staying true to spirit and not filtering and photoshopping your costume in
yeahthegoys,This is very well done! Unfortunately for you I resent tiny Tina with every part of my soul...
Captainirishy,That's really well done
l3etelgeuse,She's nuttier than squirrel shit!
tourettesfaker1985,Oh god please stop it. I can hear that f\*\*\*\*\* annoying voice in my head.
Staffio,It looks really cute
TruthOf42,"No idea who this is is, but looks great and I'm even happier that it's a cosplay that isn't just about showing off a good looking body"
Robot_With_No_Name,I love that you were able to keep the cell shaded style of the games. It looks really good.
Hot-Wallaby-6402,Never played those games but this is just downright adorable
Cooopthetrooper,"You look like a cross between Miley Cyrus and Katy Perry.
Great cosplay!"
