author,comment
NaturalNines,"Just curious, but does your painting style shift from the details to the environment? Do you go Bob Ross for the scenery, but then paint the specifics of the towers and whatnot over that?"
ArtbyAEB,"Here's my three Elden Ring paintings.
Made with acrylic paint.
Hope you like em :)"
MikeMuench,Painting *and* saving Ukraine? What can’t you do
nodakgirl93,Holy fuck. These are amazing.
SpHoneybadger,You look like Russel Crowe
C47man,Nice work! But why is her head so tiny?
pingusfaust,LetMePaintHer
Omega_Hertz,So you're the guy living in the Artists Shack all over the lands between!
andybandy88,"Steve Berra, is that you?"
,[deleted]
Fearless_Break3480,Beautiful
DidYouSetltToWumbo,"Truly stunning pieces! I hope that you make more and post them, would love to see more of these!!"
fakiresky,"I love the work on colors, and the fog looks amazing!"
HarryPlopperOMG,Prattling pate: *they're beautiful*
GhettoChemist,Is that coach? Fuck'n *EMBARRASSING*! How good those are!
KGB_Panda,"Often I when I see fantasy artwork, it sparks my imagination and I daydream about the world and what's in it. I wish to myself that it could be brought to life, and I could explore it and go on an adventure. 

It is so, so, so incredible that I can do that this time.  

You're a very talented artist, thank you for sharing."
endofdays1987,"My dude you could make so much money if you sold that Melania (shit, the other ones too).

I kinda want one tbh."
djfigs25,Nice. What do I get when I visit the location?
NefariousnessAway358,Those are so rad
Lipple_Nick,These are really good :0
STRELOK_X,Why are you so F* talented! Wow! Amazing!
liuerluo,"Holy, your paintings are incredible! The malenia one i thought was just straight out from the game!"
SleesWaifus,Something ai art can’t take from you….. shit
TheFluffy-Monster,Great job mate!
StefanPlaysPOE,"From a fellow gaming and arts enjoyer - these are amazing, sir!"
Chris_W7,"Wow, you are a talented painter! Do you also paint scenes from other games?

What other games have you painted? What's your favorite genre?"
Teagar_,"this is so cool. your grasp on acrylics is astounding, keep up the great work!"
EldenLurker,Is it Possible to Learn this Power?
ShambolicPaul,If you had boobs you'd be at 10k by now. Those are some badass doodles.
romaraahallow,"Bruh why are you in the shot with the painting, are you just fishing for likes?

Lol JK these look great. Legit work to be proud of."
Alfaale,You have created a work of art and it deserves to be in a museum
Koops8,Greatest game of all time. Awesome job! Very impressive
dontbussyopeninside,"Surprise, surprise. No one's  bitching and whining that an artist is photographed beside their work. I wonder why."
LurkinLunk,"These are absolutely incredible! Just beautiful, thank you for sharing! 😊"
zen_elan,Wonderful
Romberstonkins,Dude these are really good. I can tell you're very talented and enjoyed these as much as the game.
BADGERxxxFACE,Sweet! Nice job man!
RatchetNRG,Yo those are fire! Your a really good artist.
Duskfang762,Lovely
Whiskeyybreath,These are absolutely stunning!
iamwussupwussup,Sell prints
midncoffey,Where can I put in my billing info?
Inflorida17,Mad skills.
RoachboyRNGesus,Dope
nerogenesis,Would it be possible for me to buy a print of all but the Melenia one? That one is kinda hard to explain.
chilledsalad,I’d buy them
thanathos66,So you were the artist that build those shacks. Great job dude
BrownChicow,These are awesome dude. I probably died to Malenia once for every brush stroke in that pic
kyxaa,"Those are sick!!


This is totally unrelated, but as an artist, how do you feel about AI art generators?"
dragonti,"Absolutely stunning. Just be careful, you don't want your paintings to be confused for AI art"
roedtogsvart,Nice job on Liurnia!
Homeless_Alex,Exceptional work!
ChaengChong2349,"Just want to tell you, we are proud of you bro"
Grogu918,I’m always so impressed when people can paint and draw. It’s a cool talent to have. Nice job!
thexfisherman,"woooooooow. really, really gorgeous, man. you are a very talented individual. envious of your skill"
Holiday-Pen6950,STUNNING what a great work
,I thought the Ukrainian president was painting all the sudden
curtiscflush13,"Very nice man, those look great"
ScallionNo8580,These are great but you’d have to be a sick fuck to ever wanna look at Malenia again
Nemesis034,Never stop painting my dude
rmprice222,I do like them very much
heyheyheyime,Wow these are so awesome
ZacharyCrunch,"This looks too good to be a painting, great job!"
motleyfamily,"They look amazing, good job. 

Have you ever thought of doing a closer up of Raya Lucaria? You got the atmosphere of the swamp down pretty well, I’m sure it’d look great."
cgmacleo,Who is that on the bottom right?
temetnoscesax,Awesome artwork!!
1AVELINO9,Wow
MuayThaiYogi,Those are pretty sick. Good job!
MaruMaru20,OMG This is soo amazing!!!
TenWholeBees,"You looking for a husband? 

I bring nothing to the table, but I'll love you unconditionally"
StankieMuniz,Ballin out of control.
danielle-in-rags,So much time spent making these only for you to post such a low quality picture that eradicates any meaningful detail.
Gnarfledarf,"If you want to showcase your art, it'd be helpful if you actually focused on the art."
MaTth1as_za,Amazzzing stuff! Drop your insta handle for us 😁
Oddmakesart,Fuck yeah brother.
milk4all,"I know ill never get it but i would skeet so hard for an elden rings prequel. How dope to play the original Greater Will pawn tasked with fighting back the Crucible and demi humans or something. Because of the way the world is, the world map could be completely different or the same or anywhere in between (!). Or some tarnished with Godfrey to battle the Giants. Or the Rotclean Knight who inevitably drags Malenia to the Haligtree - that could be some sort of take on the grace system with “using” her for basic rpg functions like leveling/saving/resting while moving the story place to place abd doing dark souls things."
Greaseyhamburger,"Damn dude, those are some really nice paintings. Keep at it."
the_lastone_left,Gerald Butter
TheRealKrev,I love how you travelled on location and painted them all in rickety shacks
sinx36,I thought the point of the limgrave view was too showcase the divine towers
Albalbero09,Bro what are those?? They're fantastic!!
OkOrganization5518,HOW DO I BUY ?
princessxo699,amazing work 💗
gnober,Looks great!!! Keep it up
Avon_The_Trash_King,What do I get for finding the painters?
AAAAAAYYYYYYOOOOOO,Gerarld butler is into painting elden ring who would’ve guess that
dadudemon,I upvoted this only because you are behind the paintings.
LPT05,Those look great!
The_Shadow-King,Now you have to find the corresponding places to get the rare loot!
toosloww,Amazing
Quinaldine,"Thou'rt of passing skill, artist blood must truly run in thy veins, Tarnished"
LastHegemony,Nice work man!
garbonzobean,I didn’t know Gerard Butler paints! Niiice!
Jumpy_Yak1175,Nice
KnightOfGloaming,You have some high resolution pictures of the paintings? They look great.
heyFreaKz,Do you're the guy who spread them throughout the map
Eraganos,What was the name of the woman buttom right again??
Impressive-Budget-60,Why did I honestly think he painted in Elden ring because of the caption
ReadyCK,Could this be dog?
UnknownPurpose,Awesome!
Jniuzz,You look like the lovechild of russel crowe and zelensky
n0tn0rmal,Absolutely amazing :-) put them up for sale I'd buy one
http-e46,Ur painting it's amazing I love it
stadiofriuli,I’d love to get the left one.
TaeJoonParki,damn wish my paintings were 1/10 as good as these. nice work!
xhards,This is so cool! X
solise69,Ah yes the goddess of rot
PunkHooligan, Guess what op is doing for living. Beautiful.
External-Fig9754,"I'm happy that I'm not the only one who thought.....""painting in a war? sure"""
LightKnightTian,What a legend. Those look incredible! Keep up the great work!
Brynn_R01,These are amazing! Great work
BlackNinjaDw,W Artist
These_Damage_8583,"So cool, congratulation."
buttonions89,Gerard Butler thinks he’s slick
ultimate_obtainable,"These are all insanely good bro. I can't pick a favorite, they all look so good"
Optimistic-Dreamer,I’ll take your entire stock
InJesterr,just play the game what are you painting for 🤷🏻‍♂️🤦🏻‍♂️
