author,comment
BoobieDobey01,"Her outfit is vacuum sealed to her cheeks, you can see her back dimples, while he looks like he's wearing a diaper."
PM-ME-RED-HAIR,"The dude is wearing a diaper, and she's apparently commando"
CitrusRain,The two sexes: wedgie and not wedgie
Dylanwilliam92,Justice for men’s big juicy rumps
TheCoopX,That looks uncomfortably wedged up there.. and vacusealed too.
Friggin_Grease,Is that Hank Hill?
Majikaru,It's not really the size but how the outfit rides into the ass of one and not the other. The man butt wedge need some love.
aztec91x,I'm a man with a juicy booty and I demand representation
Hoeveboter,"The witcher is even more egregious. All men look like warty, toothless toads or lord farquaad. Meanwhile, 90% of women look like supermodels."
bruh-sfx-69,Plot twist: in the world of cyberpunk all men have evolved to have one ass check.
Just-A-Storyteller,"Aww come on, Where’s the man cake?"
bingcognito,Utilitarian vs. Callipygian
JadedJigglypuff2,Such a shame. I see men walk around with some dump truck asses and I can never live the fantasy in game. Sad.
A_Bird_survived,Give 👏 him 👏 ass
gatesentry,We like big butts and we can not lie
MightGuy420x,My guy needs to stop skipping leg day
goliathfasa,"This is outrageous! It’s unfair!

Give us proper male butts with bump-mapping."
Olestagra,"All males have a small butt or i just am thick-butted ?
Edit: but>butt"
carlofsweden,"carl is a straight man but still think that lazy diaperbutt the man is rocking could use some love.

dude should be rocking a proper a-tier rearcannon if he's as ripped as he supposedly is.

the wedgie on the woman could be toned down a bit because that looks a bit absurd but to be fair it still looks better than mr diaper."
Uniquesomething,Assn't
craybest,"Game Devs have got to stop being afraid of doing actual muscular detailed man butts.
You have these strong guys with chiseled abs and biceps, and the sorry flat arse of an office guy that has never worked out in his life.
Stahp. Free the male butt from oppression!"
kirlandwater,"#GIVE HIM A BIGGER MORE DEFINED ASS, THE PEOPLE DEMAND IT"
hullowurld91,"Such a shame, becuase some dudes be packing dumpers."
GearheadGaming,Look how they massacred my boy...
DevoutWorshipper,"I want gender equality in fanservice, so give that man some cake. I want everyone to see something nice while they play, it's only fair."
sztejk21,give my boy some cakes #justiceformalev
chrisrobweeks,You can choose penis size but not butt size?? Unplayable.
bttrflyr,Need more man cake
i_x_Valkyrie_x_i,Extremely disappointing as someone who enjoys both men’s and women’s butts.
Emergency-Vast-8032,Best mans butt in a game fallout 4 hands down
Dark-Ganon,Female versus male butts in ~~Cyberpunk 2077~~ video games.
