author,comment
immacomputah,"we can make them bigger, We Have The Technology!"
WasChristRipped,"Okay, so someone looked at the original model and said “okay but you know what this REALLY needs?”"
Winjin,"Ok so hear me out. I've got a new FF plot. There's this Final Fantasy character, but she's got a huge pair of boobs. I mean some serious honkers, a real set of badonkers."
leeswervino,Alert the ~~French~~ Italian Embassy!
asian_identifier,[and then there's the statue](https://www.thegamer.com/final-fantasy-tifa-statue-eastudio-favorgk/)
Philly_ExecChef,Limit break on that bra strap
SlapmyFace,[Where are the box hands then](https://i.ytimg.com/vi/Q6huxtRFCYM/maxresdefault.jpg)
imsurethisoneistaken,"My gf played this when it first came out and when Tifa first came on screen she actually said “wow she got big titties” 

Guess they didn’t nerf em enough"
BarrytheNPC,what im pissed about is cloud. he had a cool-ass purple outfit and now it's just black
psychlohunter,"That look on Cloud's face, though.

""Don't look!  Don't look!  Don't look!  ...  Crap, I looked!""

He's going to have to put that crossdressing experience to use and tuck it.  Gonna be a long journey, though."
Xyrus2000,"Tifa ""Ow my f\*cking back"" Lockhart."
MrDerpYT,Least horny gamer
Mumei451,Tig ole biddies.
umGui01,"Wish they kept them square shaped like the original too, I still mourne the death of Lara Croft traffic cone tities to this day."
ThinkFree,I'll just leave this here: https://imgur.com/a/aQmwqCH (Tifa NSFW)
zbdabsolut0,"Honestly, if they had come out with a comparison picture like this when it first came out showing how ridiculous they are. I think people wouldn't have made such a big deal."
Krumblump,[Watch out for those pointy bits!](https://www.youtube.com/watch?v=pDqea9cWOn4)
ResponsibilityDue448,13 year old me had a crush on Tifa.   So does 35 year old me.
metarinka,"Y'all are dirty animals

[here's the mod](https://www.nexusmods.com/finalfantasy7remake/mods/669)"
CarlitoNSP1,"The proportions look closer to the FMV models.

In retrospect, FF7 had a strange amount of Art Style switches. 

Overworld/Walking around  - Chibi exaggerations

Battles - Comparably realistic

FMV - A weird middle ground between the two (Except Aeris who was surprisingly consistent)"
GentlmanSkeleton,There is eventually a point you hit diminishing returns on the hotness.
DeadPoster,Tifa don't care much for brassieres.
bladnoch16,Tifa looking like a Canadian shop teacher…
tennoskoom_,"Whenever u enter battle, she automatically casts gravity twice."
Deadpool1205,Wait this isn't r/gamingcirclejerk?
MetroidJunkie,"We can go deeper. -Nude Tifa-

Even deeper. -Skeleton Tifa-

Even DEEPER. -Literally no model loaded at all-

Perfection."
fullacheeze,"Hitomi, is that you? 🧐"
TrinityF,>Look how they butchered my Italian prime minister.
Armitaco,Yeah a lot of the exaggerated proportions of the manga style would not have translated well to remake’s more realistic style
Evelyne-The-Egg,My back hurts looking at this
Farm_N3rd502,Y'all better be washing those hands before you hit the up vote. Or at least use hand sanitizer.
dorian283,She looks like she was designed by a 12 year old who just discovered boobs make his tummy feel all funny.
BeginningGas3569,Them tits
Pimej,Why is this sub so h o r n y lmao
Clouduot,These are dumb hills to die on
jambudz,Titty Lockhart
Color_blinded,Now make size of Clouds hair match the original.
supershimadabro,That looks ridiculous
genocidenite,Tifa not wearing her sports bra.
Sufficient-Yoghurt46,And yet Square didn't make this shit - you did.
kingofgods218,An injustice for all big breasted women and lovers everywhere.
Webonics,What? You guys don't like tits? Give me a break. They're awesome.
JStheKiD,Why does she have Triple F size breasts?  This doesn’t look right at all. LoL
PrezMoocow,"Really glad they went with a ""sporty girl"" aesthetic for her. This would have been way too distracting and a lil too grossly objectifying. 

Fingers crossed that the infamous ""slap fight"" gets turned into an actual fight and not... whatever the hell it was supposed to be"
remnant_phoenix,The re-design was a definite improvement.
In_trooo,Tiddo Biggies
ScaricoOleoso,Ship it
PotatoTomato52,GAHT DAYUM
My-Len,"this is not correct tho. her white top was up to her collars and no cleavage, and the bottom of the shirt is longer tpp and she had a bra on contrary to this fan edit. 
Dissidia (012 and NT) had one that is close enough
I'm not going to takle the pumping job

(others would be change of face ((position of eyebrows and eye form but that is more style)) or her hair and color of it etc.  but the forcus was clearly on two things... as always *sigh*)"
AlfaBabo,the fmv when ultima weapon wiggles the airship and tifa falls in slowmo... good days
