author,comment
ghostedemail,Jesus it seems like yesterday. Where the fuck did the time go
a_reply_to_a_post,taking dog tags was the shit
JP_GamingOnline,"That moment blew my mind, literally felt like I was there the first time I played that scene"
Crunchbite10,Battlefield 3 was peak gaming. Multiplayer amazing. Set pieces in campaign were dope. Miss it.
Warrior253,"I was a teen when this game came out and no FPS game has ever topped this one. The story and the online were almost perfect for me. 

I remember playing multi-player matches on private servers that had modified max points so a match could last like 2 hours. Man I miss what gaming used to be."
SharkBait209,"My god, yes MW2 was insanely fun, and a peak shooter for most

But BF3 was a different beast, holy shit it was insanely fun. Everything was so balanced! Jets, tanks, n other vehicles wrecked havoc, but you can easily get rid of them.

C4 onto an ATV drive it towards a tank or group of enemies and jump off right before and boom!!! :)

Sniping someone out of a jet or heli was SOOO satisfying!

Speaking of sniping, it was the best!! Hitting that long range shot or winning a sniper battle with someone on the boat in the middle of nowhere or on a high ass tower was so satisfying!

Man the nostalgia. M249, PKP, M27 IAR, A-91, and M98B we're my top 5.  Support FTW"
Sandee1997,battlefield 3 was my first battlefield game.  never had that high with another title in the series since
teejmonster,Played this mission real close to the TV with headphones on. I got goosebumps during takeoff.
UnholyGhoul,"""Going Hunting"" mission of BattleField 3"
Intelligent_Bed_526,"""Dum dum dum dum dum dum""

Am I the only one who heard the music from the picture?"
thethunder92,"When I was a kid I had starfox  on n64, the graphics were pretty rad on that too"
Downtown-Discount671,"Battlefield 3 will probs go down as my all time favourite fps game, the campaign & multiplayer was so much fun, hopefully one day well get another one just as good!"
Wild-Simple1908,But 2010 kids will never know the glory of unmodded BF: 1942 Wake Island.
PM_ME_YOUR_STEAM_ID,[DCS players be like:](https://www.youtube.com/watch?v=mjb6llcWJTc)
TheBigCR,"Remember the auto shotty with the explosive rounds that could just spam kill everyone indoors by shooting at the ceiling and floor? I *insist* im the one who came up with that. Yes, Im the one who ruined this game for 2 months. Youre welcome."
LRonKoresh,"""Get your fangs out Hawkins, We're hunting big game"""
brownjenkins69,BF used to be so special and so amazing. What a shame it turned into another pile of casual garbage.
moistentheweasel,"Recommend at least mentioning the game name in comments, if not the title."
A319Pilot,BF3 was peak battlefield. No idea why EA & Dice couldn’t look at it and say how do we do this now.
AmazingOsama,Feeling bad for playing it 1st time now started a week ago. Played this mission 2 days ago
Aggrokid,Amazing visuals for the time but man the singleplayer campaign was an overly-scripted Simon Says.
VaccinatedVariant,"This mission started well, till you réalisé you fired 20 missiles on a plane that Carries 6 or 8 maybe"
CptWoop,Such a shame BF went from this to what it is now
SudoSuRoot,"It’s 2011 though , Battlefield 3 on PC does hold up and still looks great on modern hardware."
Freethinkwrongspeech,Back when battlefield was actually good.
FizzyTacoShop,Tbh the bigger “wow” moment for me is when I realized that I will NOT be controlling the actual jet and just the targeting and other bullshit like come on man lmao.
37Cross,"BF3 really is the best BF game. Bad Company 2 was good but waaay too torture heavy if you’re on the losing side lol Well, BF3 had that too kinda for some maps but it wasn’t as bad as BC2. I miss those games regardless. Operation Metro was the best. BF4 had that prison map that was good but nothing beats the chaos that was Operation Metro"
plumppshady,These graphics are still better than most games today
MrFoozOG,And its all downhill from there
randomredditguyw,"I burnt my graphics card with this game and my screen became pink, but still, to this day, best battlefield for me"
lessdothisshit,"Clueless WSO taking a catshot with the software config page on the HUD repeater, the left display on the top level support page, the MPCD on some rabbithole BIT page of the GPS, and the right display off.

It's wild to me that these displays are so accurate, but their use here is wildly inaccurate."
alcatrazcgp,Operation: Asshat
