author,comment
FarCritical,Can't believe I'm feeling genuinely sad over some tiles arranged in a level editor
Ozzie_the_tiger_cat,Oh damn.  That took me a second but now I feel bad for the little guy.
TargaryenKnight,It’s a thought bubble if u came to the comments looking for the answer to life
Writer_B,Seriously…damn…
emperorsteele,"Aaaand it's ruined because the two clouds on the upper right have glasses whose prescription is WAY too strong XD

Edit: thanks u/Fedantry_Petish!"
uropsalis,Well now I'm sad for that koopa. Mario totally took his flower lunch.
Odog8202,"For a second I was like ""is this loss?"""
ThreeCursedWishes,Daaamn. Brilliant use of the clouds as thought balloons
Dapper-Parsnip8592,Not ashamed to admit I don't get it.
Martholomeow,how can something so sad also be so cute?
hogey989,This is the 4ymm level right?
zugtug,Did anyone else purchase this game and realize it wasn't for them but enjoys watching streamers like Ryukahr play it?
acebaltazar,Mario should pay for his crimes.
kp012202,"So this post actually made me cry.

Not because of the post itself, but because I’m right off the heels of being hurt by someone I love and every bit of this day seems to remind me of it more and more."
,Can I get an ELI5 please.
blitz43p,I don’t get it
xTye,One of the cool features of the Switch is it literally has a screenshot button.
yaosio,This reminded me of all the deaths of despair and now I'm sad.
Fostrof08,The clouds at the top right
Thatoneasian9600,It's okay. Lil homie probably went to get some milk and the line very long.
Basil_Boulgaroktonos,Am i the only one who notices the big eyed clouds
SpooN04,"Oh man. I didn't get it at first but once it hit, it hit like a truck full of depression."
ZookeepergameDue8501,Lol took me a sec
Yaotzin1000,Maidenless koopa
social_sin,I love the top two right clouds. The 0000 score is making them look like they just chomped down on a sweet sweet mushroom
Webcat86,Ok what am I looking at?
-stariikitten-,I don't understand
WierdWatt,Those two clouds in the top right look like they’ve seen some things.
Zeyon,I remember seeing this around 10-ish years ago
Complete_Entry,"Is Mario meant to imply that the koopa troopa is doomed to die alone, and soon? If so, this is even more amazing.

He's just right there, waiting, slightly offscreen.

Not sure why I'm being downvoted."
RealRutz,Man fuck this today :(
Enemyofusall,I want to see his revenge arc.
2kids2adults,Omg. I thought it was supposed to be a fire flower at first glance. And then when I looked more closely was link “awwww dam”.
Chaosicx,It's a terrible day for rain
ssrow,[Probably died from a Mario related attack...](https://youtu.be/hhlo2KI3qFM)
andwhatarmy,I’m having trouble ignoring the googly-eyes clouds at the top right.
Saiyukimot,Whut
NatureValleyIsDry,I miss Mario. I have a switch that I haven’t used for years. Kinda miss the nostalgia of it all. OW gets boring at times
UnholyOsiris,Is this loss?
urzu06,Dementia
NinjaNoafa,"On the DS with MM1 and switch with MM2, there are some DEEP story levels. Very creative, and I have probably 400+ hours on both games combined"
ValuableBear,That's very nice
The_Alkemizt,he’s just like me fr fr
NHLroyrocks,"My name is OTTO.
O. T. T. O."
Chronocreeping,"There was a old guy at McDonald's who I'd see every now when I went on lunch and would eat with a picture with his wife. It was sweet but sad.

Cashier told me they both used to come and eat together once a week. I eventually quit my job at the grocery store nearby when covid hit. I can't help but wonder if he still goes there every week with her picture."
mamefan,True except no flowers on the bottom.
jizzPoopMilkshake,Did the red one pass? </3
Saynt614,Oh man... that's kinda sad
