author,comment
porngamesgeek,Age of Empires 2
Little_Jimmy_1speed,Tony Hawk Pro skater 2
ZenMonkey47,Baldur's Gate 2
RobotBrunch,Aladdin 2: Return of Jafar has me laughing so fucking hard.
Xoiiverx,Left4Dead 2
mrroboto_domoarigato,Street Fighter 2
nc_ce,Need for Speed: Underground 2
,[deleted]
Anvil-4,Titanfall 2
kaboomrico,"Diablo 2

Borderlands 2

Titanfall 2

Left 4 dead 2

Resident evil 2

Baldur's gate 2

God of war 2

Psychonauts 2

Xcom 2

Super smash bros melee

Crash bandicoot 2

Garden warfare 2

Tekken 2

Metal gear solid 2

Postal 2

Serious sam the second encounter

Goat simulator 3

Prototype 2

Silent hill 2

Sonic 2

Mortal kombat 2

Halo 2

Injustice 2

Payday 2

Lego batman 2

Dying light 2

Kingdom hearts 2

Spelunky 2

Dead space 2

Destroy all humans 2"
IneffectiveBlue,Divinity was so good
ManOnDaSilvrMT,Assassin's Creed 2!
ML_Buckeye,KOTOR 2
Theothercan,Time Crisis 2
Marccino,Borderlands 2
Zxruv,Silent Hill 2
wadnip,Red Dead Redemption II
Magnetic_Mind,Mass Effect 2
Ok_Scratch_9548,HALO 2 💪
MCD_Agent,Chess 2
OneRandomVictory,Infamous 2
Creeperlatch23,Team fortress 2
slipp72,"Where is kingdom hearts 2? Is it safe, is it alright?"
Dpk_Simo,Mario galaxy 2
Mutex70,"Diablo 2

Dune 2 (1992)"
trevordunt39,Mortal Kombat II
TunnelingVisions,Knights of the Old Republic 2
HotPotatoWithCheese,"Gears of War 2

Borderlands 2

The Elder Scrolls II: Daggerfall

Fallout 2

Resident Evil 2

Red Dead Redemption 2

Mass Effect 2

Halo 2

Assassin's Creed II

Diablo II

Left 4 Dead 2

Dead Space 2

Darksiders 2

Jedi Knight II: Jedi Outcast

Star Wars Battlefront II and 2

Battlefield 2

Call of Duty 2

Timesplitters 2

Just Cause 2

Just a few more sequels off the top of my head that were arguably superior to the original."
Proof-Dog2359,Where tf is uncharted 2?? blew the first game out of the water
SGforce,"Going to show my age.

Battlefield 2

Unreal tournament 2004

Quake 2

Call of duty 2

Mechwarrior 2

Twisted metal 2

Carmageddon 2

Sega rally 2"
countjj,Entropy zero: 2
Qwerty_lolz,Dishonored 2
Extreme-Worry6684,Jak II
SpoDeeOdie,Tekken 2
screechingahhhhhh,Team fortress 2
Dickpuncher_Dan,Postal 2.
Pretend-Click5395,Dead Space 2
ItsSpacePants,Devil May Cr.. 😣😣
xorox11,Dota 2
moviesNgames,"Witcher 2. Much better than Witcher 1
Followed by Witcher 3 much better than 1 and 2"
xxPandemoniumx,Halo 2
TheHonoredOne_,"Kingdom Hearts 2
Xenoverse 2"
JakeTheHooman98,As a Dark Souls die hard fan I feel both happy and baffled at the same time lmao
PhotonArsenal,Where's MW2 (the original)?
murderouscow101,"I'm sorry, but Return of Jafar does not belong on this list. Bad game devs!"
T-408,"Those aren’t even the best video game sequels!

Resident Evil 2

Silent Hill 2

Mortal Kombat II

Star Wars Battlefront II

Left 4 Dead 2

Borderlands 2

Turok 2: Seeds of Evil

Pokémon: Silver & Gold"
TheMarvelousJoe,Resident Evil 2
Ok-Ambition-9432,"Based as fuck

Remember guys, the game is not saying these are the only good sequels"
DueBeyond7613,Team fortress 2
gromesh6644,"A lot of people don’t like ds2 but actually really like it. 

Majula has the best music of the 3"
VitoAntonioScaletta,mafia 2
SuperKamiSmoke,Forgot borderlands 2. The best borderlands imo. Better than 3.
wiklunds,World war 2?
icyFISHERMAN2,Black ops 2
vlaflipp1,Warcraft II and C&C red alert should be on the top of this list.
AAAAAAYYYYYYOOOOOO,Jak 2
fullmoonwulf,Postal 2
kaboomrico,Batman arkham asylum 2?
fingermyassdaddypls,Postal 2
,"Back to the Future 2

Godfather 2

Aliens"
realmrmaxwell,God of war Ragnarok
OotekImora,Destiny 2
Canter1Ter_,"""Dark souls 2"" hbomberguy is a gamedev?!"
Lampshade_510,Love the Stanley Parable
Tupakaveli,"Gears of war 2, Halo 2, dead space 2"
erm1zo,Some sequels are good.
Blink712178,Titanfall 2
butts_butts-butts,Red dead redemption 2 is up there
snakeslitheri14,Payday 2
nerdsubculture,"Battlefield 2

Alien vs Predator 2 (PC)

Star Wars Battlefront 2 (the first one)

Black & white 2"
Due-Visual-3236,Twisted metal 2
MessageAggressive482,"Dark Souls 2 is a great game, not the best in the series but I really think it holds its own. PvP on iron bridge is so memorable."
AndForeverNow,Dark Souls 2 will always have a special place in my heart.
Xer0cool,Diablo 2
zetcetera,Devil May Cry 2
THICCPOGGS,Red Dead 2. Dead Space 2.
Tolik_708,Bioshock 2?
cbtboss,Last of Us Part 2
No-Crew-6528,Diablo II
JubbaTheHott,"Dead Space 2
Destiny 2
Borderlands 2
Unraveled 2
Resident Evil 4"
Detector_of_humans,"Okay so people either arent familiar with **THE STANLEY PARABLE** or they simply don't realize the joke.

The board starts with the actually good sequels, then mediocre ones; they make you question it's need to exist. It's a seemingly normal list at this point. 

We are then presented to one that isn't even a game, completely breaking the boundaries of just a game, not only being one that has been lost but doesn't qualify.

Then the kicker, even below the previous one is a Dark souls 2, which was recieved so badly and was such a dissapointment to the fans that most would rather forget that it ever existed."
KitFisto248,"Left 4 dead 2, army of 2: 40th day, cod bo2: zombies, cod advance warfare: extinction, dying light 2 and infamous 2 all were great especially co op. Also I consider LoTR: return of the king and sequel because LoTR: TT was really the first co op of the series and RoTK was the best co op game damn near ever

Edit: also assassins creed 2, ezios story was amazing"
