author,comment
Pheonix-Mage,"whatever you do, never connect it to the internet, it'll get a case of the ""new genesis wave"""
Cleave-The-Cross,"Takes me back to the first Gears of War. Nothing like chainsawing some locust in half

Edit: You beautiful nostalgic people just made my morning, and my month. I just wanna say ""DOM!!! GET ON THAT TROIKA!!!"""
Armandonerd,I miss this
mypantsrblue,This is hackable if you don’t update it and likely worth money on eBay because of it. Google what dashboard you have and see if it’s exploitable and if so: $$
existonfilenerf,"Makes me want to play Geometry Wars, damn."
neoyoc,That's rad and all but how bout that 250 lb tv. What a beauty!
Kozzinator,Jebus Christ you've found a portal to another time. What games were on it?
KingCarbon1807,"Echoes of a better world, long past."
WittyUnwittingly,"It may be possible to JTAG this with only software, in order to play homebrew.

You can RGH any 360, but some of the old phats that don't have some specific fuses blown on the board (It's been quite a while, I may not be recounting all the details perfectly accurately) are vulnerable to a software exploit that will allow you to run unsigned code.

EDIT: Not software only."
TastefulTexas,Also on a side note peep my 1080i sony trinitron 😍😍😍
JimEDimone,That was the superior dashboard. Don't know what genius decided to update it.
Relevant-Distance886,The blades were hands down the best dashboard
MakashiBlade,Core memory unlocked. Awesome find!
2muchparty,"Ah yeah reminds me of the wifi adaptor and using my debit card to finally buy a year of Xbox live to jump on ghost recon…

I miss the green rotating gui on the first first xbox"
redconvict,"I bought mine at the tail end of this dasboards existance. Not long after I played with it they just got rid of it. Its also the console I always had some kind of problems with. Discs would get torn up, the RROD would appear for various reasons. Not one 360 managed to work as long as any other consoles, even my first ever PS1 has managed to outlive them all no problem. I had so much fun playing Oblivion, Dead Rising, Red Dead, Halo 3 and many others. The controller is still my number 1 go to controller. But man, these things were not built to last."
blackjesus75,"Gears of war co-op?
Halo 3 co-op? 

Some of the best nights of gaming."
Particle_Thrower,This was and will always be my favorite 360 dashboard. I was so bummed out when they changed it.
PaleRiderHD,God I miss that dash.  So organized.  So easy to use.  So free of ads for everygoddamnthing.
BillzB89,The nostalgia.
Shiny_Hiney_Star,That's great! If I had one I'd literally never update it
Sagely_Dude,"I loved this UI, brings a tear to the eye."
fallstand,This was still their best UI. Their interface now is horrendous
klousGT,I have an Original Xbox with the green interface. But it won't read disk anymore.
Sintinall,The superior dashboard.
dabman694201337,J-Tag that thang
Tomcatjones,Bring it back!!!!!!!!
DatAsspiration,'Tis a sacred relic! It must be protected!
Shadowws,Jtag that ‘sumbitch
divinegalacticz,Dont update it. That is worth bank to a j-tagger
davidii907,That’s the best dash board to date
wesg89,Can’t believe Microsoft has not made dashboards a micro transactions cause that blade baseboard would sell for 25$ easy
SilentResident1037,Imagine seeing a white 360 that still works...
Burnsie92,I remember how you could hook an mp3 player up to it and play your music in the game audio.
Pikachu_smokes_darts,Wowwww. Never connect this to the internet. Also if you want some $ these go for a good price on eBay.
Civil-Lingonberry624,Do not connect this to the internet. It must be protected at all costs
Proof-Oil-4154,Beautiful. I had it 🖤
BlazinglyMediocre,I can't believe that actually still exists... Whoa
DogPawsSmellOfFritos,Please tell me that tv stand is made for a heavy boy like that.
BATTLE_AXE,Awesome! I love and miss the blades… I think I still have the muscle memory for whipping through that menu…
RadicalBowler,"That is an excellent TV! Flat screen, hires (720p/1080i), widescreen-ish, CRT - so excellent refresh rate. very nice!"
Adeep187,Lets talk about that original TV tho
plasmadood,The old magicks...
BCProgramming,"I've also got one with the Blade UI I got at Value Village for like 10 dollars. I think mine is a Jasper, when they added HDMI."
Carboyyoung,That actually looks nice IMO
McPresh,"Fuck, that’s nostalgic."
Chain_Unbroken_REAL,Optimal home brew console lmao
FED_YT,Need
Alone-Princess,cute like me
