author,comment
loyaltomyself,Why not delay it an extra 6 days past that?
LoserBean17,Just get it right. I don’t care how late it gets delayed. Just get. It. Right.
Varuvk2090,"Nice, now I have time to play the other games coming"
Xandergram,Good
JuicyXantibody,"Is it weird that I feel happy to see a delay? I remember back in the day when people would get bummed out because of delays, but now it feels like they’re putting good effort into the game rather than rushing it out."
VanceXentan,Delays>Rushed products.
The_Elder_Jock,"""We apologise for ensuring we release a game in a good and coherent state.""

It is a strange timeline."
yama1291,"Might as well, February is pretty full of releases already and a bit more polish won't hurt."
AnimZero,Good. Too many games are getting released in embarrassing technical states and then stuck in patch hell for months before they're cleanly playable (if ever).
North-Function995,"These are the devs of Titanfall 2. Im not even looking at this game but Im happy Respawn is doing well, and that theyre not afraid to make necessary delays to deliver something right."
MrErnie03,"The game was just announced like 2 months ago, so this delay is less painful than usual"
gamingonion,Gives me more time to play the first one lol
jixxor,This is good communication and sound reasoning.
NukeCake,Honestly might as well make the release date may 4th . Would be sick for sure
gschmoke22,"GOOD delays are good, fuck overtime and overworking employees"
Jet44444,Good cause I just started Jedi fallen order.
zillskillnillfrill,"Take your time EA, nobody's in a rush."
Saber_Saber,So they plan to release it on my birthday
CrackedDad,Those little white lines on the top left made me think I had hairs on my screen
Senor_Wah,"Unfortunate, but I’m glad game studios are more becoming more willing to delay games rather than have disastrous launches. I know which I’d prefer"
beetnemesis,"Honestly, good. A delayed game is nearly always a better one."
bpelkey23,They could delay an entire year if it drops without an issue I'll be happy. Sick of paying the 60$ for it to drop with a million bugs. Mad respect to Respawn for stepping out like this.
PirateThatIsUndead,Honestly this is fine. They announced the game less than 6 months ago (?). I’m not in a rush. I love this actually
daggerpwna,Forspoken should have done this. Six months minimum
ReapCreep65,May 4th plz
ABrokenBinding,TIL it takes 6 weeks to write all the code for EAs loot crates
RevElliotSpenser,I got bored with the first one
Beneficial_Star_6009,EA taking more time to polish a much anticipated game before it’s official release? What planet is this!?!
ComeonmanPLS1,"I’m writing the death threats right now. Don’t worry gamers, I got you. 😎"
morgan423,"Honestly: good.

Far too many games pushed out the door unfinished in the modern day.  I'd love to see that trend reversed."
legalthrowaway565656,"Can’t even be mad.

Applaud this.

Encourage this.

I’d rather complain a game is pushed back for an entire YEAR then ever get something buggy and half polished earlier."
InevitableTraining69,So strange respawn acting like they care after ruining Apex Legends by running it into the ground just for a quick buck.
Mrhere_wabeer,"Ooohhhhh nooooo, how terrible!!! How could this beeeee? You mean I have to wait a couple weeks?!?! How will one survive????"
itzTHATgai,Forspoken could've used a few delays.
KingHavana,"Is this the sequel to that dark souls style jedi game with the occasional platforming as you did some parkour?  That was a fun game. Fallen order, I think."
FRED44444,Get it right so i don't have to fucking get back to my ship each fucking level. Dont make me go through a maze back to my ship. That is not fun.
UnkownArty13,crazy how EA is now delaying games in 2023. hopefully this is a sign that they learned not to rush games lol
Neorevan0,"Yes, I love this. Now I don’t have to worry about Tax Season when this game comes out!"
Lord_MagnusIV,Why not 7 weeks so they can launch it on may the 4th
Arcticwolfi6,would rather this happen than it release with bugs and stutter
Mitchthe2nd,Perfect. Happy. Good on em
KingBlackthorn1,I’m okay with that. I had too many games between Feb and March lol. Got myself stressed out with how many
ImDraconLion,rather it’s delayed rather than becoming another shite on EA’s table
illumin8ted72,"More developers need to do this rather than release a flawed product. I was starting to think quality didn’t matter anymore, Thank you Respawn.

Yes it is disappointing to wait longer but it is comforting to know developers are wise enough to realize that they don’t have to spend 2 years earning back fans trust ( and likely have to rehire a bunch of team members to do so ) if they just take an extra 6 weeks right now."
ChettiBoiM8,"Good, delay games as much as needed"
SonOfECTGAR,"Their releasing it on my birthday just for me, awww how nice."
Wiamly,"There are SO MANY GAMES out, one could never finish all the quality games already out there. 

For the love of god, polish it to perfection. Respawn fucking rules, they know how to finish a game. Delay it until it’s ready, fully support this"
gigaswardblade,Bruh I thought there was hair on my screen because of those lines in the top left.
fostertheatom,OK that's fair.
