author,comment
AlternativeCondition,"Tails would just appear as a reverse furry, like a fox in a human suit"
Poptart21000,*HANGIN’ ON THE EDGE OF TOMORROW*
Dickpuncher_Dan,"Kudos to artist for drawing four unique campfires. In case you thought no one would notice...

Also, hedgehog insanely cute."
DemethValknut,The hedgehog needs a shadow
AshRavenEyes,"Inside of us there are two hedgehogs, one good the other OH MY GOD IS THAT A GUN?!?!?"
meikmrf,Shadow's spirit animal is a hEdgehog
Whitealroker1,Had a hedgehog when it would be rolled in a ball and start hissing was maximum cuteness but also meant it was upset so tried to avoid it.
scottishdrunkard,"""Knuckles *we* are animals."""
SUN_PRAISIN,ALL HAIL SHADOOOW
vonramula,"Plot twist Sonic is still looking into the fire, Shadows spirit animal is just the gun."
stakoverflo,Reminds me of an ancient [VG Cats](https://www.vgcats.com/comics/images/050314.jpg) comic lol
NonRock,"I got inspired by an image of a hedgehog with sneakers. Original idea was almost like this. Main difference being Sonic's animal. It was either gonna be Tails or the lil guy with sneakers 

Settled on a regular one to contrast Shadow's animal better. Think it's funnier like this

For more there's r/hotpaper"
SLUTSGOSONIC2,This basically sums up the both of them
Commander_PonyShep,"Ah yes, Shadow the Hedgehog trying to become the next Doom-Slayer from the DOOM franchise.  Like Isabelle from Animal Crossing: New Horizons!"
mikharv31,Inside you there are two hedgehogs
OnlyRoke,"Sonic the Hedgehog

Shadow the Edge God"
11nerd11,Lol good one
HulluHapua,I'd imagine if in a future title there would be a powerful form for Sonic that's more powerful than the most powerful that's out there that makes him a giant ultra realistic hedgehog with blue spikes.
MagusUnion,"""That's interesting Knuckles, but tell me...

**Where's that DAMN Fourth Chaos Emerald?!!""**"
TheSaucyWelshman,"> Shadow the Hedgehog is a game that can be summed up by the phrase ""They made Sonic black and gave him a gun."" which isn't a great phrase but it is accurate.

[Nerd^3](https://youtube.com/watch?v=49oUoxDsbC4)"
3226,"Look inside this bonfire, and you will find a hedgehog. Not because you're Sonic or anything, it's just a good idea to check bonfires in case hedgehogs have crawled inside."
ho0dlum,Living on the hedge.
Natezorblack,I can't stop laughing at the last two panels.
krulicekk,American hedgehog
thechilipepper0,"I mean, they’re not spirit animals. They’re just animals. Those are what animals they are"
Rizenstrom,"""There are two hedgehogs fighting inside of you, one with a gun and one without"""
Pacu99,edgyhog
BellerophonM,[Knuckles'll take care of it](https://gfycat.com/deafeningachinggilamonster)
AllAboutThemPentiums,He do be one edgy boi
lesbiantaco,Sonics spirit animal just has his concealed carry.
Zimtt,"Shadow the hedgehog the game on gamecube:



Weapons lol"
Tu_Kan,Shadow the hedgeglock
CraftsmanMan,"The shadow game wasn't bad, but the guns were just dumb and tacked on. They only added frustration to the game and didn't make him ""cooler"""
Blade_Shot24,Love this as a Shadow Fan
Anxiety_Muffin13,I laughed way too hard at this
Rammipallero,Hah... Shadow the HedgeGlock.
mrbaryonyx,cant spell shadow the hedgehog without 'ow the edge'
Digital_Rocket,I SEE NOR HEAR NO EVIL
SuzanoSho,Sonic THE HEDGEHOG being amazed that his spirit animal is a regular ass hedgehog is the funniest part of the comic.
ultimate_obtainable,I wonder what knuckles saw in the fire though
roninhomme,i'm fucking dead bro
DeviCateControversy,Why are there no shadow or Tails memes?
evrlozano,Would have thought a knife more appropriate since he’s so edgy.
Lukthar123,He's just like me fr fr
Warod0,More like Edgyhog
Miketogoz,"It should have been a double vegeta mickey mouse , in all honesty."
NecessaryEffective,Send this to egoraptor or game grumps.
thavi,hedgelord
PermaBanDodger,*ROLLIN' AROUND AT THE SPEED OF SOUND*
Pancrat,Rolling around at the speed of sound
PunxsutawnyFil,*flashbacks to Shadow the Hedgehog video game*
PowerOfTres,epic hedgehog
SoloPenguin13,"Sonic: Hedgehog
Shadow: 🇺🇲Hedgehog"
ThePurpleKnightmare,"Ofc Knuckles was an Echidna whatever that looks like, sleeping on the master emerald. Which one is the spirit animal? Good question. Moving on.

Tail's Spirit animal would probably be Sonic."
BigDisk,"Baby

Baby With a Gun"
Dreaminglys,WILL THE WHOLE WORLD KNOW YOUR NAMEEEEE
nootrino,"""Damn!"""
minorthreat1000,Shadow was a great ps2 era game.
UnknownPH4ZE,r/accidentalracism
