author,comment
underprivlidged,"Who the hell tips their stripper in 20s?

We both know Mario ain't that thicc."
swbooking,$10s and $20s… WTF—y’all rich?!
TheKert,The plumbing business never fully recovered after the 10th time Mario went on a months long hiatus to save the princess without even letting his customers know
Brigadius,So this is how Mario was able to afford his doctorate
MisterRoach,Letsa hoe!
TheEpicDiamondMiner,"I mean, Mario knows how to pipe without any tools, if you know what I mean."
AngryRinger,The gold coin to bill conversion rate isn’t as good as Luigi made it out to be
Pwnch,I helped make this! So cool seeing my work on the internet. Even if it's people waving dollars at the stripper Mario! :P
UltimateUsername1234,I saw a dollar bill on this exact Mario at Target. He must be a popular stripper.
NSC_D34thJ,This image is so old
atl19901,The middle money is just floating
ri-mackin,Since when does he take paper money?
davegrapes,"why not, there's fuckin pipes everywhere"
HavokNCG,Yal have def not been to a strip club if ur handing money like that lol
rxsheepxr,Why does American money always look so gross?
Baron_Barracuda,You are now hearing all of Mario's quotes in a sultry voice
domino7,"""Why does american money look so fake? ""

- citizen of a country with monopoly money"
Silverlightning405,He's plumbing different pipes now
littlehentaislut,animal crossing gift card.. ANIMAL CROSSING GIFT CARD YAYAYYAYA
SpinalVillain,He's working that mushroom....kingdom....
Needari,Rescuing princess just don't pay well anymore
DAG1984,He's shaking that plumber's helper for all it is worth.
HairyArthur,American money is so ugly.
ncfears,What young people are still carrying cash? The only time my friends or I have more than $10 cash is to stock up on sticky icky.
lukewarm_c0ffee,"Oh don't worry, he's got his own Mushroom Kingdom... 😏"
stella6262738,I must get a netendo because of this game
WDavis4692,"Y'all still using paper notes over there?  And that money looks like old Egyptian parchment!

I never saw so much cash carried in years lol.  Everyone here uses contactless."
this-is-my-third-alt,mariussy
M0llyM1ll10NS,Most plumbers work with pipes. Mario works the pole.
PutnamPete,Hold the cash till you at least see some boob.
StillSundayDrunk,This is ridiculous he's a digital character. You gotta tap that chip!
grrliz,"What would you do if your dinosaur was at home, crying all alone on the castle floor cuz he was hungry"
BasedToken,Just what Nintendo wanted
conviper30,Ha
okram2k,Plumbers make a fortune!
nezukotanjiro150,Take it off
scowling_deth,"Lookit all that cash, move over, Mario!"
ISnortBonedust,Plumbers crack coming in really handy
xxxhotpocketz,We get it you’re rich
Kratsas,Woo-Hoo!
rstbckt,"Damn, the layoffs in the tech industry are really hitting hard."
Zenchi-no,Marihoe
God-of-Tomorrow,"That's too much money, cmon people."
GentlmanSkeleton,"Well he was gonna be in a movie but they replaced him with a ""look a like"""
boofie1,This is art
Gonzopacasoo,Lol
CapableHumanBeing,Mario’s dummy thicc.
batm123,"I mean, if Mario don't want the money, i'll hold.onto it for you"
Ape0bserver,American money looks ancient
brookiesmallz,This should be Nintendo’s new official profile picture lol
papiperna,them nintendo stocks are messing mario’s financials up
Spurnout,That's a lot of money being thrown at him for him to just make ends meet.
Insert-Coin81,Show us your plumbers crack Mario!
Poptart21000,He’s just putting himself through mushroom college.
shloppypop,Look at that face. He isn't doing it because he can't make coin plumbing... That's the face of a person who's found their passion.
Helleri,Now he works poles instead of pipes.
Specialist_Tomato438,i love this game
Darkstone64,True Mario got to get the money somehow
PM-ME-YOUR-CROTCH,"Hey mario, show us the money shot!"
rachael-111,not in bowser's economy!
rendrr,Mario went Full Monty.
YellowBinDude,I mean we’ve already seen his nipples it’s not that much of a stretch…
Crissaegrym,"How much is that Mario?

It will look good in my garden lol."
copingcabana,"As a plumber, I bet he knows how to work his pipe."
Adelina2003xxx,Clappin cheeks and saving Peach
not_REAL_Kanye_West,You never throw more than a single at a time unless you're trying to see the chocolate starfish
Perfect_Caramel4836,"🤓 Well as shown in the Mario movie trailer a lot of the mushroom kingdom is connected with pipes, so I feel like if he is the only plumber he would be making bank.🤓"
FrozenFrac,I've seen this joke a million times and it never stops being hilarious!
ferociously_wavy_958,"Till you at least see some breast, withhold the money."
MessyBarrel,Dang. Really drained the bank account for the photo op huh.
Xbustajointnflex,Funny cuz i thaught the same shit seeing this at target
Full_Temperature_920,Isn't he banging the princess? No way he's not set for life
IforgotwhatIwasdoing,Took that money out of the register for a meme? I hope your boss doesn't check the cameras.
tw_wombat,"My plumber makes banks, wym?"
I_Love_Your_Pen,"So in the alternate universe where Mario becomes a stripper, are mushrooms basically viagra?"
vinsmokewhoswho,Hard times.
awesomedan24,Lets a go-go!
DysartWolf,Now i'm thinking of Climbing for Dollars from the Running Man movie...
autisticswede86,He is literally a plumber a doktor Sports athlete and he finds coins in blocks
Cynical_Satire,You sell drugs or something? Who carries that much cash?
Tanjom,Is American money always this dirty and yellow? I'm genuinely curious
Stadiximp,“Here we go!”
partiallycritical180,Dang. really broke the cash for the photo opportunity.
Sinaty,I see they are trying to afford a 20 year old Nintendo game
RetroActive80,I mean...he literally slides down flagpoles in the first game.
Floridaskinproblems,Someone needs to cosplay this.
RealGman823,Mario is now a stripper
RealGman823,Wish I had that money
theopenforum-86,yo if they combine their powers they can afford a nintendo switch!!
indeliblepanther6135,Mario gave it his all.
verballymoodysere705,"Mario, show us the decisive shot!"
HoneyShaft,Super Mario Bussy
,[removed]
Mcgruphat,"Tell me you’ve never been to a strip club without telling me…. Not that that’s weird or anything, but no one uses any bills higher than $2 bills"
cheekybeakykiwi,"Man, America needs to change to polymer notes. That stuff looks like used toilet paper."
dustofdeath,These dollars are dirtier then the stripper Mario.
OldSerialNo,Where do you live where you can flash cash like that at Target and not get robbed?
Bokko88,Pic taken too soon :(
,[removed]
Thadigan,You only get to see plumber’s crack in the champagne room
littlep2000,Now I need a slap base heavy end of level tune.
Citizen-Kang,"If I could make THAT kind of money for a dance that lasts a few minutes...I'd consider it...  No shame in your game, Mario.  Work what you got; all honest work is honorable work."
HolycommentMattman,"This post makes no sense. Fewer and fewer people are going to trade schools; we're basically going to run out of plumbers. And on top of that, the Mushroom Kingdom has more plumbing than NYC. Mario's gonna be in work for decades, and can probably name his price. 

So he had to resort to stripping? Don't be ridiculous. He's clearly stripping because he truly enjoys it."
myguydied,😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣
