author,comment
VlIanTheRatSmacker,"one Number 7, two Number 45's, one with cheese and a large soda"
damnsignins,"...this dude's too thin. He's not Big Smoke, he's Medium Smoke."
Exact_Patience_9767,Looks pretty good for me. Cosplay passed respect+
Pvt_Wierzbowski,"Remember, he ordered so much food not because he’s morbidly obese, but because he was buying time for the rival gang to launch their drive-by attack."
a_crazy_fox,"If he enjoyed it, the chicken didn't die in vain.

Cluckin' Bell: suffering never tasted so good! 😋"
Necromantic-Vagina,"Remember, just follow the damn train"
HarveyMSchwartz,Throw in a plastic donut.
TonyPorter98,"You picked the wrong house, fool!"
AlwaysHappy4Kitties,"# Friendly reminder, Big Smoke was the true enemy"
PhantomLord697,It's impossible not to hear Big Smoke's voice while reading that quote lol
linkinroddy,"I thought Smoke was going to be so hard to kill, but no - mini gun for 2 seconds and its over 😂"
Isotheis,I still think he in fact was ordering for everybody in the car.
qxstmad,"I'll have two number 9s, a number 9 large, a number 6 with extra dip, a number 7, two number 45s, one with cheese, and a large soda."
Important_Pack8713,Ah the nostalgia. My cousin and I used to crack the fuck up every time we played that mission and quoted it all the time.
Musetrigger,"Big Smoke worked so hard to be remembered, but all he had to do was make that heroic order.  


Humanity will never forget you, Big Smoke."
atypical_lemur,Few betrayals in history stung as bad as this one. Really thought he was a homie.
tossedsaladdressing,Does anyone else hear the music ?
Elegant_Finding3307,"I wanna say a quote from that game right now, but I don't wanna get banned :("
ItzJadeTheFox,"“2 number 9’s, a number 9 Large, a number 6 with extra dip, 2 number 45s one with cheese, and a large soda.” Plus he ate the other guys food too 😂"
VehicleFun1117,All you had to do was follow the damn number 9s CJ
Pryamus,"Too small of a bag. I remember a breakdown of what his order was actually, and it's several burgers, wraps, bucket of wings, lots of fries and soda, 4 days worth of calories.

Plus BS ate everyone else's food in the car."
Yaojin312020,This he looks like he has big bones
skyballerina,My brother and I still quote this when we go to grab quick fast food lunch! First time my dad ever took a video game away from us as kids too. Good times.
Guardian5985,"Big Smoke! Gonna need a stronger bag, more like a bucket."
MissionJuggernaut120,And he was just stalling for the ballers. How could Big Smoke...
sellowbihi,"Ah shit, here we go again."
Rude_Assumptio,"This guy is just too frail. He is a Medium Smoke, not a Big Smoke."
FireFighterP55,"Ryder and CJ turning around to give him a, ""are you for real??"" look never fails to make me laugh."
vectron93,He looks like Medium Smoke
silver2k5,Not even a drop of Photoshop detected. Good cosplay!
jmarzy,"Horrible cosplay, this guy looks way too nice to be Big Smoke!

/s"
Poptart21000,BIG SMOKE(ed bbq sauce)
Gun4Funxv7,And a large soda
YungCajunBo01,DAMMIT CJ
juca_rios,...and a dry soda
Tup0lev,I MADE IT IM A SUCCESS I CANT BE TOUCHED
drdre27406,Big smoke was waiting in CJ and Sweets moms house to kill Sweet but instead ran into CJ.
steamyjeanz,Cockadoodle do it’s time for chicken 🎶
Hunter_Ape,Don’t forget a Diet Coke.
Xytakis,I like the big smoke cosplay
kirylo-tur,Like it says in the book... We are both blessed and cursed.
UseCodeLAZAR6000,Barbeque bacon Burger
SkysWRLD999,CJ! GET ON THE TRAIN CJ
nknecrosis,[combining the best of anime and gta](https://youtu.be/39uTpwffyqI)
BurnGhostGaming,Love it when they remix food!
SpaceDuckFN,"Same things make us laugh, make us cry."
toolargo,CJ!!!!!!!
qsdf321,"I got caught up in the money, the power..."
Dfresh_1,Big smoke from GTA San Andreas
Biscuits4u2,I don't remember the game looking this good
ntack9933,"Cluckety Fuck, place your order."
KingBurakkuurufu,My brain registered this as GTA and then a photo of some guy
GuessWhoItsJosh,Didn't expect to see a pic from ACen pop up on here. Small world!
SurealGod,YOU ENTERED THE WRONG HOUSE FOOL!
Onetap1,"Captain Blackadder (upon realizing there is no way he can avoid going over the top);

 I think the phrase rhymes with ""clucking bell""."
bpanio,Welcome to Burger Chot how can I helllp you?
bpanio,Here's the nasty garbage you ordered
Sulohland,🤣🤣🤣 this is 🔥
BakeBakeyBake,I love the chicken with the shitty smell! That’s why I love cluckin bell.
Infinite_Tac0,"what a simple yet awesome cosplay, I bet this guy is fun af to hang out with."
tonyt3rry,"hahah im playing san andeas right now. Ive been playing the trilogy on my switch, I think im on the final mission if not the second to last."
GospodinMajor,"Good times, very good times!"
DuncanGholaNumber13,I prefer Freckle Bitch's
leonardsspaceship,This is on point
HardcoreSects,"Ah, Cluckin' Bell...  Taste the Cock"
honestadamsdiscount,Biiiig smokkkke!
Matteo_Sano,"Scraight busta man scraight busta, you fat ass muthafucka"
Kinoko98,"Damn I still have this entire thing memorized after almost 20 years. Down to the exact way he said it too.

Dont go eating Ryders food up man."
PutinBoomedMe,"I really wish they would recreate that game.... I'd pay good money to play that game again with new engine technology


We're now 10 years removed from GTA5. GTA6 better be a fucking masterpiece. Those leaks from last year don't give me hope though.... people have talked about a Vice city version sequel for 20 years, but I'm just not sure it can hold up to a NY/LA vibe. Hopefully GTA6 will come out this holiday season"
Xavier801,"""YOU PICKED THE WRONG HOUSE FOOL!"""
Saikousoku,"I don't get it, someone please explain"
Mourning_Starr,"I don't know what it is, but I don't trust this man."
SuperBaconjam,I’m having flashbacks about that train mission again
BallDominant06,"that's why he is ordering a lot to set up cj, ryder and sweet and if you remeber in this mission he aint shooting cuz its a set up"
Mundane_Aioli_8813,follow the damn train
Capital-Revolution96,I remember he was eating the whole time in the car bc he was trying not to fight back
forgetfulannuity2814,This man looks much too lovely to be Big Smoke in that awful costume!
EuthanasiaMix,"Gimme a numba 9, just like his."
belated_underdog207,Burger with bacon barbecue
lovepuppy31,Smoke wears kevlar like a lil bitch
