author,comment
SpicyPong09,No sound ?? Oh come: that's torture
PlainVanilla101,"Come you young sailors and listen to me,
I'll sing you a song of the fish in the sea"
4K40FPS,Help me bob i am bully in the alley ..
SeaJay_31,"*""Now you're ready to sail for the Horn...""*"
Flargblaster8,I think a testament to a good game is that you would rather spend time travelling over teleporting. The Spiderman and Batman games are good examples of this too.
IsSecretlyABird,I dreamed a dreaaaam the other niiiiight
saggytineytoe,Never played AC Black flag …I’m really missing out
SuBw00FeR37,Leave her johnnnyyyy leavee heeerrrrr
Lychee247,What do we do with a drunken sailor
Dgr90,"Well, time for another playthrough"
X30N33,*”Ohhh heave ‘em up and away we’ll go…”*
WhimsicallyEerie,"Those shanties were magic. Felt so superior when the internet discovered the sea shanty concept, what was it, last year? The wellerman phenomenon."
NashvilleKat_Fan,"OHHHHH DO ME JONNY BOKER

Or whatever the fuck they were saying"
slasherWAR,You can fast travel?
jerry-jim-bob,"Ooh, where am I to go me Johnnie's, oh were am into go"
neuroticmuffins,"#Now you're ready to sail for the Horn Weigh hey, roll and go!"
abhikun,My favorite was sally
thijscasper123,"And it's windy weather, boys, stormy weather, boys
When the wind blows, we're all together, boys"
Looker_Boy1,Now we are ready to sail for the horn
ShadowSpy98,"Leave her john, leave her"
Lewismate115,"Whiskey, Johnny!"
BratmanDu,OLD BILLY RILEY!
O-Money18,Black Flag >>>
Sarah-M-S,"If you ever feel useless, remember that there's a button to turn off the shanties..."
sm1ttysm1t,There's a Playlist on Spotify. I listen often.
Darth-Baul,Bro what’s with all the Black Flag posts? Is Ubisoft doing some marketing here?
luckydrzew,"Come all you young Sailor-men, listen to me, let me sing you a song of a fish in the see..."
Samipuma,HAVE YEH EVER SEEN A WIIILD GOOSE SAILIN OE'R THE OooOOCEANNNN
StepBro001,I have favorite shanties.
Previous-Surprise-13,"Goodbye, fare thee well, goodbye, fare thee well"
TurboTingo,🦀🦀🦀 Sea Shanty 2 or bust 🦀🦀🦀
DaftGorilla,"Not gonna lie when Black Flag came out I was not into it at all. Was bored of assassins creed games and pirate movies and this felt like ubi trying to capture that audience since it was the rage at the time.

Skip like 6 years later and I was craving a sailing combat game and the only one really was black flag. ITS SO GOOD WTF! It really is just an all around good game. The music the locals and characters. *Chefs kiss*"
4K40FPS,Water physics against your ship in valhalla was much worse compared to odyssey & black flag. Like the ship didnt have wieght
Ne0t9k,…proceeds to post a video with no audio
WabWab1443,I loved the clip of the people singing fortnite battle pass while sailing
Jake_The_Snake2003,“Oh a poor old man came riding by…”
pixelranger36,Way haaay heeeyy aaahh well pay paddy Doyle for his boots
madtony7,It is tiiiiiime to go nooooow...
