beta	mlge	ge	mlemd	emd	mlgft	gft	mlcount	count
6	0.0	0.0	0.0	0.0	0.0	0.0	20	16
5	0.0	0.0	0.0	0.0	0.0	0.0	20	18
5	0.0	0.0	0.0	0.0	0.0	0.0	20	19
6	0.0	0.0	0.0	0.0	0.0	0.0	20	17
3	0.013819394229593837	0.0	0.13333200000000117	0.0	0.49298242787458835	0.0	21	17
6	0.0	0.0	0.0	0.0	0.0	0.0	20	15
7	0.0	0.0	0.0	0.0	0.0	0.0	20	17
7	0.0	0.0	0.0	0.0	0.0	0.0	20	19
7	0.0	0.0	0.0	0.0	0.0	0.0	20	14
3	0.031075189269499644	0.011781498108045964	0.33331800000000344	0.08169999673200068	0.7221920686919974	0.2672256390882941	24	18
3	0.07183880622540197	0.05337968689710193	0.8961520000000015	0.516537626826	1.5627225605081168	2.116673911909194	39	32
5	0.0	0.0	0.0	0.0	0.0	0.0	20	19
6	0.0	0.0	0.0	0.0	0.0	0.0	20	18
4	0.0	0.0	0.0	0.0	0.0	0.0	20	16
5	0.0	0.0	0.0	0.0	0.0	0.0	20	17
1	0.08898675011501257	0.06420004449600605	1.3570100847600284	0.683335000000008	1.9278285463421698	2.5517826717810035	222	60
6	0.017249911997141768	0.011842189487692514	0.1681650000000028	0.07516398366000068	0.274065645083887	0.23203427891752906	22	18
1	0.0916954826966725	0.0675768785930094	1.3745300146800283	0.7333060000000053	2.0252478523402693	2.3379727975831623	222	60
5	0.0	0.0	0.0	0.0	0.0	0.0	20	16
7	0.0	0.0	0.0	0.0	0.0	0.0	20	16
2	0.09036123906111293	0.06140415045576786	1.1636210000000151	0.6289555656060016	1.6238576058798984	2.099247402058854	110	39
1	0.09391600644381101	0.06594264951074483	1.4293278323520158	0.733366000000005	1.845356329437701	2.4665876554273796	224	61
7	0.0	0.0	0.0	0.0	0.0	0.0	20	19
4	0.0	0.0	0.0	0.0	0.0	0.0	20	18
1	0.09407357713508596	0.07870837680519396	1.4248479788160158	0.8418800000000046	1.9524152147173341	3.2536472119161224	224	61
4	0.0	0.0	0.0	0.0	0.0	0.0	20	16
4	0.0	0.0	0.0	0.0	0.0	0.0	20	19
5	0.0	0.0	0.0	0.0	0.0	0.0	20	18
7	0.0	0.0	0.0	0.0	0.0	0.0	20	18
7	0.0	0.0	0.0	0.0	0.0	0.0	20	19
5	0.0	0.0	0.0	0.0	0.0	0.0	20	17
5	0.0	0.0	0.0	0.0	0.0	0.0	20	17
1	0.10211632365189065	0.07830746299068694	1.5412146993300284	0.7947300000000082	2.035603623545068	2.379954249282416	222	60
5	0.0	0.0	0.0	0.0	0.0	0.0	20	16
3	0.06923049539877409	0.029876309962647934	0.8742400000000046	0.24648792157200144	1.6136135794217012	1.0894592086508625	33	21
1	0.10791300816358737	0.08001340077465588	1.5529495329300285	0.8166580000000063	2.346186688243139	3.1696334326079243	222	60
1	0.09478933775230819	0.07667416780429463	1.4151299523900285	0.7833190000000069	1.7159210597486039	2.9995527101706996	222	60
7	0.0	0.0	0.0	0.0	0.0	0.0	20	17
1	0.09330186288182657	0.07497639991513584	1.5083247534000157	0.8388790000000055	1.8392587395591518	2.4523461106726563	221	60
1	0.10286186401144486	0.08240896304692923	1.5385448531700283	0.8416410000000064	2.141884320909495	2.9324722545856328	222	60
5	0.0	0.0	0.0	0.0	0.0	0.0	20	19
